#lang,articles,pages,files,edits,users,admins
be-x-old,50180,128486,1244,1706278,32201,7
ab,821,4200,3,40050,6610,1
aa,6,1414,0,2477,3236,0
af,28133,68239,2951,1253692,53678,16
ak,179,1502,0,16950,4122,1
sq,49912,117694,11851,1483886,53900,15
als,15048,34860,645,554729,34275,8
am,12809,39791,1590,317849,14520,6
ang,2538,12780,402,178311,52864,1
ar,239363,1428785,17158,13845790,661776,33
an,29355,95824,1143,1572437,28519,4
arc,1604,6179,72,89949,7986,5
hy,76498,251755,3850,1432533,24629,8
roa-rup,486,4169,518,250871,6916,2
as,2362,31084,1201,125738,7332,4
ast,18870,34417,25,766618,23069,9
av,1093,4831,2,51298,4534,0
ay,2875,6398,12,77589,6753,2
az,95866,242497,14340,2853418,61458,15
bm,392,2847,1,34803,4426,1
map-bms,13024,25824,550,200879,6055,3
ba,30694,64873,722,410845,8672,8
eu,152538,372023,1,3969985,46437,12
bar,8179,30028,402,374633,22940,6
be,63027,148249,835,1767870,37233,8
bn,26630,298758,1934,1519485,49641,11
bh,2730,6625,14,116739,4590,1
bpy,25139,57600,164,791408,12002,1
bi,453,1668,1,36183,4134,1
no,393598,939141,488,13639422,278300,58
bs,46693,222920,22067,2372948,62667,15
br,46359,96318,4828,1603306,27885,11
bug,14058,18029,2,195871,5500,2
bg,151360,342628,1349,6201055,140960,25
my,31365,45780,3638,208245,20168,5
bxr,701,4040,15,33541,4575,0
ca,408882,1009296,7362,12320109,151915,31
ceb,716072,1437011,370,3778425,14499,7
bcl,5677,10029,1048,155269,6721,1
ch,157,2210,1,15623,5736,0
cbk-zam,1132,2805,0,99217,6331,2
ce,3575,11372,149,105558,6771,1
chr,494,3594,1,32311,6988,2
ny,164,1229,0,16045,2732,1
chy,567,1906,0,20165,4100,0
zh,720982,3072042,34645,29439428,1489271,84
cho,15,140,2,4052,1403,0
cv,19463,36677,639,521294,13149,4
zh-classical,3091,64181,1,236494,34561,1
kw,2589,6888,127,170377,5614,2
co,6576,12784,66,339076,7827,2
cr,183,2566,0,26509,5578,1
crh,1799,9540,5,120244,6621,2
hr,140291,390082,11379,4321328,115390,27
cs,272902,705040,2,10976323,232733,30
da,180921,592285,2,7593633,194275,34
nl,1693577,3139347,19,39459515,549109,61
nds-nl,5231,14409,1139,289540,10152,7
dz,182,1393,1,26449,3634,0
cdo,490,3119,46,35759,7310,2
mh,10,164,2,4090,1733,0
arz,10825,79124,1560,606151,43586,6
eml,2277,11335,561,74786,7206,5
en,4311668,30940221,813922,634930817,19536437,1437
myv,1582,3887,17,75940,4177,3
et,114670,293389,3382,3827243,61691,37
ee,306,5958,0,44019,4651,4
ext,2302,5523,3,108455,6846,2
fo,6511,18051,534,285623,9651,8
hif,11215,20906,166,197538,8779,1
fj,271,1588,0,32742,3489,1
fi,330148,884110,33500,14253940,240751,49
frp,2264,5113,29,187215,5815,3
fr,1419187,5956195,41514,96390735,1627435,178
fur,3083,6706,412,161298,5962,2
ff,166,1472,1,20097,3116,2
gl,105241,228854,10103,3171580,47080,12
gan,6130,32353,260,404208,18129,2
ka,77694,213691,9888,2637680,53869,10
de,1622881,4512310,162202,127291282,1716237,262
ki,350,1602,0,16490,2816,0
glk,6031,11081,875,42578,5663,2
got,438,3466,15,29180,7303,3
el,91257,240702,9149,4367024,130471,22
kl,1597,4591,1,70170,5388,2
gn,2528,6945,13,93254,6062,2
gu,22668,43302,289,341691,16811,5
ht,53205,60920,68,702761,11061,1
hak,3068,6337,33,88721,9508,2
ha,291,1687,2,27199,3724,2
haw,1869,4352,1,69406,5737,1
he,149801,626925,40103,15402360,208375,36
hz,0,118,0,4317,3074,0
hi,106898,416412,2650,2316755,94382,4
ho,3,75,0,3625,1270,0
