"pageid","pagename","langid","nsid"
"3489352","Painajainen","68","1269"
"15839978","Pahoinvointi","68","1269"
"11690247","Pagodi","68","1269"
"3487556","Nottingham","68","1269"
"3489290","Paella","68","1269"
"3487571","Nova","68","1269"
"3487583","Novelli","68","1269"
"3487585","Novgorod","68","1269"
"3487593","Novosibirsk","68","1269"
"3487622","Nukke","68","1269"
"3487625","Nukkuminen","68","1269"
"3487627","Nukleiinihappo","68","1269"
"3487628","Nukleotidi","68","1269"
"3487637","Numeraali","68","1269"
"13704468","Numeraali","68","1272"
"3489289","Padova","68","1269"
"3487638","Numero","68","1269"
"3487641","Numerologia","68","1269"
"6521340","Numerologia","68","1283"
"7962224","Numismatiikka","68","1283"
"7964306","Numismatiikka","68","1269"
"3487657","Nunavut","68","1269"
"3487658","Nunchaku","68","1269"
"3487663","Nuolenpääkirjoitus","68","1269"
"3487664","Nuoli","68","1269"
"7964317","Nuolihaukka","68","1269"
"3487696","Nuottiavain","68","1269"
"3487698","Nupedia","68","1269"
"3487727","Nuuk","68","1269"
"3489274","Pac-Man","68","1269"
"3487743","Nyks","68","1269"
"12050391","Nymfit","68","1283"
"6524442","Nymfit","68","1269"
"3487768","Nyrkkeily","68","1269"
"3479595","Nyrkkeily","68","1283"
"14122649","Nystagmus","68","1269"
"3485949","Näennäismuisti","68","1269"
"3479531","Näennäistiede","68","1283"
"3485951","Näennäistiede","68","1269"
"3485958","Näköhermo","68","1269"
"3485977","Nälkä","68","1269"
"3485983","Näppäimistö","68","1269"
"3485985","Närhi","68","1269"
"3485994","Näytelmäkirjailija","68","1269"
"3485999","Näyttelijä","68","1269"
"13861780","Näyttelijä","68","1279"
"3486000","Näyttely","68","1269"
"3485991","Näytönohjain","68","1269"
"3479529","Näätäeläimet","68","1283"
"3485947","Näätäeläimet","68","1269"
"3479529","Näätäeläimet","68","1283"
"3485947","Näätäeläimet","68","1269"
"3486009","Nürburgring","68","1269"
"3489223","Paavi","68","1269"
"3489215","Paavali","68","1269"
"3486011","Nürnberg","68","1269"
"3489211","Paasto","68","1269"
"6525061","Paarmat","68","1269"
"7963915","Nĳmegen","68","1269"
"3489197","Pa","68","1269"
"3487776","O","68","1269"
"3489182","PSP","68","1269"
"3487781","O.C.","68","1269"
"3487790","ODBC","68","1269"
"3489166","POSIX","68","1269"
"3487791","OECD","68","1269"
"3487794","OFC","68","1269"
"3487814","OPEC","68","1269"
"3515085","ZIP","68","1269"
"3489165","POP3","68","1269"
"3487816","OS/2","68","1269"
"3487817","OSI-malli","68","1269"
"3487824","Oahu","68","1269"
"3489164","PONG","68","1269"
"3487825","Oakland","68","1269"
"3487828","Oasis","68","1269"
"3487830","Ob","68","1269"
"3487832","Obeliski","68","1269"
"8880176","Objective-C","68","1269"
"3487845","Objekti","68","1269"
"3489162","PNG","68","1269"
"3487846","Objektiivi","68","1269"
"3487853","Oboe","68","1269"
"3487857","Observatorio","68","1269"
"3487858","Obsidiaani","68","1269"
