"pageid","pagename","langid","nsid"
"12571355","힘줄","122","2279"
"6926855","&","122","2279"
"15366514","+44","122","2279"
"6926874","0","122","2279"
"4568189","0년","122","2279"
"4568275","1000000","122","2279"
"4568272","1000년","122","2279"
"15912981","101년","122","2279"
"11509919","1066년","122","2279"
"4568242","10세기","122","2279"
"16068961","10월","122","2293"
"4568243","10월","122","2279"
"4568284","11세기","122","2279"
"4568285","11월","122","2279"
"4568322","12세기","122","2279"
"4568323","12월","122","2279"
"9050885","12월","122","2293"
"11271163","1337년","122","2279"
"4568368","13세기","122","2279"
"11271169","1408","122","2279"
"4568393","1453년","122","2279"
"8221273","1492년","122","2279"
"8221269","14세기","122","2279"
"12215833","1520년","122","2279"
"8221274","1521년","122","2279"
"16731532","1523년","122","2279"
"6926901","15세기","122","2279"
"11738214","15세기","122","2293"
"6926908","1600년","122","2279"
"9053580","1632년","122","2279"
"10658597","1648년","122","2279"
"10658599","1658년","122","2279"
"11271194","1697년","122","2279"
"4568411","16세기","122","2279"
"6926913","1700년","122","2279"
"10658603","1707년","122","2279"
"4568424","1709년","122","2279"
"11271198","1718년","122","2279"
"10658606","1719년","122","2279"
"6926914","1721년","122","2279"
"11509952","1772년","122","2279"
"6926918","1776년","122","2279"
"10981379","1783년","122","2279"
"6926920","1789년","122","2279"
"13392167","1789년","122","2293"
"9706381","1790년","122","2279"
"4568433","1791년","122","2279"
"4568434","1792년","122","2279"
"9050886","1792년","122","2293"
"10217867","1793년","122","2279"
"9053593","1799년","122","2279"
"4568423","17세기","122","2279"
"6926922","1800년","122","2279"
"4568437","1801년","122","2279"
"9706382","1806년","122","2279"
"8221298","1808년","122","2279"
"9053594","1809년","122","2279"
"8221299","1810년","122","2279"
"6926924","1811년","122","2279"
"4554648","1812년","122","2293"
"10217873","1812년","122","2279"
"10658614","1813년","122","2279"
"10217874","1814년","122","2279"
"8221300","1815년","122","2279"
"10217876","1817년","122","2279"
"4568440","1818년","122","2279"
"11268954","1818년","122","2293"
"10658615","1820년","122","2279"
"8221301","1821년","122","2279"
"10658616","1822년","122","2279"
"4568442","1829년","122","2279"
"9053595","1830년","122","2279"
"10217879","1832년","122","2279"
"8221305","1833년","122","2279"
"8221306","1834년","122","2279"
"10658618","1837년","122","2279"
"9053597","1839년","122","2279"
"11509960","1840년","122","2279"
"13170997","1841년","122","2279"
"11271209","1843년","122","2279"
"11271210","1844년","122","2279"
"11271211","1845년","122","2279"
"9706385","1846년","122","2279"
"9053598","1847년","122","2279"
"6926926","1848년","122","2279"
"8221307","1849년","122","2279"
"9053599","1850년","122","2279"
"10217882","1851년","122","2279"
"6926927","1852년","122","2279"
"10981387","1853년","122","2279"
"4568443","1854년","122","2279"
"11509962","1855년","122","2279"
"6926928","1856년","122","2279"
"9053600","1857년","122","2279"
"8221308","1858년","122","2279"
"4568444","1859년","122","2279"
"9706387","1860년","122","2279"
"4568446","1861년","122","2279"
"4568447","1862년","122","2279"
"4568448","1863년","122","2279"
"6926929","1864년","122","2279"
"4568449","1865년","122","2279"
"4568450","1866년","122","2279"
"6926930","1867년","122","2279"
"6926931","1868년","122","2279"
"10979925","1869년","122","2293"
"9053601","1869년","122","2279"
"9706388","1870년","122","2279"
"6926932","1871년","122","2279"
"6926933","1872년","122","2279"
"9053602","1873년","122","2279"
"4568451","1874년","122","2279"
"4554653","1875년","122","2293"
"4568452","1875년","122","2279"
"4568453","1876년","122","2279"
"8221310","1877년","122","2279"
"8221311","1878년","122","2279"
"6926934","1879년","122","2279"
"6926935","1880년","122","2279"
"9053603","1881년","122","2279"
"6926936","1882년","122","2279"
"4568455","1883년","122","2279"
"11271213","1884년","122","2279"
"4568456","1885년","122","2279"
