Halloween	Halloween	Tue Oct 12 17:33:05 CEST 2004	Thu Oct 11 15:40:48 CEST 2001
Sverige	Sweden	Tue Oct 01 14:20:41 CEST 2002	Mon Oct 01 13:27:17 CEST 2001
Wiki	Wiki	Tue Nov 26 00:04:11 CET 2002	Tue Oct 09 17:12:15 CEST 2001
Michael_Jackson	Michael Jackson	Mon Apr 07 11:56:58 CEST 2003	Thu Oct 25 09:48:17 CEST 2001
Melodifestivalen_2009	Melodifestivalen 2009	Wed Jan 23 17:38:05 CET 2008	Wed Jul 09 01:46:06 CEST 2008
USA	United States	Sun Nov 03 13:19:07 CET 2002	Thu Sep 06 09:00:01 CEST 2001
Wikipedia	Wikipedia	Sat Nov 23 04:05:19 CET 2002	Tue Nov 06 02:16:13 CET 2001
Sissela_Kyle	Sissela Kyle	Sat Mar 20 23:37:21 CET 2004	Mon Mar 17 23:45:38 CET 2008
Kurt_Wallander	Kurt Wallander	Wed Sep 29 15:22:28 CEST 2004	Mon Jul 25 01:14:51 CEST 2005
Export	Export	Thu Nov 27 13:40:11 CET 2003	Sat Aug 30 06:13:58 CEST 2003
Lista_över_latinska_ordspråk_och_talesätt	List of Latin phrases	Thu Oct 23 03:50:40 CEST 2003	Tue Sep 18 16:06:27 CEST 2001
Original_Gangsters	Original Gangsters (gang)	Sun Dec 18 23:40:55 CET 2005	Sun Mar 08 13:17:54 CET 2009
Andra_världskriget	World War II	Tue Nov 12 13:21:51 CET 2002	Sat Nov 10 01:51:27 CET 2001
Förenta_nationerna	United Nations	Tue Nov 12 13:21:10 CET 2002	Fri Sep 28 15:40:53 CEST 2001
Joel_Kinnaman	Joel Kinnaman	Tue Jul 19 16:58:08 CEST 2005	Sun Jul 18 22:28:25 CEST 2010
Islam	Islam	Wed Jul 31 15:13:15 CEST 2002	Thu Nov 15 01:37:57 CET 2001
Polkagris	Polkagris	Thu Jul 24 19:52:29 CEST 2003	Sat May 05 09:12:44 CEST 2007
Periodiska_systemet	Periodic table	Tue Dec 03 04:59:15 CET 2002	Sun Oct 28 11:02:06 CET 2001
Judendom	Judaism	Fri Aug 02 20:57:03 CEST 2002	Thu Nov 08 04:57:29 CET 2001
Aspergers_syndrom	Asperger syndrome	Mon Mar 15 01:21:46 CET 2004	Sun Feb 03 21:34:41 CET 2002
Stockholm	Stockholm	Fri Sep 01 10:39:23 CEST 2006	Wed Aug 29 10:59:52 CEST 2001
Första_världskriget	World War I	Thu Feb 06 23:13:35 CET 2003	Sun Oct 28 01:43:06 CEST 2001
Australien	Australia	Thu Dec 12 17:20:49 CET 2002	Sun Nov 04 14:33:21 CET 2001
Medeltiden	Middle Ages	Sat Nov 30 13:20:51 CET 2002	Tue Aug 14 15:01:06 CEST 2001
Henrik_Larsson	Henrik Larsson	Fri Apr 23 12:59:54 CEST 2004	Fri Jun 06 04:01:38 CEST 2003
Tyskland	Germany	Wed Dec 04 22:42:09 CET 2002	Fri Nov 09 19:05:14 CET 2001
Sommartid	Daylight saving time	Wed Oct 15 21:54:04 CEST 2003	Thu Apr 04 02:55:41 CEST 2002
Gränna	Gränna	Mon Jul 30 00:21:48 CEST 2001	Wed Sep 22 13:41:45 CEST 2004
Rammstein	Rammstein	Sun Aug 29 22:39:31 CEST 2004	Wed Jun 06 22:48:18 CEST 2001
Kina	China	Fri May 02 02:58:48 CEST 2003	Tue Oct 23 03:23:25 CEST 2001
Jimmie_Åkesson	Jimmie Åkesson	Sat Oct 18 23:39:05 CEST 2003	Mon Feb 20 01:48:27 CET 2006
Adolf_Hitler	Adolf Hitler	Fri Nov 15 16:05:12 CET 2002	Thu Nov 15 04:09:46 CET 2001
Sverigedemokraterna	Sweden Democrats	Fri Nov 15 14:56:39 CET 2002	Tue Jul 30 03:03:26 CEST 2002
Borderline	Borderline personality disorder	Fri Jul 11 11:12:22 CEST 2003	Wed Nov 20 06:34:41 CET 2002
Norge	Norway	Tue Jan 29 21:57:07 CET 2002	Fri Nov 16 17:57:39 CET 2001
Finland	Finland	Sun Mar 31 14:04:55 CEST 2002	Sat Sep 08 20:55:06 CEST 2001
Franska_revolutionen	French Revolution	Mon Nov 05 18:56:43 CET 2001	Thu Oct 18 02:19:10 CEST 2001
Kent_(musikgrupp)	Kent (band)	Sat May 29 11:00:42 CEST 2004	Wed Jul 10 14:03:11 CEST 2002
Frankrike	France	Mon Oct 22 19:50:58 CEST 2001	Sun Nov 04 02:31:43 CET 2001
Egypten	Egypt	Thu Jan 02 10:44:09 CET 2003	Thu Nov 01 00:43:34 CET 2001
Måns_Herngren	Måns Herngren	Wed Feb 19 17:57:50 CET 2003	Wed Sep 19 19:56:46 CEST 2007
Indien	India	Thu Oct 17 15:41:15 CEST 2002	Fri Oct 26 19:25:25 CEST 2001
Japan	Japan	Sat Dec 07 18:27:43 CET 2002	Thu Nov 01 00:04:35 CET 2001
Spanien	Spain	Thu Dec 19 12:50:11 CET 2002	Wed Oct 03 16:28:50 CEST 2001
Zlatan_Ibrahimović	Zlatan Ibrahimović	Fri May 21 20:49:09 CEST 2004	Wed Jun 16 00:37:37 CEST 2004
Italien	Italy	Tue Dec 03 12:18:11 CET 2002	Mon Nov 12 11:44:31 CET 2001
Andreas_Carlsson	Andreas Carlsson	Thu May 17 16:25:50 CEST 2007	Thu Apr 20 18:29:57 CEST 2006
Danmark	Denmark	Mon Nov 26 14:22:15 CET 2001	Thu Nov 01 00:25:08 CET 2001
Ryssland	Russia	Sat Dec 07 15:20:44 CET 2002	Wed Oct 31 14:02:12 CET 2001
Europa	Europe	Tue Aug 13 12:43:47 CEST 2002	Mon Oct 01 11:20:59 CEST 2001
Buddhism	Buddhism	Sun Sep 22 00:10:21 CEST 2002	Fri Nov 09 05:19:56 CET 2001
Kristendom	Christianity	Wed Apr 07 10:24:57 CEST 2004	Wed Nov 14 05:10:03 CET 2001
Casablanca_(film)	Casablanca (film)	Wed Dec 18 02:09:33 CET 2002	Sun Jun 16 15:57:29 CEST 2002
Paul_Anka	Paul Anka	Tue Jul 26 20:04:36 CEST 2005	Tue Oct 08 00:22:35 CEST 2002
Grekisk_mytologi	Greek mythology	Sat Mar 02 20:14:05 CET 2002	Wed Oct 31 06:21:32 CET 2001
August_Strindberg	August Strindberg	Fri Dec 20 18:41:50 CET 2002	Fri Apr 19 07:34:08 CEST 2002
Elvis_Presley	Elvis Presley	Fri Jan 03 17:59:58 CET 2003	Sat Oct 13 09:54:10 CEST 2001
The_Pirate_Bay	The Pirate Bay	Sun Apr 03 14:12:57 CEST 2005	Sun May 22 12:04:47 CEST 2005
Hinduism	Hinduism	Tue Aug 13 10:55:21 CEST 2002	Wed Nov 07 19:59:00 CET 2001
William_Shakespeare	William Shakespeare	Thu Mar 06 19:38:01 CET 2003	Sun Oct 14 22:01:11 CEST 2001
Barack_Obama	Barack Obama	Fri Jun 16 20:34:10 CEST 2006	Thu Mar 18 06:23:13 CET 2004
Jorden	Earth	Thu Jul 11 13:22:34 CEST 2002	Tue Nov 06 04:00:43 CET 2001
Storbritannien	United Kingdom	Sun Nov 23 11:25:44 CET 2003	Fri Nov 02 18:36:50 CET 2001
Sydafrika	South Africa	Wed Nov 20 18:16:13 CET 2002	Sat Sep 29 19:01:54 CEST 2001
Renässansen	Renaissance	Sun Dec 07 15:50:32 CET 2003	Sat Sep 22 03:27:26 CEST 2001
Göteborg	Gothenburg	Mon Feb 24 00:40:30 CET 2003	Sun May 20 01:55:35 CEST 2001
Demokrati	Democracy	Sun Nov 03 13:19:35 CET 2002	Sun Oct 14 20:25:29 CEST 2001
Spotify	Spotify	Mon May 07 16:23:33 CEST 2007	Mon Nov 10 11:20:59 CET 2008
Selma_Lagerlöf	Selma Lagerlöf	Thu Jan 23 16:22:43 CET 2003	Fri Feb 21 22:04:58 CET 2003
Island	Iceland	Thu Oct 24 00:02:44 CEST 2002	Fri Aug 03 17:13:47 CEST 2001
Socialism	Socialism	Fri Dec 06 12:12:33 CET 2002	Thu Oct 04 11:56:37 CEST 2001
London	London	Fri Dec 20 13:09:54 CET 2002	Mon Oct 08 02:59:58 CEST 2001
Twilight	Twilight (2008 film)	Sun Nov 23 17:00:23 CET 2008	Fri Nov 16 20:49:18 CET 2007
Amy_Diamond	Amy Diamond	Mon Mar 14 13:34:10 CET 2005	Thu Aug 04 21:01:18 CEST 2005
England	England	Tue Dec 03 10:43:58 CET 2002	Wed Oct 17 12:00:34 CEST 2001
Turkiet	Turkey	Fri Feb 07 14:13:55 CET 2003	Sun Sep 02 10:58:31 CEST 2001
Christer_Fuglesang	Christer Fuglesang	Fri Jun 18 13:21:40 CEST 2004	Tue May 31 05:41:04 CEST 2005
Afrika	Africa	Tue May 29 08:21:15 CEST 2001	Fri Nov 09 20:50:38 CET 2001
Liberalism	Liberalism	Thu Dec 12 13:20:29 CET 2002	Wed Oct 10 12:14:29 CEST 2001
Gustav_Vasa	Gustav I of Sweden	Sun Nov 24 19:03:43 CET 2002	Fri Oct 05 09:18:36 CEST 2001
Harry_Potter	Harry Potter	Tue Feb 04 14:49:30 CET 2003	Mon Oct 08 04:30:23 CEST 2001
Brasilien	Brazil	Fri Feb 14 01:40:02 CET 2003	Sun Sep 30 03:28:02 CEST 2001
FC_Barcelona	FC Barcelona	Tue Apr 20 23:10:32 CEST 2004	Tue Aug 06 05:58:15 CEST 2002
Martin_Beck	Martin Beck	Thu Jul 08 17:42:22 CEST 2004	Fri May 21 02:52:50 CEST 2004
Caroline_af_Ugglas	Caroline af Ugglas	Mon Sep 26 16:15:21 CEST 2005	Thu Feb 01 19:29:36 CET 2007
Sven_Wollter	Sven Wollter	Sun Jun 08 22:34:01 CEST 2003	Sun Aug 28 20:26:23 CEST 2005
Dallas_(TV-serie)	Dallas (1978 TV series)	Sat Oct 30 15:32:10 CEST 2004	Fri Oct 04 23:07:10 CEST 2002
Kanada	Canada	Thu Dec 12 17:29:59 CET 2002	Wed Oct 31 23:43:37 CET 2001
Lista_över_samlagsställningar	Sex position	Mon Apr 07 23:02:49 CEST 2003	Fri Jan 10 23:18:05 CET 2003
The_Beatles	The Beatles	Sat Nov 30 23:19:33 CET 2002	Wed Sep 26 13:23:00 CEST 2001
Leonardo_da_Vinci	Leonardo da Vinci	Wed Dec 04 18:28:19 CET 2002	Fri Sep 07 22:59:26 CEST 2001
True_Blood	True Blood	Mon Jul 21 16:00:07 CEST 2008	Tue Feb 27 00:40:58 CET 2007
Petra_Mede	Petra Mede	Sat Mar 17 22:38:46 CET 2007	Fri Feb 13 19:21:38 CET 2009
Iran	Iran	Wed Nov 27 16:31:27 CET 2002	Mon Oct 22 23:00:00 CEST 2001
Felix_Herngren	Felix Herngren	Wed Feb 19 16:56:25 CET 2003	Wed Sep 19 19:34:30 CEST 2007
Industriella_revolutionen	Industrial Revolution	Mon Sep 13 11:06:17 CEST 2004	Sun Aug 05 23:47:47 CEST 2001
Metallica	Metallica	Fri Aug 29 22:14:42 CEST 2003	Mon Oct 15 13:08:55 CEST 2001
Kiss_(musikgrupp)	Kiss (band)	Fri Dec 13 03:34:59 CET 2002	Wed Oct 30 05:15:35 CET 2002
Jakob_Eklund	Jakob Eklund	Sat Aug 28 22:58:58 CEST 2004	Mon Mar 20 21:42:11 CET 2006
Upplysningstiden	Age of Enlightenment	Tue Jun 22 21:40:23 CEST 2004	Thu Sep 27 10:01:50 CEST 2001
Fars_dag	Father's Day	Sun May 29 10:49:00 CEST 2005	Wed Mar 27 18:54:24 CET 2002
Penis	Penis	Sun Mar 16 22:12:14 CET 2003	Thu Nov 08 01:29:52 CET 2001
Världens_sju_underverk	Seven Wonders of the Ancient World	Tue Feb 11 16:57:15 CET 2003	Thu May 10 20:57:46 CEST 2001
Romantiken	Romanticism	Thu Jan 22 13:27:22 CET 2004	Thu Oct 11 22:32:09 CEST 2001
Berlinmuren	Berlin Wall	Sat Aug 09 16:37:47 CEST 2003	Wed May 09 18:55:57 CEST 2001
Kalla_kriget	Cold War	Wed Feb 19 23:42:14 CET 2003	Tue Sep 23 06:44:46 CEST 2003
Cannabis	Cannabis (drug)	Mon Apr 04 21:38:48 CEST 2005	Tue Feb 08 18:39:34 CET 2005
Internet_Movie_Database	Internet Movie Database	Tue Jan 13 23:44:08 CET 2004	Sun Aug 05 01:23:18 CEST 2001
Alla_helgons_dag	All Saints' Day	Wed Oct 06 14:11:40 CEST 2004	Mon Aug 06 14:35:15 CEST 2001
Nobelpriset_i_litteratur	Nobel Prize in Literature	Sun Aug 03 16:54:51 CEST 2003	Wed Oct 03 13:10:34 CEST 2001
Fotosyntes	Photosynthesis	Wed Dec 04 21:39:40 CET 2002	Fri Nov 02 22:22:29 CET 2001
Harpo	Harpo (singer)	Wed Apr 20 22:19:43 CEST 2005	Fri Apr 07 22:49:29 CEST 2006
Facebook	Facebook	Fri Apr 27 00:30:54 CEST 2007	Fri Apr 30 02:08:10 CEST 2004
Tjenare_kungen	Tjenare Kungen	Fri Sep 09 14:18:14 CEST 2005	Sun Aug 27 15:36:46 CEST 2006
Windows_7	Windows 7	Sun Jan 08 21:59:41 CET 2006	Wed Sep 24 14:42:01 CEST 2003
Schweiz	Switzerland	Mon Jan 20 05:05:35 CET 2003	Tue Sep 25 14:34:05 CEST 2001
Malmö	Malmö	Fri May 25 17:59:12 CEST 2001	Fri May 11 09:04:28 CEST 2001
Karl_XII	Charles XII of Sweden	Wed Jan 01 18:33:54 CET 2003	Tue Oct 15 06:31:24 CEST 2002
Lista_över_förkortningar	List of acronyms and initialisms	Thu Feb 13 17:22:35 CET 2003	Thu Mar 04 14:17:31 CET 2004
