"pageid","pagename","langid","nsid"
"5399047","'NSYNC","222","4131"
"5399773","(What's_the_Story)_Morning_Glory?","222","4131"
"5399049","+44","222","4131"
"5399778","...Baby_One_More_Time","222","4131"
"5399792",".doc","222","4131"
"5399802","0","222","4131"
"5399803","000-talet","222","4131"
"5399813","0_(tal)","222","4131"
"10725455","1","222","4145"
"5399814","1","222","4131"
"5399815","1._FC_Köln","222","4131"
"12243694","1000","222","4145"
"5399817","1000","222","4131"
"12125430","1000-talet","222","4145"
"5399818","1000-talet","222","4131"
"12125431","101","222","4145"
"7322289","101","222","4131"
"9821322","1066","222","4145"
"5399836","1066","222","4131"
"5399844","10_april","222","4131"
"7322301","10_augusti","222","4131"
"5399845","10_december","222","4131"
"5399846","10_februari","222","4131"
"11553032","10_januari","222","4141"
"5399847","10_januari","222","4131"
"5399848","10_juli","222","4131"
"5399849","10_juni","222","4131"
"5399850","10_maj","222","4131"
"5399851","10_mars","222","4131"
"5399852","10_november","222","4131"
"5399853","10_oktober","222","4131"
"5399854","10_orsaker_att_hata_dig","222","4131"
"5399855","10_september","222","4131"
"5399859","1100-talet","222","4131"
"5399867","11_april","222","4131"
"5399868","11_augusti","222","4131"
"5399869","11_december","222","4131"
"5399870","11_februari","222","4131"
"5399871","11_januari","222","4131"
"11786455","11_januari","222","4141"
"5399872","11_juli","222","4131"
"5399873","11_juni","222","4131"
"5399874","11_maj","222","4131"
"5399875","11_mars","222","4131"
"13053571","11_mars","222","4141"
"5399876","11_november","222","4131"
"5399877","11_oktober","222","4131"
"5399878","11_september","222","4131"
"5399880","11_september-attackerna","222","4131"
"9821325","11_september-attackerna","222","4145"
"11784381","11_september-attackerna","222","4132"
"5399884","1200-talet","222","4131"
"5399900","12_april","222","4131"
"7322331","12_augusti","222","4131"
"5399901","12_december","222","4131"
"5399903","12_februari","222","4131"
"5399904","12_januari","222","4131"
"11953436","12_januari","222","4141"
"5399905","12_juli","222","4131"
"5399906","12_juni","222","4131"
"5399907","12_maj","222","4131"
"5399908","12_mars","222","4131"
"8452427","12_november","222","4131"
"5399909","12_oktober","222","4131"
"16744072","12_oktober","222","4141"
"5399910","12_september","222","4131"
"5399913","1300-talet","222","4131"
"5399917","1337","222","4131"
"5399925","13_april","222","4131"
"5399926","13_augusti","222","4131"
"15861532","13_augusti","222","4141"
"5399927","13_december","222","4131"
"5399928","13_februari","222","4131"
"11953437","13_januari","222","4141"
"5399929","13_januari","222","4131"
"5399930","13_juli","222","4131"
"15375521","13_juli","222","4141"
"5399931","13_juni","222","4131"
"5399932","13_maj","222","4131"
"14362024","13_maj","222","4141"
"5399933","13_mars","222","4131"
"5399934","13_november","222","4131"
"5399935","13_oktober","222","4131"
"16744073","13_oktober","222","4141"
"5399936","13_september","222","4131"
"5399940","1400-talet","222","4131"
"5399946","1408_(film)","222","4131"
"8452451","1453","222","4131"
"5399976","1492","222","4131"
"5399978","14_april","222","4131"
"15861533","14_augusti","222","4141"
"5399979","14_augusti","222","4131"
"5399980","14_december","222","4131"
"5399981","14_februari","222","4131"
"5399982","14_januari","222","4131"
"12125933","14_januari","222","4141"
"7322363","14_juli","222","4131"
"5399983","14_juni","222","4131"
"5399984","14_maj","222","4131"
"5399985","14_mars","222","4131"
"5399986","14_november","222","4131"
"7322364","14_oktober","222","4131"
"5399987","14_september","222","4131"
"16306364","14_september","222","4141"
"11322269","1500-talet","222","4145"
"5399989","1500-talet","222","4131"
"5399993","1520","222","4131"
"5399994","1521","222","4131"
"5399995","1523","222","4131"
"5400015","15_april","222","4131"
"13910016","15_april","222","4141"
"5400016","15_augusti","222","4131"
"5400017","15_december","222","4131"
"5400018","15_februari","222","4131"
"5400019","15_januari","222","4131"
"12125934","15_januari","222","4141"
"5400020","15_juli","222","4131"
"5400021","15_juni","222","4131"
"5400022","15_maj","222","4131"
"5400023","15_mars","222","4131"
"5400024","15_november","222","4131"
"5400025","15_oktober","222","4131"
"5400026","15_september","222","4131"
"7322403","1600","222","4131"
"5400027","1600-talet","222","4131"
"5400033","1632","222","4131"
"5400040","1648","222","4131"
"7322428","1658","222","4131"
"8452496","1697","222","4131"
"5400062","16_april","222","4131"
"5400063","16_augusti","222","4131"
"5400064","16_december","222","4131"
"5400065","16_februari","222","4131"
"12243959","16_januari","222","4141"
"5400066","16_januari","222","4131"
"5400067","16_juli","222","4131"
"5400068","16_juni","222","4131"
"5400069","16_maj","222","4131"
"5400070","16_mars","222","4131"
"5400071","16_november","222","4131"
"5400072","16_oktober","222","4131"
"5400073","16_september","222","4131"
"5400075","1700","222","4131"
"16743939","1700-talet","222","4145"
"5400076","1700-talet","222","4131"
"5400080","1707","222","4131"
"5400081","1709","222","4131"
"5400082","1718","222","4131"
"7322443","1719","222","4131"
"5400083","1721","222","4131"
"8452524","1772","222","4131"
"5400108","1776","222","4131"
