id	en	sv		
1	Halloween	Halloween		
2	Sweden	Sverige		
3	Wiki	Wiki		
4	Michael Jackson	Michael_Jackson		
5	Melodifestivalen 2009	Melodifestivalen_2009		
6	United States	USA		
7	Wikipedia	Wikipedia		
8	Sissela Kyle	Sissela_Kyle		
9	Kurt Wallander	Kurt_Wallander		
10	Export	Export		
11	List of Latin phrases	Lista_över_latinska_ordspråk_och_talesätt		
12	Original Gangsters (gang)	Original_Gangsters		
13	World War II	Andra_världskriget		
14	United Nations	Förenta_nationerna		
15	Joel Kinnaman	Joel_Kinnaman		
16	Islam	Islam		
17	Polkagris	Polkagris		
18	Periodic table	Periodiska_systemet		
19	Judaism	Judendom		
20	Asperger syndrome	Aspergers_syndrom		
21	Stockholm	Stockholm		
22	World War I	Första_världskriget		
23	Australia	Australien		
24	Middle Ages	Medeltiden		
25	Henrik Larsson	Henrik_Larsson		
26	Germany	Tyskland		
27	Daylight saving time	Sommartid		
28	Gränna	Gränna		
29	Rammstein	Rammstein		
30	China	Kina		
31	Jimmie Åkesson	Jimmie_Åkesson		
32	Adolf Hitler	Adolf_Hitler		
33	Sweden Democrats	Sverigedemokraterna		
34	Borderline personality disorder	Borderline		
35	Norway	Norge		
36	Finland	Finland		
37	French Revolution	Franska_revolutionen		
38	Kent (band)	Kent_(musikgrupp)		
39	France	Frankrike		
40	Egypt	Egypten		
41	Måns Herngren	Måns_Herngren		
42	India	Indien		
43	Japan	Japan		
44	Spain	Spanien		
45	Zlatan Ibrahimović	Zlatan_Ibrahimović		
46	Italy	Italien		
47	Andreas Carlsson	Andreas_Carlsson		
48	Denmark	Danmark		
49	Russia	Ryssland		
50	Europe	Europa		
51	Buddhism	Buddhism		
52	Christianity	Kristendom		
53	Casablanca (film)	Casablanca_(film)		
54	Paul Anka	Paul_Anka		
55	Greek mythology	Grekisk_mytologi		
56	August Strindberg	August_Strindberg		
57	Elvis Presley	Elvis_Presley		
58	The Pirate Bay	The_Pirate_Bay		
59	Hinduism	Hinduism		
60	William Shakespeare	William_Shakespeare		
61	Barack Obama	Barack_Obama		
62	Earth	Jorden		
63	United Kingdom	Storbritannien		
64	South Africa	Sydafrika		
65	Renaissance	Renässansen		
66	Gothenburg	Göteborg		
67	Democracy	Demokrati		
68	Spotify	Spotify		
69	Selma Lagerlöf	Selma_Lagerlöf		
70	Iceland	Island		
71	Socialism	Socialism		
