Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
1	2	BASF	2,3,7,8-Tetrachlordibenzodioxin	1	1	de	de	0	1	1
1	3	BASF	AEG	1	1	de	de	0	1	1
1	4	BASF	Abbott Laboratories	1	1	de	de	0	1	1
1	5	BASF	Acetylen	1	1	de	de	0	1	1
1	6	BASF	Acrylsäure	1	1	de	de	0	1	1
1	7	BASF	AdBlue	1	1	de	de	0	1	1
1	8	BASF	Adidas	1	1	de	de	0	1	1
1	9	BASF	Agfa	1	1	de	de	0	1	1
1	10	BASF	Agrarchemie	1	1	de	de	0	1	1
1	11	BASF	Air Liquide	1	1	de	de	0	1	1
1	12	BASF	Akzo Nobel	1	1	de	de	0	1	1
1	13	BASF	Alizarin	1	1	de	de	0	1	1
1	14	BASF	Allianz SE	1	1	de	de	0	1	1
1	15	BASF	Alliierter Kontrollrat	1	1	de	de	0	1	1
1	16	BASF	Alstom	1	1	de	de	0	1	1
1	17	BASF	Altamira (Mexico)	1	1	de	de	0	1	1
1	18	BASF	Altana	1	1	de	de	0	1	1
1	19	BASF	Alwin Mittasch	1	1	de	de	0	1	1
1	20	BASF	Amflora	1	1	de	de	0	1	1
1	21	BASF	Amine	1	1	de	de	0	1	1
1	22	BASF	Anheuser-Busch InBev	1	1	de	de	0	1	1
1	23	BASF	Anilin	1	1	de	de	0	1	1
1	24	BASF	Anke Schäferkordt	1	1	de	de	0	1	1
1	25	BASF	Anorganische Chemie	1	1	de	de	0	1	1
1	26	BASF	Antwerpen	1	1	de	de	0	1	1
1	27	BASF	ArcelorMittal	1	1	de	de	0	1	1
1	28	BASF	Argentinien	1	1	de	de	0	1	1
1	29	BASF	Assicurazioni Generali	1	1	de	de	0	1	1
1	30	BASF	Aufsichtsratsvorsitzender	1	1	de	de	0	1	1
1	31	BASF	August Clemm	1	1	de	de	0	1	1
1	32	BASF	Australien	1	1	de	de	0	1	1
1	33	BASF	Axa	1	1	de	de	0	1	1
1	34	BASF	Azofarbstoffe	1	1	de	de	0	1	1
1	35	BASF	BASF Agrarzentrum Limburgerhof	1	1	de	de	0	1	1
1	36	BASF	BASF Coatings	1	1	de	de	0	1	1
1	37	BASF	BASF Coatings AG	1	1	de	de	0	1	1
1	38	BASF	BASF IT Services	1	1	de	de	0	1	1
1	39	BASF	BASF Pharmachemikalien	1	1	de	de	0	1	1
1	40	BASF	BASF Plant Science	1	1	de	de	0	1	1
1	41	BASF	BASF Polyurethanes	1	1	de	de	0	1	1
1	42	BASF	BASF Schwarzheide GmbH	1	1	de	de	0	1	1
1	43	BASF	BMW	1	1	de	de	0	1	1
1	44	BASF	BNP Paribas	1	1	de	de	0	1	1
1	45	BASF	Babcock Borsig	1	1	de	de	0	1	1
1	46	BASF	Banco Bilbao Vizcaya Argentaria	1	1	de	de	0	1	1
1	47	BASF	Banco Santander	1	1	de	de	0	1	1
1	48	BASF	Basel	1	1	de	de	0	1	1
1	49	BASF	Basell	1	1	de	de	0	1	1
1	50	BASF	Baumwolle	1	1	de	de	0	1	1
1	51	BASF	Bayer AG	1	1	de	de	0	1	1
1	52	BASF	Bayer CropScience	1	1	de	de	0	1	1
1	53	BASF	Bayerische Hypotheken- und Wechsel-Bank	1	1	de	de	0	1	1
1	54	BASF	Bayerische Vereinsbank	1	1	de	de	0	1	1
1	55	BASF	Beiersdorf AG	1	1	de	de	0	1	1
1	56	BASF	Belgien	1	1	de	de	0	1	1
1	57	BASF	Bergius-Pier-Verfahren	1	1	de	de	0	1	1
1	58	BASF	Bernd Venohr	1	1	de	de	0	1	1
1	59	BASF	Bilanzsumme	1	1	de	de	0	1	1
1	60	BASF	Biotechnologie	1	1	de	de	0	1	1
1	61	BASF	BlackRock	1	1	de	de	0	1	1
1	62	BASF	Brasilien	1	1	de	de	0	1	1
1	63	BASF	Buna (Kautschuk)	1	1	de	de	0	1	1
1	64	BASF	Bund für Umwelt und Naturschutz Deutschland	1	1	de	de	0	1	1
1	65	BASF	Calciumcarbid	1	1	de	de	0	1	1
1	66	BASF	Carl-Zeiss-Stiftung	1	1	de	de	0	1	1
1	67	BASF	Carl Bosch	1	1	de	de	0	1	1
1	68	BASF	Carl Clemm	1	1	de	de	0	1	1
1	69	BASF	Carl Duisberg	1	1	de	de	0	1	1
1	70	BASF	Carl Zeiss AG	1	1	de	de	0	1	1
1	71	BASF	Carotinoide	1	1	de	de	0	1	1
1	72	BASF	Carrefour (Unternehmen)	1	1	de	de	0	1	1
1	73	BASF	Cassella Farbwerke Mainkur	1	1	de	de	0	1	1
1	74	BASF	Celanese	1	1	de	de	0	1	1
1	75	BASF	Cement Roadstone Holding	1	1	de	de	0	1	1
1	76	BASF	Chemiepark Marl	1	1	de	de	0	1	1
1	77	BASF	Chemiker	1	1	de	de	0	1	1
1	78	BASF	Chemische Fabrik	1	1	de	de	0	1	1
1	79	BASF	Chemische Fabrik Griesheim-Elektron	1	1	de	de	0	1	1
1	80	BASF	Chemische Fabrik Kalle	1	1	de	de	0	1	1
1	81	BASF	Chemische Industrie	1	1	de	de	0	1	1
1	82	BASF	Chlorakne	1	1	de	de	0	1	1
1	83	BASF	Ciba AG	1	1	de	de	0	1	1
1	84	BASF	Citronellal	1	1	de	de	0	1	1
1	85	BASF	Citronellol	1	1	de	de	0	1	1
1	86	BASF	Clariant	1	1	de	de	0	1	1
1	87	BASF	Cognis	1	1	de	de	0	1	1
1	88	BASF	Commerzbank	1	1	de	de	0	1	1
1	89	BASF	Compagnie de Saint-Gobain	1	1	de	de	0	1	1
1	90	BASF	Comparex	1	1	de	de	0	1	1
1	91	BASF	Continental AG	1	1	de	de	0	1	1
1	92	BASF	Corporate Design	1	1	de	de	0	1	1
1	93	BASF	Crédit Agricole (Unternehmen)	1	1	de	de	0	1	1
1	94	BASF	DAX	1	1	de	de	0	1	1
1	95	BASF	Dachverband der Kritischen Aktionärinnen und Aktionäre	1	1	de	de	0	1	1
1	96	BASF	Daimler AG	1	1	de	de	0	1	1
1	97	BASF	Dannenfels	1	1	de	de	0	1	1
1	98	BASF	Danone	1	1	de	de	0	1	1
1	99	BASF	Degussa	1	1	de	de	0	1	1
1	100	BASF	Deutsche Bank	1	1	de	de	0	1	1
1	101	BASF	Deutsche Börse	1	1	de	de	0	1	1
1	102	BASF	Deutsche Gesellschaft für Schädlingsbekämpfung	1	1	de	de	0	1	1
1	103	BASF	Deutsche Post AG	1	1	de	de	0	1	1
1	104	BASF	Deutsche Telekom	1	1	de	de	0	1	1
1	105	BASF	Deutscher Naturschutzring	1	1	de	de	0	1	1
1	106	BASF	Deutschland	1	1	de	de	0	1	1
1	107	BASF	Dow Chemical	1	1	de	de	0	1	1
1	108	BASF	Dresdner Bank	1	1	de	de	0	1	1
1	109	BASF	DuPont	1	1	de	de	0	1	1
1	110	BASF	DyStar	1	1	de	de	0	1	1
1	111	BASF	Dynamit Nobel	1	1	de	de	0	1	1
1	112	BASF	E.ON	1	1	de	de	0	1	1
1	113	BASF	EBIT	1	1	de	de	0	1	1
1	114	BASF	EURO STOXX 50	1	1	de	de	0	1	1
1	115	BASF	Eggert Voscherau	1	1	de	de	0	1	1
1	116	BASF	Emtec Magnetics	1	1	de	de	0	1	1
1	117	BASF	Enel	1	1	de	de	0	1	1
1	118	BASF	Engelhard Corporation	1	1	de	de	0	1	1
1	119	BASF	Eni (Unternehmen)	1	1	de	de	0	1	1
1	120	BASF	Entwesung	1	1	de	de	0	1	1
1	121	BASF	Eosin Y	1	1	de	de	0	1	1
1	122	BASF	Epcos	1	1	de	de	0	1	1
1	123	BASF	Erdgasleitung	1	1	de	de	0	1	1
1	124	BASF	Erdgasspeicher	1	1	de	de	0	1	1
1	125	BASF	Erdöl	1	1	de	de	0	1	1
1	126	BASF	Erlös	1	1	de	de	0	1	1
1	127	BASF	Erster Weltkrieg	1	1	de	de	0	1	1
1	128	BASF	Ersttagsblatt	1	1	de	de	0	1	1
1	129	BASF	Ethen	1	1	de	de	0	1	1
1	130	BASF	Ethylen	1	1	de	de	0	1	1
1	131	BASF	Euro	1	1	de	de	0	1	1
1	132	BASF	Euronext	1	1	de	de	0	1	1
1	133	BASF	Europäische Gesellschaft	1	1	de	de	0	1	1
1	134	BASF	Evonik	1	1	de	de	0	1	1
1	135	BASF	Evonik Degussa	1	1	de	de	0	1	1
1	136	BASF	Explosion des Oppauer Stickstoffwerkes	1	1	de	de	0	1	1
1	137	BASF	Externe Mitarbeiter in deutschen Bundesministerien	1	1	de	de	0	1	1
1	138	BASF	Exxon	1	1	de	de	0	1	1
1	139	BASF	Faserverbundwerkstoff	1	1	de	de	0	1	1
1	140	BASF	Feinchemie	1	1	de	de	0	1	1
1	141	BASF	Feldmühle (Unternehmen)	1	1	de	de	0	1	1
1	142	BASF	Florian Langenscheidt	1	1	de	de	0	1	1
1	143	BASF	Forbes Magazine	1	1	de	de	0	1	1
1	144	BASF	Fortuna (Kartoffel)	1	1	de	de	0	1	1
1	145	BASF	France Telecom	1	1	de	de	0	1	1
1	146	BASF	Frankfurt am Main	1	1	de	de	0	1	1
1	147	BASF	Frankfurter Wertpapierbörse	1	1	de	de	0	1	1
1	148	BASF	Frankreich	1	1	de	de	0	1	1
1	149	BASF	Franz Fehrenbach	1	1	de	de	0	1	1
1	150	BASF	François Diederich	1	1	de	de	0	1	1
1	151	BASF	Freeport (Texas)	1	1	de	de	0	1	1
1	152	BASF	Fresenius (Unternehmen)	1	1	de	de	0	1	1
1	153	BASF	Fresenius Medical Care	1	1	de	de	0	1	1
