Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
59	173	Afri-Cola	Aktiengesellschaft	4	4	en	en	0	1	2
59	174	Afri-Cola	Amrat Cola	4	4	en	en	0	1	2
59	175	Afri-Cola	Apotekarnes Cola	4	4	en	en	0	1	2
59	176	Afri-Cola	Austria	4	4	en	en	0	1	2
59	177	Afri-Cola	Baikal (drink)	4	4	en	en	0	1	2
59	178	Afri-Cola	Barr Cola	4	4	en	en	0	1	2
59	179	Afri-Cola	Beed Cola	4	4	en	en	0	1	2
59	180	Afri-Cola	Big 8 Cola	4	4	en	en	0	1	2
59	181	Afri-Cola	Bluna	4	4	en	en	0	1	2
59	182	Afri-Cola	Breizh Cola	4	4	en	en	0	1	2
59	183	Afri-Cola	Bubba Cola	4	4	en	en	0	1	2
59	184	Afri-Cola	Caffeine	4	4	en	en	0	1	2
59	185	Afri-Cola	Campa Cola	4	4	en	en	0	1	2
59	186	Afri-Cola	Cassinelli (soft drink)	4	4	en	en	0	1	2
59	187	Afri-Cola	Cavan Cola	4	4	en	en	0	1	2
59	188	Afri-Cola	China Cola	4	4	en	en	0	1	2
59	189	Afri-Cola	Classic Cola (Sainsbury's)	4	4	en	en	0	1	2
59	190	Afri-Cola	Club Cola	4	4	en	en	0	1	2
59	191	Afri-Cola	Coca-Cola	4	4	en	en	0	1	2
59	192	Afri-Cola	Coca Cola	4	4	en	en	0	1	2
59	193	Afri-Cola	Cockta	4	4	en	en	0	1	2
59	194	Afri-Cola	Cola	4	4	en	en	0	1	2
59	195	Afri-Cola	Cola Turka	4	4	en	en	0	1	2
59	196	Afri-Cola	Cole Cold	4	4	en	en	0	1	2
59	197	Afri-Cola	Cologne	4	4	en	en	0	1	2
59	198	Afri-Cola	Corsica Cola	4	4	en	en	0	1	2
59	199	Afri-Cola	Count Cola	4	4	en	en	0	1	2
59	200	Afri-Cola	Cricket Cola	4	4	en	en	0	1	2
59	201	Afri-Cola	Cuba Cola	4	4	en	en	0	1	2
59	202	Afri-Cola	Czech Republic	4	4	en	en	0	1	2
59	203	Afri-Cola	Diet Coke	4	4	en	en	0	1	2
59	204	Afri-Cola	Diet Rite	4	4	en	en	0	1	2
59	205	Afri-Cola	Double Cola	4	4	en	en	0	1	2
59	206	Afri-Cola	El Ché-Cola	4	4	en	en	0	1	2
59	207	Afri-Cola	Evoca Cola	4	4	en	en	0	1	2
59	208	Afri-Cola	Export Cola	4	4	en	en	0	1	2
59	209	Afri-Cola	Fada cola	4	4	en	en	0	1	2
59	210	Afri-Cola	Fanta	4	4	en	en	0	1	2
59	211	Afri-Cola	Faygo	4	4	en	en	0	1	2
59	212	Afri-Cola	Fentimans Curiosity Cola	4	4	en	en	0	1	2
59	213	Afri-Cola	France	4	4	en	en	0	1	2
59	214	Afri-Cola	Frescolita	4	4	en	en	0	1	2
59	215	Afri-Cola	Fruti Kola	4	4	en	en	0	1	2
59	216	Afri-Cola	Fuji-Cola	4	4	en	en	0	1	2
59	217	Afri-Cola	Fukola Cola	4	4	en	en	0	1	2
59	218	Afri-Cola	Germany	4	4	en	en	0	1	2
59	219	Afri-Cola	Guaranito	4	4	en	en	0	1	2
59	220	Afri-Cola	Isaac Kola	4	4	en	en	0	1	2
59	221	Afri-Cola	Jolly Cola	4	4	en	en	0	1	2
59	222	Afri-Cola	Jolt Cola	4	4	en	en	0	1	2
59	223	Afri-Cola	Kitty Kola	4	4	en	en	0	1	2
59	224	Afri-Cola	Kofola	4	4	en	en	0	1	2
59	225	Afri-Cola	Kola Real	4	4	en	en	0	1	2
59	226	Afri-Cola	Kola Román	4	4	en	en	0	1	2
59	227	Afri-Cola	Kristal Kola	4	4	en	en	0	1	2
59	228	Afri-Cola	LA Ice Cola	4	4	en	en	0	1	2
59	229	Afri-Cola	Lava Cola	4	4	en	en	0	1	2
59	230	Afri-Cola	Like Cola	4	4	en	en	0	1	2
59	231	Afri-Cola	Mecca-Cola	4	4	en	en	0	1	2
59	232	Afri-Cola	Mineralbrunnen Überkingen-Teinach	4	4	en	en	0	1	2
59	233	Afri-Cola	Mr. Cola	4	4	en	en	0	1	2
59	234	Afri-Cola	New Coke	4	4	en	en	0	1	2
59	235	Afri-Cola	Olvi Cola	4	4	en	en	0	1	2
59	236	Afri-Cola	OpenCola (drink)	4	4	en	en	0	1	2
59	237	Afri-Cola	Pakola	4	4	en	en	0	1	2
59	238	Afri-Cola	Parsi Cola	4	4	en	en	0	1	2
59	239	Afri-Cola	Pepsi	4	4	en	en	0	1	2
59	240	Afri-Cola	Perú Cola	4	4	en	en	0	1	2
59	241	Afri-Cola	Polo-Cockta	4	4	en	en	0	1	2
59	242	Afri-Cola	Pran Cola	4	4	en	en	0	1	2
59	243	Afri-Cola	Premium-Cola	4	4	en	en	0	1	2
59	244	Afri-Cola	Qibla Cola	4	4	en	en	0	1	2
59	245	Afri-Cola	RC Cola	4	4	en	en	0	1	2
59	246	Afri-Cola	Red Bull Cola	4	4	en	en	0	1	2
59	247	Afri-Cola	Red Kola	4	4	en	en	0	1	2
59	248	Afri-Cola	Rola Cola	4	4	en	en	0	1	2
59	249	Afri-Cola	Sam's Cola	4	4	en	en	0	1	2
59	250	Afri-Cola	Saudi Arabia	4	4	en	en	0	1	2
59	251	Afri-Cola	Schweppes Cola	4	4	en	en	0	1	2
59	252	Afri-Cola	Second World War	4	4	en	en	0	1	2
59	253	Afri-Cola	Sinalco	4	4	en	en	0	1	2
59	254	Afri-Cola	Soft drink	4	4	en	en	0	1	2
59	255	Afri-Cola	Switzerland	4	4	en	en	0	1	2
59	256	Afri-Cola	Tab (soft drink)	4	4	en	en	0	1	2
59	257	Afri-Cola	Thums Up	4	4	en	en	0	1	2
59	258	Afri-Cola	Topsia Cola	4	4	en	en	0	1	2
59	259	Afri-Cola	Trademark	4	4	en	en	0	1	2
59	260	Afri-Cola	Triple Kola	4	4	en	en	0	1	2
59	261	Afri-Cola	TuKola	4	4	en	en	0	1	2
59	262	Afri-Cola	Ubuntu Cola	4	4	en	en	0	1	2
59	263	Afri-Cola	Virgin Cola	4	4	en	en	0	1	2
59	264	Afri-Cola	Vita Cola	4	4	en	en	0	1	2
59	265	Afri-Cola	Wirtschaftswunder	4	4	en	en	0	1	2
59	266	Afri-Cola	XL Cola	4	4	en	en	0	1	2
59	267	Afri-Cola	Zam Zam Cola	4	4	en	en	0	1	2
59	268	Afri-Cola	Zelal Cola	4	4	en	en	0	1	2
59	269	Afri-Cola	Zevia Cola	4	4	en	en	0	1	2
59	270	Afri-Cola	Wikipedia:No original research	4	4	en	en	0	1	2
59	271	Afri-Cola	Wikipedia:Verifiability	4	4	en	en	0	1	2
59	272	Afri-Cola	Template:Citation needed	4	4	en	en	0	1	2
59	273	Afri-Cola	Template:Colas	4	4	en	en	0	1	2
59	274	Afri-Cola	Template talk:Colas	4	4	en	en	0	1	2
59	275	Afri-Cola	Help:Introduction to referencing/1	4	4	en	en	0	1	2
59	276	Afri-Cola	Category:Articles lacking reliable references from January 2007	4	4	en	en	0	1	2
59	277	Afri-Cola	Category:Articles needing additional references from December 2007	4	4	en	en	0	1	2
59	57	Afri-Cola	Afri-Cola	4	2	en	fi	1	0	2
59	58	Afri-Cola	Afri-Cola	4	3	en	fr	1	0	2
59	1	Afri-Cola	Afri-Cola	4	1	en	de	1	0	2
59	60	Afri-Cola	Afri-Cola	4	5	en	es	1	0	2
59	61	Afri-Cola	Afri-cola	4	6	en	pl	1	0	2
59	62	Afri-Cola	Afri-Cola	4	7	en	nl	1	0	2
59	63	Afri-Cola	Afri-Cola	4	8	en	it	1	0	2
59	64	Afri-Cola	アフリ・コーラ	4	9	en	ja	1	0	2
59	65	Afri-Cola	Afri-Cola	4	10	en	sv	1	0	2
59	66	Afri-Cola	Afri-Cola	4	11	en	sq	1	0	2
57	67	Afri-Cola	1931	2	2	fi	fi	0	1	2
57	68	Afri-Cola	Bluna	2	2	fi	fi	0	1	2
57	69	Afri-Cola	Charles Paul Wilp	2	2	fi	fi	0	1	2
57	70	Afri-Cola	Juoma	2	2	fi	fi	0	1	2
57	71	Afri-Cola	Kolajuoma	2	2	fi	fi	0	1	2
57	72	Afri-Cola	Ravinto	2	2	fi	fi	0	1	2
57	73	Afri-Cola	Ruoka	2	2	fi	fi	0	1	2
57	74	Afri-Cola	Saksa	2	2	fi	fi	0	1	2
57	75	Afri-Cola	Wikipedia:Tynkä	2	2	fi	fi	0	1	2
57	76	Afri-Cola	Luokka:Ruokatyngät	2	2	fi	fi	0	1	2
58	77	Afri-Cola	1931	3	3	fr	fr	0	1	2
58	78	Afri-Cola	Allemagne	3	3	fr	fr	0	1	2
58	79	Afri-Cola	Alp'Cola	3	3	fr	fr	0	1	2
58	80	Afri-Cola	Amrat Cola	3	3	fr	fr	0	1	2
58	81	Afri-Cola	Anjou Cola	3	3	fr	fr	0	1	2
58	82	Afri-Cola	Années 1960	3	3	fr	fr	0	1	2
58	83	Afri-Cola	Arab Cola	3	3	fr	fr	0	1	2
58	84	Afri-Cola	Auvergnat Cola	3	3	fr	fr	0	1	2
58	85	Afri-Cola	Barr Cola	3	3	fr	fr	0	1	2
58	86	Afri-Cola	Beuk Cola	3	3	fr	fr	0	1	2
58	87	Afri-Cola	Bluna	3	3	fr	fr	0	1	2
58	88	Afri-Cola	Bougnat Cola	3	3	fr	fr	0	1	2
58	89	Afri-Cola	Breizh Cola	3	3	fr	fr	0	1	2
58	90	Afri-Cola	Britt Cola	3	3	fr	fr	0	1	2
58	91	Afri-Cola	Caféine	3	3	fr	fr	0	1	2
58	92	Afri-Cola	Campa Cola	3	3	fr	fr	0	1	2
58	93	Afri-Cola	Charles Wilp	3	3	fr	fr	0	1	2
58	94	Afri-Cola	Chek	3	3	fr	fr	0	1	2
58	95	Afri-Cola	Chero-Cola	3	3	fr	fr	0	1	2
58	96	Afri-Cola	China Cola	3	3	fr	fr	0	1	2
58	97	Afri-Cola	Chtilà Cola	3	3	fr	fr	0	1	2
58	98	Afri-Cola	Classic Cola	3	3	fr	fr	0	1	2
58	99	Afri-Cola	Coca-Cola	3	3	fr	fr	0	1	2
58	100	Afri-Cola	Coca Colla	3	3	fr	fr	0	1	2
58	101	Afri-Cola	Cockta	3	3	fr	fr	0	1	2
58	102	Afri-Cola	Cola	3	3	fr	fr	0	1	2
58	103	Afri-Cola	Cola'rdèche	3	3	fr	fr	0	1	2
58	104	Afri-Cola	Cola Occitan	3	3	fr	fr	0	1	2
58	105	Afri-Cola	Cola Turka	3	3	fr	fr	0	1	2
58	106	Afri-Cola	Corsica Cola	3	3	fr	fr	0	1	2
58	107	Afri-Cola	Count Cola	3	3	fr	fr	0	1	2
58	108	Afri-Cola	Cricket Cola	3	3	fr	fr	0	1	2
58	109	Afri-Cola	Cuba Cola	3	3	fr	fr	0	1	2
58	110	Afri-Cola	Diet Rite	3	3	fr	fr	0	1	2
58	111	Afri-Cola	Double Cola	3	3	fr	fr	0	1	2
58	112	Afri-Cola	El Che Cola	3	3	fr	fr	0	1	2
58	113	Afri-Cola	Elsass Cola	3	3	fr	fr	0	1	2
58	114	Afri-Cola	Evoca Cola	3	3	fr	fr	0	1	2
58	115	Afri-Cola	Fada Cola	3	3	fr	fr	0	1	2
58	116	Afri-Cola	Faygo	3	3	fr	fr	0	1	2
58	117	Afri-Cola	Feichang Cola	3	3	fr	fr	0	1	2
58	118	Afri-Cola	Frescolita	3	3	fr	fr	0	1	2
58	119	Afri-Cola	Hard Spark Cola	3	3	fr	fr	0	1	2
58	120	Afri-Cola	Imazighen Cola	3	3	fr	fr	0	1	2
58	121	Afri-Cola	Inca Kola	3	3	fr	fr	0	1	2
58	122	Afri-Cola	Jolly Cola	3	3	fr	fr	0	1	2
58	123	Afri-Cola	Jolt Cola	3	3	fr	fr	0	1	2
58	124	Afri-Cola	Just Cola	3	3	fr	fr	0	1	2
58	125	Afri-Cola	Kofola	3	3	fr	fr	0	1	2
58	126	Afri-Cola	Kola Real	3	3	fr	fr	0	1	2
58	127	Afri-Cola	Like Cola	3	3	fr	fr	0	1	2
58	128	Afri-Cola	Limouzi Cola	3	3	fr	fr	0	1	2
58	129	Afri-Cola	Look Cola	3	3	fr	fr	0	1	2
58	130	Afri-Cola	Marque commerciale	3	3	fr	fr	0	1	2
58	131	Afri-Cola	Mecca Cola	3	3	fr	fr	0	1	2
58	132	Afri-Cola	Meuh Cola	3	3	fr	fr	0	1	2
58	133	Afri-Cola	Montania Cola	3	3	fr	fr	0	1	2
58	134	Afri-Cola	Olvi Cola	3	3	fr	fr	0	1	2
58	135	Afri-Cola	OpenCola	3	3	fr	fr	0	1	2
58	136	Afri-Cola	Pepsi-Cola	3	3	fr	fr	0	1	2
58	137	Afri-Cola	Poitou Cola	3	3	fr	fr	0	1	2
58	138	Afri-Cola	Premium-cola	3	3	fr	fr	0	1	2
58	139	Afri-Cola	Qibla Cola	3	3	fr	fr	0	1	2
58	140	Afri-Cola	RC Cola	3	3	fr	fr	0	1	2
58	141	Afri-Cola	Red Bull Cola	3	3	fr	fr	0	1	2
58	142	Afri-Cola	Red Kola	3	3	fr	fr	0	1	2
58	143	Afri-Cola	River Cola	3	3	fr	fr	0	1	2
58	144	Afri-Cola	Rola Cola	3	3	fr	fr	0	1	2
58	145	Afri-Cola	Royal Cola	3	3	fr	fr	0	1	2
58	146	Afri-Cola	Rutto Cola	3	3	fr	fr	0	1	2
58	147	Afri-Cola	Salva Cola	3	3	fr	fr	0	1	2
58	148	Afri-Cola	Sam's Choice	3	3	fr	fr	0	1	2
58	149	Afri-Cola	Selecto	3	3	fr	fr	0	1	2
58	150	Afri-Cola	Shasta (soft drink)	3	3	fr	fr	0	1	2
58	151	Afri-Cola	Sinalco	3	3	fr	fr	0	1	2
58	152	Afri-Cola	Soda	3	3	fr	fr	0	1	2
58	153	Afri-Cola	Sugar Cane Cola	3	3	fr	fr	0	1	2
58	154	Afri-Cola	Tab (soft drink)	3	3	fr	fr	0	1	2
58	155	Afri-Cola	Thums Up	3	3	fr	fr	0	1	2
58	156	Afri-Cola	TuKola	3	3	fr	fr	0	1	2
58	157	Afri-Cola	Ubuntu Cola	3	3	fr	fr	0	1	2
58	158	Afri-Cola	Ugarit Cola	3	3	fr	fr	0	1	2
58	159	Afri-Cola	Vendée Cola	3	3	fr	fr	0	1	2
58	160	Afri-Cola	Virgin Cola	3	3	fr	fr	0	1	2
58	161	Afri-Cola	Vita-Cola	3	3	fr	fr	0	1	2
58	162	Afri-Cola	Zam Zam Cola	3	3	fr	fr	0	1	2
58	163	Afri-Cola	Zelal Cola	3	3	fr	fr	0	1	2
58	164	Afri-Cola	Überkingen-Teinach AG	3	3	fr	fr	0	1	2
58	165	Afri-Cola	Modèle:Palette Colas	3	3	fr	fr	0	1	2
58	166	Afri-Cola	Discussion modèle:Palette Colas	3	3	fr	fr	0	1	2
58	167	Afri-Cola	Catégorie:Portail:Alimentation et gastronomie/Articles liés	3	3	fr	fr	0	1	2
58	168	Afri-Cola	Catégorie:Portail:Allemagne/Articles liés	3	3	fr	fr	0	1	2
58	169	Afri-Cola	Catégorie:Portail:Entreprises/Articles liés	3	3	fr	fr	0	1	2
58	170	Afri-Cola	Portail:Alimentation et gastronomie	3	3	fr	fr	0	1	2
58	171	Afri-Cola	Portail:Allemagne	3	3	fr	fr	0	1	2
58	172	Afri-Cola	Portail:Entreprises	3	3	fr	fr	0	1	2
1	2	Afri-Cola	Antisemitismus	1	1	de	de	0	1	2
1	3	Afri-Cola	Bad Teinach	1	1	de	de	0	1	2
1	4	Afri-Cola	Bluna	1	1	de	de	0	1	2
1	5	Afri-Cola	Charles Wilp	1	1	de	de	0	1	2
1	6	Afri-Cola	Charts (Musik)	1	1	de	de	0	1	2
1	7	Afri-Cola	Claim (Werbung)	1	1	de	de	0	1	2
1	8	Afri-Cola	Coca-Cola	1	1	de	de	0	1	2
1	9	Afri-Cola	Cola	1	1	de	de	0	1	2
1	10	Afri-Cola	Deutschland	1	1	de	de	0	1	2
1	11	Afri-Cola	Deutschland Tour	1	1	de	de	0	1	2
1	12	Afri-Cola	Die Zeit	1	1	de	de	0	1	2
1	13	Afri-Cola	Düsseldorf	1	1	de	de	0	1	2
1	14	Afri-Cola	Energy-Drink	1	1	de	de	0	1	2
1	15	Afri-Cola	Fachingen	1	1	de	de	0	1	2
1	16	Afri-Cola	Fotografie	1	1	de	de	0	1	2
1	17	Afri-Cola	Frankreich	1	1	de	de	0	1	2
1	18	Afri-Cola	Ghana	1	1	de	de	0	1	2
1	19	Afri-Cola	Güstrow	1	1	de	de	0	1	2
1	20	Afri-Cola	Hans Schwippert	1	1	de	de	0	1	2
1	21	Afri-Cola	Internationale Afri-Cola Deutschland-Rundfahrt 1960	1	1	de	de	0	1	2
1	22	Afri-Cola	Internationale Afri-Cola Deutschland-Rundfahrt 1961	1	1	de	de	0	1	2
1	23	Afri-Cola	Internationale Afri-Cola Deutschland-Rundfahrt 1962	1	1	de	de	0	1	2
1	24	Afri-Cola	Jahrhundertwende	1	1	de	de	0	1	2
1	25	Afri-Cola	Jupp Ernst	1	1	de	de	0	1	2
1	26	Afri-Cola	Karl Flach (Unternehmer)	1	1	de	de	0	1	2
1	27	Afri-Cola	Katholische Kirche	1	1	de	de	0	1	2
1	28	Afri-Cola	Kißlegg	1	1	de	de	0	1	2
1	29	Afri-Cola	Koffein	1	1	de	de	0	1	2
1	30	Afri-Cola	Kult (Status)	1	1	de	de	0	1	2
1	31	Afri-Cola	Kurzfilm	1	1	de	de	0	1	2
1	32	Afri-Cola	Köln-Braunsfeld	1	1	de	de	0	1	2
1	33	Afri-Cola	Liste von Cola-Marken	1	1	de	de	0	1	2
1	34	Afri-Cola	Lizenz	1	1	de	de	0	1	2
1	35	Afri-Cola	Markenrecht	1	1	de	de	0	1	2
1	36	Afri-Cola	Max Keith	1	1	de	de	0	1	2
1	37	Afri-Cola	Mineralbrunnen Überkingen-Teinach	1	1	de	de	0	1	2
1	38	Afri-Cola	Nonne	1	1	de	de	0	1	2
1	39	Afri-Cola	Retro	1	1	de	de	0	1	2
1	40	Afri-Cola	Saudi-Arabien	1	1	de	de	0	1	2
1	41	Afri-Cola	Schweiz	1	1	de	de	0	1	2
1	42	Afri-Cola	Slogan	1	1	de	de	0	1	2
1	43	Afri-Cola	Soundalike	1	1	de	de	0	1	2
1	44	Afri-Cola	Spiegel Online	1	1	de	de	0	1	2
1	45	Afri-Cola	Südafrika	1	1	de	de	0	1	2
1	46	Afri-Cola	The Flames	1	1	de	de	0	1	2
1	47	Afri-Cola	Tschechien	1	1	de	de	0	1	2
1	48	Afri-Cola	Warenmarke	1	1	de	de	0	1	2
1	49	Afri-Cola	Warenzeichen	1	1	de	de	0	1	2
1	50	Afri-Cola	Westdeutsche Zeitung	1	1	de	de	0	1	2
1	51	Afri-Cola	Wettbewerb (Wirtschaft)	1	1	de	de	0	1	2
1	52	Afri-Cola	Wilhelm Wagenfeld	1	1	de	de	0	1	2
1	53	Afri-Cola	Willem Sandberg	1	1	de	de	0	1	2
1	54	Afri-Cola	Wim Wenders	1	1	de	de	0	1	2
1	55	Afri-Cola	Zucker	1	1	de	de	0	1	2
1	56	Afri-Cola	Österreich	1	1	de	de	0	1	2
60	278	Afri-Cola	1931	5	5	es	es	0	1	2
60	279	Afri-Cola	Alemania	5	5	es	es	0	1	2
60	280	Afri-Cola	Años 1960	5	5	es	es	0	1	2
60	281	Afri-Cola	Bebida de cola	5	5	es	es	0	1	2
60	282	Afri-Cola	Bluna	5	5	es	es	0	1	2
60	283	Afri-Cola	Cafeína	5	5	es	es	0	1	2
60	284	Afri-Cola	Coca-Cola	5	5	es	es	0	1	2
60	285	Afri-Cola	Naranja (fruto)	5	5	es	es	0	1	2
60	286	Afri-Cola	Pepsi	5	5	es	es	0	1	2
60	287	Afri-Cola	Refresco	5	5	es	es	0	1	2
61	288	Afri-cola	Niemcy	6	6	pl	pl	0	1	2
62	289	Afri-Cola	1931	7	7	nl	nl	0	1	2
62	290	Afri-Cola	1960-1969	7	7	nl	nl	0	1	2
62	291	Afri-Cola	1990-1999	7	7	nl	nl	0	1	2
62	292	Afri-Cola	1998	7	7	nl	nl	0	1	2
62	293	Afri-Cola	1 april	7	7	nl	nl	0	1	2
62	294	Afri-Cola	2005	7	7	nl	nl	0	1	2
62	295	Afri-Cola	2006	7	7	nl	nl	0	1	2
62	296	Afri-Cola	3ES	7	7	nl	nl	0	1	2
62	297	Afri-Cola	Alter Cola	7	7	nl	nl	0	1	2
62	298	Afri-Cola	Amrat Cola	7	7	nl	nl	0	1	2
62	299	Afri-Cola	Apotekarnes Cola	7	7	nl	nl	0	1	2
62	300	Afri-Cola	Arab Cola	7	7	nl	nl	0	1	2
62	301	Afri-Cola	Barr Cola	7	7	nl	nl	0	1	2
62	302	Afri-Cola	Beuk Cola	7	7	nl	nl	0	1	2
62	303	Afri-Cola	Boylan	7	7	nl	nl	0	1	2
62	304	Afri-Cola	Breizh Cola	7	7	nl	nl	0	1	2
62	305	Afri-Cola	Bubba Cola	7	7	nl	nl	0	1	2
62	306	Afri-Cola	C&C Cola	7	7	nl	nl	0	1	2
62	307	Afri-Cola	Cafeïne	7	7	nl	nl	0	1	2
62	308	Afri-Cola	Campa Cola	7	7	nl	nl	0	1	2
62	309	Afri-Cola	Cat Cola	7	7	nl	nl	0	1	2
62	310	Afri-Cola	Chek	7	7	nl	nl	0	1	2
62	311	Afri-Cola	Chtilà Cola	7	7	nl	nl	0	1	2
62	312	Afri-Cola	Classic Cola	7	7	nl	nl	0	1	2
62	313	Afri-Cola	Club Cola	7	7	nl	nl	0	1	2
62	314	Afri-Cola	Coca-Cola	7	7	nl	nl	0	1	2
62	315	Afri-Cola	Cola	7	7	nl	nl	0	1	2
62	316	Afri-Cola	Cola Turka	7	7	nl	nl	0	1	2
62	317	Afri-Cola	Cole Cold	7	7	nl	nl	0	1	2
62	318	Afri-Cola	Corsica Cola	7	7	nl	nl	0	1	2
62	319	Afri-Cola	Count Cola	7	7	nl	nl	0	1	2
62	320	Afri-Cola	Cricket Cola	7	7	nl	nl	0	1	2
62	321	Afri-Cola	Cuba Cola	7	7	nl	nl	0	1	2
62	322	Afri-Cola	Dixi Cola	7	7	nl	nl	0	1	2
62	323	Afri-Cola	Double Cola	7	7	nl	nl	0	1	2
62	324	Afri-Cola	Duitsland	7	7	nl	nl	0	1	2
62	325	Afri-Cola	El Ché Cola	7	7	nl	nl	0	1	2
62	326	Afri-Cola	Elsass Cola	7	7	nl	nl	0	1	2
62	327	Afri-Cola	Evoca Cola	7	7	nl	nl	0	1	2
62	328	Afri-Cola	Fada Cola	7	7	nl	nl	0	1	2
62	329	Afri-Cola	Faygo	7	7	nl	nl	0	1	2
62	330	Afri-Cola	Feichang Cola	7	7	nl	nl	0	1	2
62	331	Afri-Cola	First Choice Cola	7	7	nl	nl	0	1	2
62	332	Afri-Cola	Frankrijk	7	7	nl	nl	0	1	2
62	333	Afri-Cola	Freeway Cola	7	7	nl	nl	0	1	2
62	334	Afri-Cola	Frescolita	7	7	nl	nl	0	1	2
62	335	Afri-Cola	Fritz-kola	7	7	nl	nl	0	1	2
62	336	Afri-Cola	Fruti Kola	7	7	nl	nl	0	1	2
62	337	Afri-Cola	Fuji-Cola	7	7	nl	nl	0	1	2
62	338	Afri-Cola	Fukola Cola	7	7	nl	nl	0	1	2
62	339	Afri-Cola	Herschi	7	7	nl	nl	0	1	2
62	340	Afri-Cola	Highway (frisdrank)	7	7	nl	nl	0	1	2
62	341	Afri-Cola	Honey Saps Cola	7	7	nl	nl	0	1	2
