Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
459	460	Hema_people	Bantu language	1	1	en	en	0	1	4
459	20	Hema_people	Burundi	1	1	en	en	0	1	4
459	461	Hema_people	Christianity	1	1	en	en	0	1	4
459	51	Hema_people	Democratic Republic of the Congo	1	1	en	en	0	1	4
459	462	Hema_people	Hema (disambiguation)	1	1	en	en	0	1	4
459	463	Hema_people	Hema language	1	1	en	en	0	1	4
459	464	Hema_people	Hima (disambiguation)	1	1	en	en	0	1	4
459	465	Hema_people	Ituri conflict	1	1	en	en	0	1	4
459	466	Hema_people	Ituri region	1	1	en	en	0	1	4
459	105	Hema_people	Lendu	1	1	en	en	0	1	4
459	467	Hema_people	Lendu language	1	1	en	en	0	1	4
459	468	Hema_people	Luganda	1	1	en	en	0	1	4
459	469	Hema_people	Lusoga	1	1	en	en	0	1	4
459	470	Hema_people	Nyankore language	1	1	en	en	0	1	4
459	471	Hema_people	Orientale Province	1	1	en	en	0	1	4
459	472	Hema_people	Pastoralism	1	1	en	en	0	1	4
459	214	Hema_people	Rwanda	1	1	en	en	0	1	4
459	238	Hema_people	Uganda	1	1	en	en	0	1	4
459	473	Hema_people	Wikipedia:Stub	1	1	en	en	0	1	4
459	474	Hema_people	Template:Africa-ethno-group-stub	1	1	en	en	0	1	4
459	475	Hema_people	Template:Burundi-stub	1	1	en	en	0	1	4
459	476	Hema_people	Template:DRCongo-stub	1	1	en	en	0	1	4
459	477	Hema_people	Template:Rwanda-stub	1	1	en	en	0	1	4
459	478	Hema_people	Template talk:Africa-ethno-group-stub	1	1	en	en	0	1	4
459	479	Hema_people	Template talk:Burundi-stub	1	1	en	en	0	1	4
459	480	Hema_people	Template talk:DRCongo-stub	1	1	en	en	0	1	4
459	481	Hema_people	Template talk:Rwanda-stub	1	1	en	en	0	1	4
459	482	Hema_people	Hemas	1	3	en	fr	1	0	4
459	483	Hema_people	Hema	1	7	en	de	1	0	4
459	484	Hema_people	Hemaoj	1	8	en	eo	1	0	4
459	485	Hema_people	Hema	1	9	en	es	1	0	4
