Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
16364	16365	Avigdor_Lieberman	1967 borders	1	1	en	en	0	1	26
16364	16366	Avigdor_Lieberman	2009 Israeli election	1	1	en	en	0	1	26
16364	16367	Avigdor_Lieberman	2009 Israeli elections	1	1	en	en	0	1	26
16364	16368	Avigdor_Lieberman	Abba Eban	1	1	en	en	0	1	26
16364	16369	Avigdor_Lieberman	Adi Kol	1	1	en	en	0	1	26
16364	16370	Avigdor_Lieberman	Africa	1	1	en	en	0	1	26
16364	16371	Avigdor_Lieberman	Afu Agbaria	1	1	en	en	0	1	26
16364	16372	Avigdor_Lieberman	Agricultural State University of Moldova	1	1	en	en	0	1	26
16364	16373	Avigdor_Lieberman	Aharon Yariv	1	1	en	en	0	1	26
16364	16374	Avigdor_Lieberman	Ahmad Tibi	1	1	en	en	0	1	26
16364	16375	Avigdor_Lieberman	Ahmed Tibi	1	1	en	en	0	1	26
16364	16376	Avigdor_Lieberman	Al Jazeera	1	1	en	en	0	1	26
16364	16377	Avigdor_Lieberman	Aliyah	1	1	en	en	0	1	26
16364	16378	Avigdor_Lieberman	Aliyah (political party)	1	1	en	en	0	1	26
16364	16379	Avigdor_Lieberman	Aliza Lavie	1	1	en	en	0	1	26
16364	16380	Avigdor_Lieberman	Amir Peretz	1	1	en	en	0	1	26
16364	16381	Avigdor_Lieberman	Amnon Cohen	1	1	en	en	0	1	26
16364	16382	Avigdor_Lieberman	Amnon Lipkin-Shahak	1	1	en	en	0	1	26
16364	16383	Avigdor_Lieberman	Amnon Rubinstein	1	1	en	en	0	1	26
16364	16384	Avigdor_Lieberman	Amram Mitzna	1	1	en	en	0	1	26
16364	16385	Avigdor_Lieberman	Annapolis Conference	1	1	en	en	0	1	26
16364	16386	Avigdor_Lieberman	Anthony Zinni	1	1	en	en	0	1	26
16364	16387	Avigdor_Lieberman	Anti-Arabism	1	1	en	en	0	1	26
16364	16388	Avigdor_Lieberman	Anti-Israel	1	1	en	en	0	1	26
16364	16389	Avigdor_Lieberman	Anwar Sadat	1	1	en	en	0	1	26
16364	16390	Avigdor_Lieberman	Arab	1	1	en	en	0	1	26
16364	16391	Avigdor_Lieberman	Arab Israeli	1	1	en	en	0	1	26
16364	16392	Avigdor_Lieberman	Arab members of the Knesset	1	1	en	en	0	1	26
16364	16393	Avigdor_Lieberman	Ariel Atias	1	1	en	en	0	1	26
16364	16394	Avigdor_Lieberman	Ariel Sharon	1	1	en	en	0	1	26
16364	16395	Avigdor_Lieberman	Artillery Corps (Israel)	1	1	en	en	0	1	26
16364	16396	Avigdor_Lieberman	Arutz Sheva	1	1	en	en	0	1	26
