Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
7792	7793	Bundu_dia_Kongo	AK-47	1	1	en	en	0	1	18
7792	7794	Bundu_dia_Kongo	Bas-Congo	1	1	en	en	0	1	18
7792	7795	Bundu_dia_Kongo	Boma, Kongo Central	1	1	en	en	0	1	18
7792	7459	Bundu_dia_Kongo	Democratic Republic of the Congo	1	1	en	en	0	1	18
7792	7796	Bundu_dia_Kongo	Kola nut	1	1	en	en	0	1	18
7792	7797	Bundu_dia_Kongo	Kongo people	1	1	en	en	0	1	18
7792	7798	Bundu_dia_Kongo	Luozi	1	1	en	en	0	1	18
7792	7799	Bundu_dia_Kongo	Matadi	1	1	en	en	0	1	18
7792	7800	Bundu_dia_Kongo	Muanda	1	1	en	en	0	1	18
7792	7801	Bundu_dia_Kongo	Ne Mwanda Nsemi	1	1	en	en	0	1	18
7792	7802	Bundu_dia_Kongo	Seke-Banza	1	1	en	en	0	1	18
7792	7803	Bundu_dia_Kongo	Songololo	1	1	en	en	0	1	18
7792	7804	Bundu_dia_Kongo	United Nations Mission in the Democratic Republic of Congo	1	1	en	en	0	1	18
7792	551	Bundu_dia_Kongo	Wikipedia:Citation needed	1	1	en	en	0	1	18
7792	7805	Bundu_dia_Kongo	Template:ISO 639 name fr	1	1	en	en	0	1	18
7792	7806	Bundu_dia_Kongo	Category:Articles with unsourced statements from November 2009	1	1	en	en	0	1	18
7792	7807	Bundu_dia_Kongo	Bundu dia Kongo	1	2	en	fr	1	0	18
7792	7808	Bundu_dia_Kongo	Bundu dia Kongó	1	45	en	ln	1	0	18
7792	7809	Bundu_dia_Kongo	Bundu ya Kongo	1	46	en	kg	1	0	18
7792	7810	Bundu_dia_Kongo	Bundu dia Kongo	1	41	en	sv	1	0	18
7807	7811	Bundu dia Kongo	1969	2	2	fr	fr	0	1	18
7807	7812	Bundu dia Kongo	Alliance des Bakongo	2	2	fr	fr	0	1	18
7807	7813	Bundu dia Kongo	BDK	2	2	fr	fr	0	1	18
7807	7814	Bundu dia Kongo	Bas-Congo	2	2	fr	fr	0	1	18
7807	7815	Bundu dia Kongo	Empire Kongo	2	2	fr	fr	0	1	18
7807	7816	Bundu dia Kongo	Kongos	2	2	fr	fr	0	1	18
7807	7817	Bundu dia Kongo	Mouvement politique	2	2	fr	fr	0	1	18
7807	7818	Bundu dia Kongo	Ne Mwanda Nsemi	2	2	fr	fr	0	1	18
7807	7819	Bundu dia Kongo	République démocratique du Congo	2	2	fr	fr	0	1	18
7807	7820	Bundu dia Kongo	Émeutes du Bas-Congo de février 2007	2	2	fr	fr	0	1	18
7807	7821	Bundu dia Kongo	État fédéral	2	2	fr	fr	0	1	18
7807	7822	Bundu dia Kongo	Discussion:Bundu dia Kongo/À faire	2	2	fr	fr	0	1	18
7807	7823	Bundu dia Kongo	Modèle:Ébauche/paramètres République démocratique du Congo	2	2	fr	fr	0	1	18
7807	200	Bundu dia Kongo	Aide:Comment modifier une page	2	2	fr	fr	0	1	18
7807	4577	Bundu dia Kongo	Aide:Homonymie	2	2	fr	fr	0	1	18
7807	201	Bundu dia Kongo	Aide:Ébauche	2	2	fr	fr	0	1	18
7807	7824	Bundu dia Kongo	Catégorie:Portail:Angola/Articles liés	2	2	fr	fr	0	1	18
7807	7825	Bundu dia Kongo	Catégorie:Portail:République du Congo/Articles liés	2	2	fr	fr	0	1	18
7807	7826	Bundu dia Kongo	Catégorie:Portail:République démocratique du Congo/Articles liés	2	2	fr	fr	0	1	18
7807	7827	Bundu dia Kongo	Portail:Angola	2	2	fr	fr	0	1	18
7807	7828	Bundu dia Kongo	Portail:République du Congo	2	2	fr	fr	0	1	18
7807	7829	Bundu dia Kongo	Portail:République démocratique du Congo	2	2	fr	fr	0	1	18
7807	206	Bundu dia Kongo	Projet:Accueil	2	2	fr	fr	0	1	18
7808	7830	Bundu dia Kongó	1969	45	45	ln	ln	0	1	18
7808	7831	Bundu dia Kongó	Bas-Congo	45	45	ln	ln	0	1	18
7808	7832	Bundu dia Kongó	Kongó-Kinsásá	45	45	ln	ln	0	1	18
7808	7833	Bundu dia Kongó	Ne Mwanda Nsemi	45	45	ln	ln	0	1	18
7808	7834	Bundu dia Kongó	Wikipedia:Ekakoli ya ndámbo	45	45	ln	ln	0	1	18
7809	7835	Bundu ya Kongo	2002	46	46	kg	kg	0	1	18
7809	7836	Bundu ya Kongo	2007	46	46	kg	kg	0	1	18
7809	7837	Bundu ya Kongo	Bakongo	46	46	kg	kg	0	1	18
7809	7838	Bundu ya Kongo	Buima	46	46	kg	kg	0	1	18
7809	7839	Bundu ya Kongo	Kabinda	46	46	kg	kg	0	1	18
7809	7840	Bundu ya Kongo	Kongo ya Kati	46	46	kg	kg	0	1	18
7809	7841	Bundu ya Kongo	Kongo ya Ntotila	46	46	kg	kg	0	1	18
7809	7842	Bundu ya Kongo	Laurent-Désiré Kabila	46	46	kg	kg	0	1	18
7809	7843	Bundu ya Kongo	Matadi	46	46	kg	kg	0	1	18
7809	7844	Bundu ya Kongo	Mboma	46	46	kg	kg	0	1	18
7809	7845	Bundu ya Kongo	Mobutu Sese Seko	46	46	kg	kg	0	1	18
7809	7846	Bundu ya Kongo	Muanda	46	46	kg	kg	0	1	18
7809	7847	Bundu ya Kongo	Muanda Nsemi	46	46	kg	kg	0	1	18
7809	7848	Bundu ya Kongo	Ngabu	46	46	kg	kg	0	1	18
7809	7849	Bundu ya Kongo	Ngola	46	46	kg	kg	0	1	18
7809	7850	Bundu ya Kongo	Polisi	46	46	kg	kg	0	1	18
7809	7851	Bundu ya Kongo	Politiki	46	46	kg	kg	0	1	18
7809	7852	Bundu ya Kongo	Repubilika ya Kongo	46	46	kg	kg	0	1	18
7809	7853	Bundu ya Kongo	Repubilika ya Kongo ya Dimokalasi	46	46	kg	kg	0	1	18
7809	7854	Bundu ya Kongo	Songololo	46	46	kg	kg	0	1	18
7810	7855	Bundu dia Kongo	Angola	41	41	sv	sv	0	1	18
7810	7856	Bundu dia Kongo	Bandundu	41	41	sv	sv	0	1	18
7810	7857	Bundu dia Kongo	Bas-Congo	41	41	sv	sv	0	1	18
7810	7858	Bundu dia Kongo	Demokratiska Republiken Kongo	41	41	sv	sv	0	1	18
7810	7859	Bundu dia Kongo	Gabon	41	41	sv	sv	0	1	18
7810	7860	Bundu dia Kongo	Kongo-Kinshasa	41	41	sv	sv	0	1	18
