Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
2046	2047	Cloudera	Accel Partners	1	1	en	en	0	1	5
2046	2	Cloudera	Apache Hadoop	1	1	en	en	0	1	5
2046	70	Cloudera	Apache Software Foundation	1	1	en	en	0	1	5
2046	2048	Cloudera	Berkeley DB	1	1	en	en	0	1	5
2046	2049	Cloudera	BigTable	1	1	en	en	0	1	5
2046	2050	Cloudera	Big data	1	1	en	en	0	1	5
2046	2051	Cloudera	Christophe Bisciglia	1	1	en	en	0	1	5
2046	2052	Cloudera	Cloud computing	1	1	en	en	0	1	5
2046	2053	Cloudera	Cloud infrastructure	1	1	en	en	0	1	5
2046	2054	Cloudera	Database-centric architecture	1	1	en	en	0	1	5
2046	2055	Cloudera	Datastructure	1	1	en	en	0	1	5
2046	2056	Cloudera	Demonym	1	1	en	en	0	1	5
2046	101	Cloudera	Doug Cutting	1	1	en	en	0	1	5
2046	2057	Cloudera	Facebook Inc.	1	1	en	en	0	1	5
2046	2058	Cloudera	Google	1	1	en	en	0	1	5
2046	2059	Cloudera	Greylock Partners	1	1	en	en	0	1	5
2046	106	Cloudera	HBase	1	1	en	en	0	1	5
2046	1	Cloudera	Hadoop	1	1	en	en	0	1	5
2046	2060	Cloudera	Ignition Partners	1	1	en	en	0	1	5
2046	2061	Cloudera	In-Q-Tel	1	1	en	en	0	1	5
2046	120	Cloudera	Lucene	1	1	en	en	0	1	5
2046	123	Cloudera	MapReduce	1	1	en	en	0	1	5
2046	2062	Cloudera	Meritech Capital Partners	1	1	en	en	0	1	5
2046	2063	Cloudera	Morgan Stanley	1	1	en	en	0	1	5
2046	3	Cloudera	Nutch	1	1	en	en	0	1	5
2046	2064	Cloudera	Online database	1	1	en	en	0	1	5
2046	2065	Cloudera	Oracle	1	1	en	en	0	1	5
2046	2066	Cloudera	Palo Alto	1	1	en	en	0	1	5
2046	2067	Cloudera	Palo Alto, California	1	1	en	en	0	1	5
2046	2068	Cloudera	Real time database	1	1	en	en	0	1	5
2046	2069	Cloudera	Sleepycat Software	1	1	en	en	0	1	5
2046	2070	Cloudera	The New York Times	1	1	en	en	0	1	5
2046	2071	Cloudera	Yahoo	1	1	en	en	0	1	5
2046	2072	Cloudera	Yahoo!	1	1	en	en	0	1	5
2046	2073	Cloudera	Cloudera	1	2	en	fr	1	0	5
2046	2074	Cloudera	Cloudera	1	18	en	ru	1	0	5
2073	1893	Cloudera	2008	2	2	fr	fr	0	1	5
2073	2075	Cloudera	Accel Partners	2	2	fr	fr	0	1	5
2073	2076	Cloudera	Analyse de données	2	2	fr	fr	0	1	5
2073	2077	Cloudera	Bases de données	2	2	fr	fr	0	1	5
2073	2078	Cloudera	Bear Stearns	2	2	fr	fr	0	1	5
2073	2079	Cloudera	Big Data	2	2	fr	fr	0	1	5
2073	2080	Cloudera	Burlingame (Californie)	2	2	fr	fr	0	1	5
2073	2081	Cloudera	Business Week	2	2	fr	fr	0	1	5
2073	2082	Cloudera	Californie	2	2	fr	fr	0	1	5
2073	2083	Cloudera	Diane Greene	2	2	fr	fr	0	1	5
