Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
7861	7862	Hema_people	Bantu language	1	1	en	en	0	1	19
7861	7428	Hema_people	Burundi	1	1	en	en	0	1	19
7861	7863	Hema_people	Christianity	1	1	en	en	0	1	19
7861	7459	Hema_people	Democratic Republic of the Congo	1	1	en	en	0	1	19
7861	7864	Hema_people	Hema (disambiguation)	1	1	en	en	0	1	19
7861	7865	Hema_people	Hema language	1	1	en	en	0	1	19
7861	7866	Hema_people	Hima (disambiguation)	1	1	en	en	0	1	19
7861	7867	Hema_people	Ituri conflict	1	1	en	en	0	1	19
7861	7868	Hema_people	Ituri region	1	1	en	en	0	1	19
7861	7512	Hema_people	Lendu	1	1	en	en	0	1	19
7861	7869	Hema_people	Lendu language	1	1	en	en	0	1	19
7861	7870	Hema_people	Luganda	1	1	en	en	0	1	19
7861	7871	Hema_people	Lusoga	1	1	en	en	0	1	19
7861	7872	Hema_people	Nyankore language	1	1	en	en	0	1	19
7861	7873	Hema_people	Orientale Province	1	1	en	en	0	1	19
7861	7874	Hema_people	Pastoralism	1	1	en	en	0	1	19
7861	7621	Hema_people	Rwanda	1	1	en	en	0	1	19
7861	7645	Hema_people	Uganda	1	1	en	en	0	1	19
7861	2213	Hema_people	Wikipedia:Stub	1	1	en	en	0	1	19
7861	7875	Hema_people	Template:Africa-ethno-group-stub	1	1	en	en	0	1	19
7861	7876	Hema_people	Template:Burundi-stub	1	1	en	en	0	1	19
7861	7877	Hema_people	Template:DRCongo-stub	1	1	en	en	0	1	19
7861	7878	Hema_people	Template:Rwanda-stub	1	1	en	en	0	1	19
7861	7879	Hema_people	Template talk:Africa-ethno-group-stub	1	1	en	en	0	1	19
7861	7880	Hema_people	Template talk:Burundi-stub	1	1	en	en	0	1	19
7861	7881	Hema_people	Template talk:DRCongo-stub	1	1	en	en	0	1	19
7861	7882	Hema_people	Template talk:Rwanda-stub	1	1	en	en	0	1	19
7861	7883	Hema_people	Hemas	1	2	en	fr	1	0	19
7861	7884	Hema_people	Hema	1	3	en	de	1	0	19
7861	7885	Hema_people	Hemaoj	1	11	en	eo	1	0	19
7861	7886	Hema_people	Hema	1	4	en	es	1	0	19
7861	7887	Hema_people	Hema (volk)	1	6	en	nl	1	0	19
7861	7888	Hema_people	Hema (gruppo etnico)	1	8	en	it	1	0	19
7861	7889	Hema_people	ヘマ族	1	15	en	ja	1	0	19
7883	7890	Hemas	Agriculture	2	2	fr	fr	0	1	19
7883	7891	Hemas	Bibliothèque nationale de France	2	2	fr	fr	0	1	19
7883	7892	Hemas	Burundi	2	2	fr	fr	0	1	19
7883	7893	Hemas	Démographie de la République démocratique du Congo	2	2	fr	fr	0	1	19
7883	7894	Hemas	Groupe ethnique	2	2	fr	fr	0	1	19
7883	7895	Hemas	HCR	2	2	fr	fr	0	1	19
7883	7896	Hemas	Hima (langue)	2	2	fr	fr	0	1	19
7883	7897	Hemas	Héma	2	2	fr	fr	0	1	19
7883	7898	Hemas	Ituri	2	2	fr	fr	0	1	19
7883	7899	Hemas	Langues bantoues	2	2	fr	fr	0	1	19
7883	7900	Hemas	Langues bantoues méridionales	2	2	fr	fr	0	1	19
7883	7901	Hemas	Langues nigéro-congolaises	2	2	fr	fr	0	1	19
7883	7902	Hemas	Liste des groupes ethniques d'Afrique	2	2	fr	fr	0	1	19
7883	7903	Hemas	Ouganda	2	2	fr	fr	0	1	19
7883	7904	Hemas	Province Orientale en République démocratique du Congo	2	2	fr	fr	0	1	19
7883	7905	Hemas	RAMEAU	2	2	fr	fr	0	1	19
7883	7906	Hemas	Rwanda	2	2	fr	fr	0	1	19
7883	7819	Hemas	République démocratique du Congo	2	2	fr	fr	0	1	19
7883	7907	Hemas	Tutsis	2	2	fr	fr	0	1	19
7883	7908	Hemas	Discussion:Hemas/À faire	2	2	fr	fr	0	1	19
7883	7909	Hemas	Modèle:Infobox Groupe ethnique	2	2	fr	fr	0	1	19
7883	7910	Hemas	Modèle:Ébauche/paramètres RDC	2	2	fr	fr	0	1	19
7883	7911	Hemas	Modèle:Ébauche/paramètres groupe ethnique	2	2	fr	fr	0	1	19
7883	200	Hemas	Aide:Comment modifier une page	2	2	fr	fr	0	1	19
7883	4577	Hemas	Aide:Homonymie	2	2	fr	fr	0	1	19
7883	7912	Hemas	Aide:Référence nécessaire	2	2	fr	fr	0	1	19
7883	201	Hemas	Aide:Ébauche	2	2	fr	fr	0	1	19
7883	7913	Hemas	Catégorie:Portail:Anthropologie/Articles liés	2	2	fr	fr	0	1	19
7883	7914	Hemas	Catégorie:Portail:Ouganda/Articles liés	2	2	fr	fr	0	1	19
7883	7826	Hemas	Catégorie:Portail:République démocratique du Congo/Articles liés	2	2	fr	fr	0	1	19
7883	7915	Hemas	Portail:Anthropologie	2	2	fr	fr	0	1	19
7883	7916	Hemas	Portail:Ouganda	2	2	fr	fr	0	1	19
7883	7829	Hemas	Portail:République démocratique du Congo	2	2	fr	fr	0	1	19
7883	206	Hemas	Projet:Accueil	2	2	fr	fr	0	1	19
7884	7917	Hema	17. Februar	3	3	de	de	0	1	19
7884	7918	Hema	1999	3	3	de	de	0	1	19
7884	7919	Hema	Demokratische Republik Kongo	3	3	de	de	0	1	19
7884	7920	Hema	Ethnie	3	3	de	de	0	1	19
7884	7921	Hema	Freischärler	3	3	de	de	0	1	19
7884	7922	Hema	Hema (Begriffsklärung)	3	3	de	de	0	1	19
7884	7923	Hema	Hirten	3	3	de	de	0	1	19
7884	7924	Hema	Humanitäres Völkerrecht	3	3	de	de	0	1	19
7884	7925	Hema	Kindersoldat	3	3	de	de	0	1	19
7884	7926	Hema	Kombattant	3	3	de	de	0	1	19
7884	7927	Hema	Lendu	3	3	de	de	0	1	19
7884	7928	Hema	MONUC	3	3	de	de	0	1	19
7884	7929	Hema	Nomade	3	3	de	de	0	1	19
7884	7930	Hema	Paramilitär	3	3	de	de	0	1	19
7884	7931	Hema	Ruanda	3	3	de	de	0	1	19
7884	7932	Hema	UN-Missionen	3	3	de	de	0	1	19
7884	7933	Hema	UNO	3	3	de	de	0	1	19
7884	7934	Hema	Uganda	3	3	de	de	0	1	19
7885	7935	Hemaoj	Demokratia Respubliko Kongo	11	11	eo	eo	0	1	19
7885	7936	Hemaoj	Nomadoj	11	11	eo	eo	0	1	19
7885	7937	Hemaoj	Vikipedio:La perfekta ĝermo de artikolo	11	11	eo	eo	0	1	19
7885	7938	Hemaoj	Vikipedio:Tradukoj	11	11	eo	eo	0	1	19
7885	7939	Hemaoj	Vikipedio:Trovi aŭ kreskigi ĝermojn	11	11	eo	eo	0	1	19
7886	7940	Hema	Idioma bantú	4	4	es	es	0	1	19
7886	7941	Hema	Idioma hema	4	4	es	es	0	1	19
7886	7942	Hema	Idioma lendu	4	4	es	es	0	1	19
7886	7943	Hema	Ituri	4	4	es	es	0	1	19
7886	7944	Hema	Lendu	4	4	es	es	0	1	19
7886	7945	Hema	Luganda	4	4	es	es	0	1	19
7886	7946	Hema	Lusoga	4	4	es	es	0	1	19
7886	7947	Hema	Nyankore	4	4	es	es	0	1	19
7886	7948	Hema	Provincia Orientale	4	4	es	es	0	1	19
7886	7949	Hema	República Democrática del Congo	4	4	es	es	0	1	19
7886	7950	Hema	Ruanda	4	4	es	es	0	1	19
7886	7951	Hema	Uganda	4	4	es	es	0	1	19
7887	7952	Hema (volk)	België	6	6	nl	nl	0	1	19
7887	7953	Hema (volk)	Congo-Kinshasa	6	6	nl	nl	0	1	19
7887	7954	Hema (volk)	Hema (taal)	6	6	nl	nl	0	1	19
7887	7955	Hema (volk)	Hutu	6	6	nl	nl	0	1	19
7887	7956	Hema (volk)	Ituri	6	6	nl	nl	0	1	19
7887	7957	Hema (volk)	Ituri-conflict	6	6	nl	nl	0	1	19
7887	7958	Hema (volk)	Lendu (taal)	6	6	nl	nl	0	1	19
7887	7959	Hema (volk)	Lendu (volk)	6	6	nl	nl	0	1	19
7887	7960	Hema (volk)	Tutsi	6	6	nl	nl	0	1	19
7888	7961	Hema (gruppo etnico)	Conflitto dell'Ituri	8	8	it	it	0	1	19
7888	7962	Hema (gruppo etnico)	Gruppo etnico	8	8	it	it	0	1	19
7888	7963	Hema (gruppo etnico)	Ituri (provincia)	8	8	it	it	0	1	19
7888	7964	Hema (gruppo etnico)	Lendu	8	8	it	it	0	1	19
7888	7965	Hema (gruppo etnico)	Lingua hema	8	8	it	it	0	1	19
7888	7966	Hema (gruppo etnico)	Lingua luganda	8	8	it	it	0	1	19
7888	7967	Hema (gruppo etnico)	Lingua lusoga	8	8	it	it	0	1	19
7888	7968	Hema (gruppo etnico)	Lingua nyankore	8	8	it	it	0	1	19
7888	7969	Hema (gruppo etnico)	Lingue bantu	8	8	it	it	0	1	19
7888	7970	Hema (gruppo etnico)	Pastori	8	8	it	it	0	1	19
7888	7971	Hema (gruppo etnico)	Repubblica Democratica del Congo	8	8	it	it	0	1	19
7888	7972	Hema (gruppo etnico)	Ruanda	8	8	it	it	0	1	19
7888	7973	Hema (gruppo etnico)	Uganda	8	8	it	it	0	1	19
7888	7974	Hema (gruppo etnico)	Wikipedia:Cita le fonti	8	8	it	it	0	1	19
7888	2248	Hema (gruppo etnico)	File:Stub .png	8	8	it	it	0	1	19
7888	7975	Hema (gruppo etnico)	File:Stub gruppi etnici.png	8	8	it	it	0	1	19
7888	2250	Hema (gruppo etnico)	Aiuto:Abbozzo	8	8	it	it	0	1	19
7888	2251	Hema (gruppo etnico)	Aiuto:Manuale di stile	8	8	it	it	0	1	19
7888	7976	Hema (gruppo etnico)	Categoria:Stub - gruppi etnici	8	8	it	it	0	1	19
7888	7977	Hema (gruppo etnico)	Progetto:Gruppi etnici	8	8	it	it	0	1	19
7889	7978	ヘマ族	イトゥリ州	15	15	ja	ja	0	1	19
7889	7979	ヘマ族	イトゥリ紛争	15	15	ja	ja	0	1	19
7889	7980	ヘマ族	ウガンダ	15	15	ja	ja	0	1	19
7889	7981	ヘマ族	エスノローグ	15	15	ja	ja	0	1	19
7889	7982	ヘマ族	ガンダ語	15	15	ja	ja	0	1	19
7889	7983	ヘマ族	コンゴ民主共和国	15	15	ja	ja	0	1	19
7889	7984	ヘマ族	コンゴ民主連合	15	15	ja	ja	0	1	19
7889	7985	ヘマ族	ソガ語	15	15	ja	ja	0	1	19
7889	7986	ヘマ族	トマス・ルバンガ	15	15	ja	ja	0	1	19
7889	7987	ヘマ族	トロ語	15	15	ja	ja	0	1	19
7889	7988	ヘマ族	ニジェール・コンゴ語族	15	15	ja	ja	0	1	19
7889	7989	ヘマ族	ニャンコレ語	15	15	ja	ja	0	1	19
7889	7990	ヘマ族	ニョロ語	15	15	ja	ja	0	1	19
7889	7991	ヘマ族	バントイド語群	15	15	ja	ja	0	1	19
7889	7992	ヘマ族	バントゥー語群	15	15	ja	ja	0	1	19
7889	7993	ヘマ族	ブルンジ	15	15	ja	ja	0	1	19
7889	7994	ヘマ族	ヘマ語	15	15	ja	ja	0	1	19
7889	7995	ヘマ族	ベヌエ＝コンゴ語群	15	15	ja	ja	0	1	19
7889	7996	ヘマ族	ボルタ＝コンゴ語群	15	15	ja	ja	0	1	19
7889	7997	ヘマ族	ルワンダ	15	15	ja	ja	0	1	19
7889	7998	ヘマ族	レンドゥ族	15	15	ja	ja	0	1	19
7889	7999	ヘマ族	レンドゥ語	15	15	ja	ja	0	1	19
7889	8000	ヘマ族	南部バントイド諸語	15	15	ja	ja	0	1	19
7889	8001	ヘマ族	大西洋＝コンゴ諸派	15	15	ja	ja	0	1	19
7889	8002	ヘマ族	東部州 (コンゴ)	15	15	ja	ja	0	1	19
7889	8003	ヘマ族	牧畜	15	15	ja	ja	0	1	19
7889	6188	ヘマ族	Wikipedia:「要出典」をクリックされた方へ	15	15	ja	ja	0	1	19
7889	7337	ヘマ族	Wikipedia:スタブ	15	15	ja	ja	0	1	19
7889	8004	ヘマ族	Category:アフリカ関連のスタブ項目	15	15	ja	ja	0	1	19
7889	8005	ヘマ族	Category:ウガンダ関連のスタブ項目	15	15	ja	ja	0	1	19
7889	8006	ヘマ族	Category:ガボン関連のスタブ項目	15	15	ja	ja	0	1	19
7889	8007	ヘマ族	Category:コンゴ民主共和国関連のスタブ項目	15	15	ja	ja	0	1	19
7889	8008	ヘマ族	Category:出典を必要とする記述のある記事/2010年2月	15	15	ja	ja	0	1	19
7889	8009	ヘマ族	プロジェクト:アフリカ	15	15	ja	ja	0	1	19
