Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
4179	2	Hortonworks	Apache Hadoop	1	1	en	en	0	1	9
4179	70	Hortonworks	Apache Software Foundation	1	1	en	en	0	1	9
4179	4180	Hortonworks	Benchmark Capital	1	1	en	en	0	1	9
4179	4181	Hortonworks	CNBC	1	1	en	en	0	1	9
4179	4182	Hortonworks	Forrester Research	1	1	en	en	0	1	9
4179	106	Hortonworks	HBase	1	1	en	en	0	1	9
4179	4183	Hortonworks	Hadoop Distributed File System (HDFS)	1	1	en	en	0	1	9
4179	4184	Hortonworks	Index Ventures	1	1	en	en	0	1	9
4179	2176	Hortonworks	Informatica	1	1	en	en	0	1	9
4179	123	Hortonworks	MapReduce	1	1	en	en	0	1	9
4179	2416	Hortonworks	Microsoft	1	1	en	en	0	1	9
4179	130	Hortonworks	Open source	1	1	en	en	0	1	9
4179	4185	Hortonworks	Teradata	1	1	en	en	0	1	9
4179	2513	Hortonworks	Types of business entity	1	1	en	en	0	1	9
4179	2072	Hortonworks	Yahoo!	1	1	en	en	0	1	9
