Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
120	508	Lucene	.NET Framework	1	1	en	en	0	1	3
120	4	Lucene	Apache ACE	1	1	en	en	0	1	3
120	5	Lucene	Apache Abdera	1	1	en	en	0	1	3
120	6	Lucene	Apache ActiveMQ	1	1	en	en	0	1	3
120	7	Lucene	Apache Ant	1	1	en	en	0	1	3
120	8	Lucene	Apache Aries	1	1	en	en	0	1	3
120	9	Lucene	Apache Attic	1	1	en	en	0	1	3
120	10	Lucene	Apache Avro	1	1	en	en	0	1	3
120	11	Lucene	Apache Axis	1	1	en	en	0	1	3
120	12	Lucene	Apache Beehive	1	1	en	en	0	1	3
120	13	Lucene	Apache Bloodhound	1	1	en	en	0	1	3
120	14	Lucene	Apache Buildr	1	1	en	en	0	1	3
120	15	Lucene	Apache C++ Standard Library	1	1	en	en	0	1	3
120	16	Lucene	Apache CXF	1	1	en	en	0	1	3
120	17	Lucene	Apache Camel	1	1	en	en	0	1	3
120	18	Lucene	Apache Cassandra	1	1	en	en	0	1	3
120	19	Lucene	Apache Cayenne	1	1	en	en	0	1	3
120	20	Lucene	Apache Chemistry	1	1	en	en	0	1	3
120	21	Lucene	Apache Click	1	1	en	en	0	1	3
120	22	Lucene	Apache CloudStack	1	1	en	en	0	1	3
120	23	Lucene	Apache Cocoon	1	1	en	en	0	1	3
120	24	Lucene	Apache Commons	1	1	en	en	0	1	3
120	25	Lucene	Apache Composer	1	1	en	en	0	1	3
120	26	Lucene	Apache Continuum	1	1	en	en	0	1	3
120	27	Lucene	Apache Cordova	1	1	en	en	0	1	3
120	28	Lucene	Apache Derby	1	1	en	en	0	1	3
120	29	Lucene	Apache Directory Server	1	1	en	en	0	1	3
120	30	Lucene	Apache Empire-db	1	1	en	en	0	1	3
120	31	Lucene	Apache Excalibur	1	1	en	en	0	1	3
120	32	Lucene	Apache Felix	1	1	en	en	0	1	3
120	33	Lucene	Apache Forrest	1	1	en	en	0	1	3
120	34	Lucene	Apache Geronimo	1	1	en	en	0	1	3
120	35	Lucene	Apache Gump	1	1	en	en	0	1	3
120	36	Lucene	Apache HTTP Server	1	1	en	en	0	1	3
120	37	Lucene	Apache Hama	1	1	en	en	0	1	3
120	38	Lucene	Apache Harmony	1	1	en	en	0	1	3
120	39	Lucene	Apache Hive	1	1	en	en	0	1	3
120	40	Lucene	Apache HiveMind	1	1	en	en	0	1	3
120	41	Lucene	Apache Incubator	1	1	en	en	0	1	3
120	42	Lucene	Apache Ivy	1	1	en	en	0	1	3
120	43	Lucene	Apache JMeter	1	1	en	en	0	1	3
120	44	Lucene	Apache Jackrabbit	1	1	en	en	0	1	3
120	45	Lucene	Apache James	1	1	en	en	0	1	3
120	46	Lucene	Apache Jelly	1	1	en	en	0	1	3
120	47	Lucene	Apache Karaf	1	1	en	en	0	1	3
120	48	Lucene	Apache Lenya	1	1	en	en	0	1	3
120	49	Lucene	Apache Libcloud	1	1	en	en	0	1	3
120	50	Lucene	Apache License	1	1	en	en	0	1	3
120	51	Lucene	Apache MINA	1	1	en	en	0	1	3
120	52	Lucene	Apache Mahout	1	1	en	en	0	1	3
120	53	Lucene	Apache Maven	1	1	en	en	0	1	3
120	54	Lucene	Apache MyFaces	1	1	en	en	0	1	3
