Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
8475	8168	Matthias_Steiner	2003 World Weightlifting Championships	1	1	en	en	0	1	21
8475	8169	Matthias_Steiner	2004 Olympic Games	1	1	en	en	0	1	21
8475	8170	Matthias_Steiner	2004 Summer Olympics	1	1	en	en	0	1	21
8475	8171	Matthias_Steiner	2005 European Weightlifting Championships	1	1	en	en	0	1	21
8475	8172	Matthias_Steiner	2007 European Weightlifting Championships	1	1	en	en	0	1	21
8475	8173	Matthias_Steiner	2007 World Weightlifting Championships	1	1	en	en	0	1	21
8475	8174	Matthias_Steiner	2008 European Weightlifting Championships	1	1	en	en	0	1	21
8475	8175	Matthias_Steiner	2008 Summer Olympics	1	1	en	en	0	1	21
8475	8176	Matthias_Steiner	2010 European Weightlifting Championships	1	1	en	en	0	1	21
8475	8177	Matthias_Steiner	2010 World Weightlifting Championships	1	1	en	en	0	1	21
8475	8178	Matthias_Steiner	2010 World Weightlifting Championships – Men's +105 kg	1	1	en	en	0	1	21
8475	8179	Matthias_Steiner	2012 European Weightlifting Championships	1	1	en	en	0	1	21
8475	8180	Matthias_Steiner	2012 London Olympics	1	1	en	en	0	1	21
8475	8181	Matthias_Steiner	Abendzeitung	1	1	en	en	0	1	21
8475	8182	Matthias_Steiner	Aleksandr Kurlovich	1	1	en	en	0	1	21
8475	8183	Matthias_Steiner	Almir Velagic	1	1	en	en	0	1	21
8475	8184	Matthias_Steiner	Andrei Chemerkin	1	1	en	en	0	1	21
8475	8185	Matthias_Steiner	Apprenticeship	1	1	en	en	0	1	21
8475	8186	Matthias_Steiner	Arnold Schwarzenegger	1	1	en	en	0	1	21
8475	8187	Matthias_Steiner	Arnold Sports Festival	1	1	en	en	0	1	21
8475	8188	Matthias_Steiner	Associated Press	1	1	en	en	0	1	21
8475	8189	Matthias_Steiner	Athens	1	1	en	en	0	1	21
8475	8190	Matthias_Steiner	Austria	1	1	en	en	0	1	21
8475	8191	Matthias_Steiner	Austrians	1	1	en	en	0	1	21
8475	8192	Matthias_Steiner	Authority control	1	1	en	en	0	1	21
8475	8193	Matthias_Steiner	BBC Sport	1	1	en	en	0	1	21
8475	8194	Matthias_Steiner	BOCOG	1	1	en	en	0	1	21
8475	8195	Matthias_Steiner	Badische Zeitung	1	1	en	en	0	1	21
8475	8196	Matthias_Steiner	Bambi (prize)	1	1	en	en	0	1	21
8475	8197	Matthias_Steiner	Behdad Salimi	1	1	en	en	0	1	21
8475	8198	Matthias_Steiner	Bregenz	1	1	en	en	0	1	21
8475	8199	Matthias_Steiner	Broadcasting of sports events	1	1	en	en	0	1	21
8475	8200	Matthias_Steiner	Bundeswehr	1	1	en	en	0	1	21
8475	8201	Matthias_Steiner	CBS News	1	1	en	en	0	1	21
8475	8202	Matthias_Steiner	Chemnitz	1	1	en	en	0	1	21
8475	8203	Matthias_Steiner	China Daily	1	1	en	en	0	1	21
8475	8204	Matthias_Steiner	Clean and jerk	1	1	en	en	0	1	21
8475	8205	Matthias_Steiner	Cologne	1	1	en	en	0	1	21
8475	8206	Matthias_Steiner	Croatia	1	1	en	en	0	1	21
8475	8207	Matthias_Steiner	Czech Republic	1	1	en	en	0	1	21
8475	8208	Matthias_Steiner	Dean Lukin	1	1	en	en	0	1	21
8475	8209	Matthias_Steiner	Der Spiegel	1	1	en	en	0	1	21
8475	8210	Matthias_Steiner	Der Tagesspiegel	1	1	en	en	0	1	21
8475	8211	Matthias_Steiner	Deutsche Presse-Agentur	1	1	en	en	0	1	21
8475	8212	Matthias_Steiner	Deutsche Welle	1	1	en	en	0	1	21
8475	8213	Matthias_Steiner	Diabetes	1	1	en	en	0	1	21
8475	8214	Matthias_Steiner	Die Millionenshow	1	1	en	en	0	1	21
8475	8215	Matthias_Steiner	Die Presse	1	1	en	en	0	1	21
8475	8216	Matthias_Steiner	Die Welt	1	1	en	en	0	1	21
8475	8217	Matthias_Steiner	Eurosport	1	1	en	en	0	1	21
8475	8218	Matthias_Steiner	Evgeny Chigishev	1	1	en	en	0	1	21
8475	8219	Matthias_Steiner	Fabian Hambüchen	1	1	en	en	0	1	21
8475	8220	Matthias_Steiner	Focus (German magazine)	1	1	en	en	0	1	21
8475	8221	Matthias_Steiner	Frank Mantek	1	1	en	en	0	1	21
8475	8222	Matthias_Steiner	Frankfurter Allgemeine Zeitung	1	1	en	en	0	1	21
8475	8223	Matthias_Steiner	Frankfurter Rundschau	1	1	en	en	0	1	21
8475	8224	Matthias_Steiner	Game show	1	1	en	en	0	1	21
8475	8225	Matthias_Steiner	German Sportspersonality of the year	1	1	en	en	0	1	21
8475	8226	Matthias_Steiner	German citizenship	1	1	en	en	0	1	21
8475	8227	Matthias_Steiner	Germany	1	1	en	en	0	1	21
8475	8228	Matthias_Steiner	Hamburger Abendblatt	1	1	en	en	0	1	21
8475	8229	Matthias_Steiner	Hauptschule	1	1	en	en	0	1	21
8475	8230	Matthias_Steiner	Havířov	1	1	en	en	0	1	21
8475	8231	Matthias_Steiner	Heidelberg	1	1	en	en	0	1	21
8475	8232	Matthias_Steiner	Hossein Rezazadeh	1	1	en	en	0	1	21
8475	8233	Matthias_Steiner	Inge Posmyk	1	1	en	en	0	1	21
8475	8234	Matthias_Steiner	Inguinal hernia	1	1	en	en	0	1	21
8475	8235	Matthias_Steiner	International Sports Press Association	1	1	en	en	0	1	21
8475	8236	Matthias_Steiner	International Weightlifting Federation	1	1	en	en	0	1	21
8475	8237	Matthias_Steiner	Internet Movie Database	1	1	en	en	0	1	21
8475	8238	Matthias_Steiner	Italy	1	1	en	en	0	1	21
8475	8239	Matthias_Steiner	Kalmar	1	1	en	en	0	1	21
8475	8240	Matthias_Steiner	Latvia	1	1	en	en	0	1	21
8475	8241	Matthias_Steiner	Leimen (Baden)	1	1	en	en	0	1	21
8475	8242	Matthias_Steiner	Lignano Sabbiadoro	1	1	en	en	0	1	21
8475	8243	Matthias_Steiner	List of Olympic medalists in weightlifting	1	1	en	en	0	1	21
8475	8244	Matthias_Steiner	List of World records in weightlifting	1	1	en	en	0	1	21
8475	8245	Matthias_Steiner	Lower Austria	1	1	en	en	0	1	21
8475	8246	Matthias_Steiner	Marc Huster	1	1	en	en	0	1	21
8475	8247	Matthias_Steiner	N-tv	1	1	en	en	0	1	21
8475	8248	Matthias_Steiner	ORF (broadcaster)	1	1	en	en	0	1	21
8475	8249	Matthias_Steiner	Olympic weightlifting	1	1	en	en	0	1	21
8475	8250	Matthias_Steiner	Paul Biedermann	1	1	en	en	0	1	21
8475	8251	Matthias_Steiner	Plumbing	1	1	en	en	0	1	21
8475	8252	Matthias_Steiner	Rijeka	1	1	en	en	0	1	21
8475	8253	Matthias_Steiner	Saxony	1	1	en	en	0	1	21
8475	8254	Matthias_Steiner	Snatch (weightlifting)	1	1	en	en	0	1	21
8475	8255	Matthias_Steiner	Sofia	1	1	en	en	0	1	21
8475	8256	Matthias_Steiner	Stiftung Deutsche Sporthilfe	1	1	en	en	0	1	21
8475	8257	Matthias_Steiner	Sultan Rakhmanov	1	1	en	en	0	1	21
8475	8258	Matthias_Steiner	Sweden	1	1	en	en	0	1	21
8475	8259	Matthias_Steiner	Süddeutsche Zeitung	1	1	en	en	0	1	21
8475	8260	Matthias_Steiner	Talk show	1	1	en	en	0	1	21
8475	2070	Matthias_Steiner	The New York Times	1	1	en	en	0	1	21
8475	8261	Matthias_Steiner	The Seattle Times	1	1	en	en	0	1	21
8475	8262	Matthias_Steiner	Vasily Alekseyev	1	1	en	en	0	1	21
8475	8263	Matthias_Steiner	Vienna	1	1	en	en	0	1	21
8475	8264	Matthias_Steiner	Vienna, Austria	1	1	en	en	0	1	21
8475	8265	Matthias_Steiner	Viktors Ščerbatihs	1	1	en	en	0	1	21
8475	8266	Matthias_Steiner	Virtual International Authority File	1	1	en	en	0	1	21
8475	8267	Matthias_Steiner	Volksschule	1	1	en	en	0	1	21
8475	8268	Matthias_Steiner	Weightlifting at the 2004 Summer Olympics – Men's 105 kg	1	1	en	en	0	1	21
8475	8269	Matthias_Steiner	Weightlifting at the 2008 Summer Olympics – Men's +105 kg	1	1	en	en	0	1	21
8475	8270	Matthias_Steiner	Weightlifting at the 2012 Summer Olympics – Men's +105 kg	1	1	en	en	0	1	21
8475	8271	Matthias_Steiner	Weightlifting at the Summer Olympics	1	1	en	en	0	1	21
8475	8272	Matthias_Steiner	Wetten, dass..?	1	1	en	en	0	1	21
8475	8273	Matthias_Steiner	World Weightlifting Championships	1	1	en	en	0	1	21
8475	8274	Matthias_Steiner	Zwickau	1	1	en	en	0	1	21
