Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
19376	19377	Yisrael_Beiteinu	1949 Armistice Agreements	1	1	en	en	0	1	27
19376	19378	Yisrael_Beiteinu	Alex Miller (Israeli politician)	1	1	en	en	0	1	27
19376	16377	Yisrael_Beiteinu	Aliyah	1	1	en	en	0	1	27
19376	16378	Yisrael_Beiteinu	Aliyah (political party)	1	1	en	en	0	1	27
19376	16380	Yisrael_Beiteinu	Amir Peretz	1	1	en	en	0	1	27
19376	19379	Yisrael_Beiteinu	Anastasia Michaeli	1	1	en	en	0	1	27
19376	19380	Yisrael_Beiteinu	Anastassia Michaeli	1	1	en	en	0	1	27
19376	16387	Yisrael_Beiteinu	Anti-Arabism	1	1	en	en	0	1	27
19376	19381	Yisrael_Beiteinu	Anti-clerical	1	1	en	en	0	1	27
19376	19382	Yisrael_Beiteinu	Arab citizens of Israel	1	1	en	en	0	1	27
19376	16394	Yisrael_Beiteinu	Ariel Sharon	1	1	en	en	0	1	27
19376	16402	Yisrael_Beiteinu	Avigdor Lieberman	1	1	en	en	0	1	27
19376	16408	Yisrael_Beiteinu	Balad (political party)	1	1	en	en	0	1	27
19376	16413	Yisrael_Beiteinu	Benjamin Netanyahu	1	1	en	en	0	1	27
19376	19383	Yisrael_Beiteinu	Binyamin Elon	1	1	en	en	0	1	27
19376	16420	Yisrael_Beiteinu	Cabinet of Israel	1	1	en	en	0	1	27
19376	19384	Yisrael_Beiteinu	Chief Rabbinate of Israel	1	1	en	en	0	1	27
19376	19385	Yisrael_Beiteinu	Coat of arms of Israel	1	1	en	en	0	1	27
19376	19386	Yisrael_Beiteinu	Comptroller	1	1	en	en	0	1	27
19376	19387	Yisrael_Beiteinu	Danny Ayalon	1	1	en	en	0	1	27
19376	16430	Yisrael_Beiteinu	David Levy (Israeli politician)	1	1	en	en	0	1	27
19376	16432	Yisrael_Beiteinu	David Rotem	1	1	en	en	0	1	27
19376	19388	Yisrael_Beiteinu	Druze	1	1	en	en	0	1	27
19376	19389	Yisrael_Beiteinu	Economic liberalism	1	1	en	en	0	1	27
19376	16446	Yisrael_Beiteinu	Ehud Olmert	1	1	en	en	0	1	27
19376	19390	Yisrael_Beiteinu	Elections in Israel	1	1	en	en	0	1	27
19376	19391	Yisrael_Beiteinu	Emblem of Israel	1	1	en	en	0	1	27
19376	16454	Yisrael_Beiteinu	Energy and Water Resources Ministry	1	1	en	en	0	1	27
19376	19392	Yisrael_Beiteinu	Esterina Tartman	1	1	en	en	0	1	27
19376	16461	Yisrael_Beiteinu	Faina Kirschenbaum	1	1	en	en	0	1	27
19376	19393	Yisrael_Beiteinu	Far-right politics	1	1	en	en	0	1	27
19376	19394	Yisrael_Beiteinu	Finance Minister of Israel	1	1	en	en	0	1	27
19376	16466	Yisrael_Beiteinu	Foreign Affairs Minister of Israel	1	1	en	en	0	1	27
19376	19395	Yisrael_Beiteinu	Gaza	1	1	en	en	0	1	27
19376	16479	Yisrael_Beiteinu	Gershom Gorenberg	1	1	en	en	0	1	27
19376	19396	Yisrael_Beiteinu	Golan Heights	1	1	en	en	0	1	27
19376	16488	Yisrael_Beiteinu	Haaretz	1	1	en	en	0	1	27
19376	16489	Yisrael_Beiteinu	Hadash	1	1	en	en	0	1	27
19376	19397	Yisrael_Beiteinu	Haifa	1	1	en	en	0	1	27
19376	16493	Yisrael_Beiteinu	Hamad Amar	1	1	en	en	0	1	27
19376	19398	Yisrael_Beiteinu	Haraam	1	1	en	en	0	1	27
19376	16498	Yisrael_Beiteinu	Hatnuah	1	1	en	en	0	1	27
19376	16500	Yisrael_Beiteinu	Hebrew language	1	1	en	en	0	1	27
