Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
6693	4697	Eclipse_(software)	ACM Software Systems Award	1	1	en	en	0	1	12
6693	4698	Eclipse_(software)	ATLAS Transformation Language	1	1	en	en	0	1	12
6693	4699	Eclipse_(software)	Abstract Window Toolkit	1	1	en	en	0	1	12
6693	4700	Eclipse_(software)	Acceleo	1	1	en	en	0	1	12
6693	4701	Eclipse_(software)	Ada (programming language)	1	1	en	en	0	1	12
6693	4702	Eclipse_(software)	Addison-Wesley Professional	1	1	en	en	0	1	12
6693	4703	Eclipse_(software)	Adobe Flex	1	1	en	en	0	1	12
6693	4704	Eclipse_(software)	Adobe LiveCycle	1	1	en	en	0	1	12
6693	4705	Eclipse_(software)	Android (operating system)	1	1	en	en	0	1	12
6693	4706	Eclipse_(software)	Anjuta	1	1	en	en	0	1	12
6693	4707	Eclipse_(software)	Apache Directory	1	1	en	en	0	1	12
6693	76	Eclipse_(software)	Apache Tomcat	1	1	en	en	0	1	12
6693	84	Eclipse_(software)	Apress	1	1	en	en	0	1	12
6693	4708	Eclipse_(software)	Aptana	1	1	en	en	0	1	12
6693	4709	Eclipse_(software)	AspectJ	1	1	en	en	0	1	12
6693	4710	Eclipse_(software)	Association for Computing Machinery	1	1	en	en	0	1	12
6693	2269	Eclipse_(software)	Avaya	1	1	en	en	0	1	12
6693	4711	Eclipse_(software)	BIRT Project	1	1	en	en	0	1	12
6693	4712	Eclipse_(software)	Bioclipse	1	1	en	en	0	1	12
6693	4713	Eclipse_(software)	Borland	1	1	en	en	0	1	12
6693	4714	Eclipse_(software)	Borland Together	1	1	en	en	0	1	12
6693	4715	Eclipse_(software)	Business Process Model and Notation	1	1	en	en	0	1	12
6693	505	Eclipse_(software)	C++	1	1	en	en	0	1	12
6693	4716	Eclipse_(software)	C++Builder	1	1	en	en	0	1	12
6693	4717	Eclipse_(software)	CFEclipse	1	1	en	en	0	1	12
6693	4718	Eclipse_(software)	COBOL	1	1	en	en	0	1	12
6693	4719	Eclipse_(software)	C (programming language)	1	1	en	en	0	1	12
6693	4720	Eclipse_(software)	Carbide.c++	1	1	en	en	0	1	12
6693	4721	Eclipse_(software)	Chief Technology Officer	1	1	en	en	0	1	12
6693	4722	Eclipse_(software)	Clojure	1	1	en	en	0	1	12
6693	4723	Eclipse_(software)	Code::Blocks	1	1	en	en	0	1	12
6693	4724	Eclipse_(software)	CodeLite	1	1	en	en	0	1	12
6693	4725	Eclipse_(software)	CodeWarrior	1	1	en	en	0	1	12
6693	4726	Eclipse_(software)	Codebase	1	1	en	en	0	1	12
6693	4727	Eclipse_(software)	Collaber	1	1	en	en	0	1	12
6693	4728	Eclipse_(software)	Collanos	1	1	en	en	0	1	12
6693	4729	Eclipse_(software)	Common Public License	1	1	en	en	0	1	12
6693	4730	Eclipse_(software)	Comparison of integrated development environments	1	1	en	en	0	1	12
6693	4731	Eclipse_(software)	Computer programming	1	1	en	en	0	1	12
6693	2304	Eclipse_(software)	Computing platform	1	1	en	en	0	1	12
6693	4732	Eclipse_(software)	Concurrent Versions System	1	1	en	en	0	1	12
6693	4733	Eclipse_(software)	Configuration management	1	1	en	en	0	1	12
6693	4734	Eclipse_(software)	Connected Data Objects	1	1	en	en	0	1	12
6693	96	Eclipse_(software)	Cross-platform	1	1	en	en	0	1	12
6693	4735	Eclipse_(software)	Database management system	1	1	en	en	0	1	12
6693	4736	Eclipse_(software)	Dev-C++	1	1	en	en	0	1	12
6693	4737	Eclipse_(software)	EWeek	1	1	en	en	0	1	12
6693	4738	Eclipse_(software)	EasyEclipse	1	1	en	en	0	1	12
6693	4739	Eclipse_(software)	EclipseLink	1	1	en	en	0	1	12
6693	4740	Eclipse_(software)	Eclipse (disambiguation)	1	1	en	en	0	1	12
6693	4250	Eclipse_(software)	Eclipse (software)	1	1	en	en	0	1	12
6693	4741	Eclipse_(software)	Eclipse Buckminster	1	1	en	en	0	1	12
6693	4742	Eclipse_(software)	Eclipse Foundation	1	1	en	en	0	1	12
6693	4743	Eclipse_(software)	Eclipse Modeling Framework	1	1	en	en	0	1	12
6693	4744	Eclipse_(software)	Eclipse Public License	1	1	en	en	0	1	12
6693	4745	Eclipse_(software)	Embedded System Debug Plug-in for Eclipse	1	1	en	en	0	1	12
6693	4746	Eclipse_(software)	Equinox (OSGi)	1	1	en	en	0	1	12
6693	4747	Eclipse_(software)	Erlang (programming language)	1	1	en	en	0	1	12
6693	4748	Eclipse_(software)	FindBugs	1	1	en	en	0	1	12
6693	4749	Eclipse_(software)	Fortran	1	1	en	en	0	1	12
6693	4750	Eclipse_(software)	Free Software Foundation	1	1	en	en	0	1	12
6693	4751	Eclipse_(software)	Free and open source software	1	1	en	en	0	1	12
6693	513	Eclipse_(software)	Free software	1	1	en	en	0	1	12
6693	4752	Eclipse_(software)	Freeware	1	1	en	en	0	1	12
6693	4753	Eclipse_(software)	G-Eclipse	1	1	en	en	0	1	12
6693	4754	Eclipse_(software)	GNAT Programming Studio	1	1	en	en	0	1	12
6693	4755	Eclipse_(software)	GNU Classpath	1	1	en	en	0	1	12
6693	4756	Eclipse_(software)	GNU General Public License	1	1	en	en	0	1	12
6693	4757	Eclipse_(software)	GUI widget	1	1	en	en	0	1	12
6693	4758	Eclipse_(software)	Geany	1	1	en	en	0	1	12
6693	4759	Eclipse_(software)	GlassFish	1	1	en	en	0	1	12
6693	2161	Eclipse_(software)	Google	1	1	en	en	0	1	12
6693	4760	Eclipse_(software)	Granite data services	1	1	en	en	0	1	12
6693	4761	Eclipse_(software)	Graphical user interface	1	1	en	en	0	1	12
6693	4762	Eclipse_(software)	Groovy (programming language)	1	1	en	en	0	1	12
6693	4763	Eclipse_(software)	Hard code	1	1	en	en	0	1	12
6693	4764	Eclipse_(software)	Haskell (programming language)	1	1	en	en	0	1	12
6693	2177	Eclipse_(software)	IBM	1	1	en	en	0	1	12
6693	4765	Eclipse_(software)	IBM Canada	1	1	en	en	0	1	12
6693	4766	Eclipse_(software)	IBM VisualAge	1	1	en	en	0	1	12
6693	4767	Eclipse_(software)	IBM Websphere Studio Application Developer	1	1	en	en	0	1	12
6693	4768	Eclipse_(software)	IcedTea	1	1	en	en	0	1	12
6693	4769	Eclipse_(software)	Incremental compiler	1	1	en	en	0	1	12
6693	4770	Eclipse_(software)	Integrated development environment	1	1	en	en	0	1	12
