Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
6695	6696	Eclipse_Foundation	AROS Research Operating System	1	1	en	en	0	1	14
6695	4700	Eclipse_Foundation	Acceleo	1	1	en	en	0	1	14
6695	6697	Eclipse_Foundation	Actuate Corporation	1	1	en	en	0	1	14
6695	6698	Eclipse_Foundation	Alternative terms for free software	1	1	en	en	0	1	14
6695	6699	Eclipse_Foundation	Android Open Source Project	1	1	en	en	0	1	14
6695	48	Eclipse_Foundation	Apache License	1	1	en	en	0	1	14
6695	68	Eclipse_Foundation	Apache Software Foundation	1	1	en	en	0	1	14
6695	6700	Eclipse_Foundation	Artistic License	1	1	en	en	0	1	14
6695	4709	Eclipse_Foundation	AspectJ	1	1	en	en	0	1	14
6695	4711	Eclipse_Foundation	BIRT Project	1	1	en	en	0	1	14
6695	6701	Eclipse_Foundation	BSD licenses	1	1	en	en	0	1	14
6695	6702	Eclipse_Foundation	Basic For Qt	1	1	en	en	0	1	14
6695	6703	Eclipse_Foundation	Beerware	1	1	en	en	0	1	14
6695	6704	Eclipse_Foundation	Berkeley Software Distribution	1	1	en	en	0	1	14
6695	6705	Eclipse_Foundation	Binary blob	1	1	en	en	0	1	14
6695	6706	Eclipse_Foundation	Blender Foundation	1	1	en	en	0	1	14
6695	6707	Eclipse_Foundation	Boost Software License	1	1	en	en	0	1	14
6695	6708	Eclipse_Foundation	British Romanian Educational Exchange	1	1	en	en	0	1	14
6695	6709	Eclipse_Foundation	CC0	1	1	en	en	0	1	14
6695	6710	Eclipse_Foundation	Canada	1	1	en	en	0	1	14
6695	6711	Eclipse_Foundation	Comparison of open source and closed source	1	1	en	en	0	1	14
6695	6712	Eclipse_Foundation	Comparison of open source operating systems	1	1	en	en	0	1	14
6695	6713	Eclipse_Foundation	Comparison of open source software hosting facilities	1	1	en	en	0	1	14
6695	6714	Eclipse_Foundation	Computer Associates	1	1	en	en	0	1	14
6695	6715	Eclipse_Foundation	Contributor License Agreement	1	1	en	en	0	1	14
6695	6716	Eclipse_Foundation	Copyleft	1	1	en	en	0	1	14
6695	6717	Eclipse_Foundation	Darwin (operating system)	1	1	en	en	0	1	14
6695	6718	Eclipse_Foundation	Debian Free Software Guidelines	1	1	en	en	0	1	14
6695	6719	Eclipse_Foundation	Definition of Free Cultural Works	1	1	en	en	0	1	14
6695	6720	Eclipse_Foundation	Digital rights management	1	1	en	en	0	1	14
6695	6721	Eclipse_Foundation	ECos	1	1	en	en	0	1	14
6695	4739	Eclipse_Foundation	EclipseLink	1	1	en	en	0	1	14
6695	4250	Eclipse_Foundation	Eclipse (software)	1	1	en	en	0	1	14
6695	4741	Eclipse_Foundation	Eclipse Buckminster	1	1	en	en	0	1	14
6695	4744	Eclipse_Foundation	Eclipse Public License	1	1	en	en	0	1	14
6695	4746	Eclipse_Foundation	Equinox (OSGi)	1	1	en	en	0	1	14
6695	6722	Eclipse_Foundation	Fork (software development)	1	1	en	en	0	1	14
6695	6723	Eclipse_Foundation	François Letellier	1	1	en	en	0	1	14
6695	6724	Eclipse_Foundation	FreeBASIC	1	1	en	en	0	1	14
6695	6725	Eclipse_Foundation	FreeBSD Foundation	1	1	en	en	0	1	14
6695	6726	Eclipse_Foundation	FreeDOS	1	1	en	en	0	1	14
6695	6727	Eclipse_Foundation	Free Pascal	1	1	en	en	0	1	14
6695	4750	Eclipse_Foundation	Free Software Foundation	1	1	en	en	0	1	14
6695	6728	Eclipse_Foundation	Free Software Foundation Europe	1	1	en	en	0	1	14
6695	6729	Eclipse_Foundation	Free Software Foundation Latin America	1	1	en	en	0	1	14
6695	6730	Eclipse_Foundation	Free Software Foundation of India	1	1	en	en	0	1	14
6695	6731	Eclipse_Foundation	Free Software Movement of India	1	1	en	en	0	1	14
6695	6732	Eclipse_Foundation	Free and open-source software	1	1	en	en	0	1	14
6695	513	Eclipse_Foundation	Free software	1	1	en	en	0	1	14
6695	6733	Eclipse_Foundation	Free software community	1	1	en	en	0	1	14
6695	6734	Eclipse_Foundation	Free software licence	1	1	en	en	0	1	14
6695	6735	Eclipse_Foundation	Free software movement	1	1	en	en	0	1	14
6695	6736	Eclipse_Foundation	Freedesktop.org	1	1	en	en	0	1	14
6695	6737	Eclipse_Foundation	GNOME Foundation	1	1	en	en	0	1	14
6695	6738	Eclipse_Foundation	GNU	1	1	en	en	0	1	14
6695	6739	Eclipse_Foundation	GNU Compiler Collection	1	1	en	en	0	1	14
6695	4756	Eclipse_Foundation	GNU General Public License	1	1	en	en	0	1	14
6695	6740	Eclipse_Foundation	GNU Lesser General Public License	1	1	en	en	0	1	14
6695	6741	Eclipse_Foundation	GNU Project	1	1	en	en	0	1	14
6695	6742	Eclipse_Foundation	Gambas	1	1	en	en	0	1	14
6695	2161	Eclipse_Foundation	Google	1	1	en	en	0	1	14
6695	6743	Eclipse_Foundation	Google Code	1	1	en	en	0	1	14
6695	6744	Eclipse_Foundation	Graphics hardware and FOSS	1	1	en	en	0	1	14
6695	6745	Eclipse_Foundation	Gratis versus libre	1	1	en	en	0	1	14
6695	6746	Eclipse_Foundation	Haiku (operating system)	1	1	en	en	0	1	14
6695	6747	Eclipse_Foundation	Hardware restrictions	1	1	en	en	0	1	14
6695	6748	Eclipse_Foundation	History of Firefox	1	1	en	en	0	1	14
6695	6749	Eclipse_Foundation	History of Haiku (operating system)	1	1	en	en	0	1	14
6695	6750	Eclipse_Foundation	History of Linux	1	1	en	en	0	1	14
6695	6751	Eclipse_Foundation	History of Mozilla Application Suite	1	1	en	en	0	1	14
6695	6752	Eclipse_Foundation	History of Mozilla Thunderbird	1	1	en	en	0	1	14
6695	6753	Eclipse_Foundation	History of free and open-source software	1	1	en	en	0	1	14
6695	2177	Eclipse_Foundation	IBM	1	1	en	en	0	1	14
6695	6754	Eclipse_Foundation	ISC license	1	1	en	en	0	1	14
6695	6755	Eclipse_Foundation	Inferno (operating system)	1	1	en	en	0	1	14
6695	6756	Eclipse_Foundation	Innoopract	1	1	en	en	0	1	14
6695	4770	Eclipse_Foundation	Integrated development environment	1	1	en	en	0	1	14
6695	6757	Eclipse_Foundation	Itemis	1	1	en	en	0	1	14
6695	4773	Eclipse_Foundation	JFace	1	1	en	en	0	1	14
6695	114	Eclipse_Foundation	Java (programming language)	1	1	en	en	0	1	14
6695	1852	Eclipse_Foundation	Jetty (web server)	1	1	en	en	0	1	14
6695	6758	Eclipse_Foundation	KDE e.V.	1	1	en	en	0	1	14
6695	4779	Eclipse_Foundation	Koneki	1	1	en	en	0	1	14
6695	6759	Eclipse_Foundation	License proliferation	1	1	en	en	0	1	14
6695	4782	Eclipse_Foundation	Linux	1	1	en	en	0	1	14
6695	6760	Eclipse_Foundation	Linux Foundation	1	1	en	en	0	1	14
6695	6761	Eclipse_Foundation	Linux distribution	1	1	en	en	0	1	14
6695	4784	Eclipse_Foundation	List of Eclipse projects	1	1	en	en	0	1	14
6695	6762	Eclipse_Foundation	List of FSF approved software licenses	1	1	en	en	0	1	14
6695	6763	Eclipse_Foundation	List of formerly proprietary software	1	1	en	en	0	1	14
6695	6764	Eclipse_Foundation	List of free and open-source software packages	1	1	en	en	0	1	14
6695	6765	Eclipse_Foundation	List of free software project directories	1	1	en	en	0	1	14
6695	6766	Eclipse_Foundation	List of free software web applications	1	1	en	en	0	1	14
6695	6767	Eclipse_Foundation	List of open source Android applications	1	1	en	en	0	1	14
6695	6768	Eclipse_Foundation	Low Level Virtual Machine	1	1	en	en	0	1	14
6695	6769	Eclipse_Foundation	Lua (programming language)	1	1	en	en	0	1	14
6695	6770	Eclipse_Foundation	MINIX	1	1	en	en	0	1	14
6695	6771	Eclipse_Foundation	MIT License	1	1	en	en	0	1	14
6695	6772	Eclipse_Foundation	Mach (kernel)	1	1	en	en	0	1	14
6695	6773	Eclipse_Foundation	Microsoft Open Specification Promise	1	1	en	en	0	1	14
6695	6774	Eclipse_Foundation	Mozilla	1	1	en	en	0	1	14
6695	6775	Eclipse_Foundation	Mozilla Corporation software rebranded by the Debian project	1	1	en	en	0	1	14
6695	6776	Eclipse_Foundation	Mozilla Foundation	1	1	en	en	0	1	14
6695	6777	Eclipse_Foundation	Mozilla Public License	1	1	en	en	0	1	14
6695	4799	Eclipse_Foundation	Mylyn	1	1	en	en	0	1	14
6695	4801	Eclipse_Foundation	NetBeans	1	1	en	en	0	1	14
6695	6778	Eclipse_Foundation	Obeo	1	1	en	en	0	1	14
6695	4809	Eclipse_Foundation	Open-source software	1	1	en	en	0	1	14
6695	6779	Eclipse_Foundation	Open64	1	1	en	en	0	1	14
6695	6780	Eclipse_Foundation	OpenSolaris	1	1	en	en	0	1	14
6695	6781	Eclipse_Foundation	Open Source Definition	1	1	en	en	0	1	14
6695	6782	Eclipse_Foundation	Open Source Geospatial Foundation	1	1	en	en	0	1	14
6695	6783	Eclipse_Foundation	Open Source Initiative	1	1	en	en	0	1	14
6695	6784	Eclipse_Foundation	Open source software development	1	1	en	en	0	1	14
6695	6785	Eclipse_Foundation	Open source software security	1	1	en	en	0	1	14
6695	2427	Eclipse_Foundation	Oracle Corporation	1	1	en	en	0	1	14
6695	6786	Eclipse_Foundation	Ottawa	1	1	en	en	0	1	14
6695	532	Eclipse_Foundation	PHP	1	1	en	en	0	1	14
6695	534	Eclipse_Foundation	Perl	1	1	en	en	0	1	14
6695	6787	Eclipse_Foundation	Plan 9 from Bell Labs	1	1	en	en	0	1	14
6695	6788	Eclipse_Foundation	Proprietary software	1	1	en	en	0	1	14
6695	6789	Eclipse_Foundation	Public domain	1	1	en	en	0	1	14
6695	536	Eclipse_Foundation	Python (programming language)	1	1	en	en	0	1	14
6695	6790	Eclipse_Foundation	ROSE compiler framework	1	1	en	en	0	1	14
6695	6791	Eclipse_Foundation	ReactOS	1	1	en	en	0	1	14
6695	6792	Eclipse_Foundation	Revolution OS	1	1	en	en	0	1	14
6695	4826	Eclipse_Foundation	Rich AJAX Platform	1	1	en	en	0	1	14
6695	537	Eclipse_Foundation	Ruby (programming language)	1	1	en	en	0	1	14
6695	2449	Eclipse_Foundation	SAP AG	1	1	en	en	0	1	14
6695	6793	Eclipse_Foundation	SCO-Linux controversies	1	1	en	en	0	1	14
6695	6794	Eclipse_Foundation	Shared source	1	1	en	en	0	1	14
6695	6795	Eclipse_Foundation	Software Freedom Conservancy	1	1	en	en	0	1	14
6695	6796	Eclipse_Foundation	Software patents and free software	1	1	en	en	0	1	14
6695	540	Eclipse_Foundation	SourceForge	1	1	en	en	0	1	14
6695	4838	Eclipse_Foundation	Standard Widget Toolkit	1	1	en	en	0	1	14
6695	6797	Eclipse_Foundation	Symbian Foundation	1	1	en	en	0	1	14
6695	6798	Eclipse_Foundation	Talend	1	1	en	en	0	1	14
6695	6799	Eclipse_Foundation	Tcl	1	1	en	en	0	1	14
6695	6800	Eclipse_Foundation	The Cathedral and the Bazaar	1	1	en	en	0	1	14
6695	6801	Eclipse_Foundation	The Document Foundation	1	1	en	en	0	1	14
6695	6802	Eclipse_Foundation	The Free Software Definition	1	1	en	en	0	1	14
6695	6803	Eclipse_Foundation	Trusted Computing	1	1	en	en	0	1	14
6695	6804	Eclipse_Foundation	Viral license	1	1	en	en	0	1	14
6695	4848	Eclipse_Foundation	Virgo (software)	1	1	en	en	0	1	14
6695	6805	Eclipse_Foundation	WTFPL	1	1	en	en	0	1	14
6695	6806	Eclipse_Foundation	Windows 8	1	1	en	en	0	1	14
6695	6807	Eclipse_Foundation	X.Org Foundation	1	1	en	en	0	1	14
6695	6808	Eclipse_Foundation	XMPP Standards Foundation	1	1	en	en	0	1	14
6695	6809	Eclipse_Foundation	Xiph.Org Foundation	1	1	en	en	0	1	14
6695	6810	Eclipse_Foundation	Zlib License	1	1	en	en	0	1	14
6695	2197	Eclipse_Foundation	Wikipedia:Stub	1	1	en	en	0	1	14
6695	4863	Eclipse_Foundation	Template:Eclipse Foundation	1	1	en	en	0	1	14
6695	6811	Eclipse_Foundation	Template:FOSS	1	1	en	en	0	1	14
6695	6812	Eclipse_Foundation	Template:Ict-company-stub	1	1	en	en	0	1	14
6695	4868	Eclipse_Foundation	Template talk:Eclipse Foundation	1	1	en	en	0	1	14
6695	6813	Eclipse_Foundation	Template talk:FOSS	1	1	en	en	0	1	14
6695	6814	Eclipse_Foundation	Template talk:Ict-company-stub	1	1	en	en	0	1	14
6695	6815	Eclipse_Foundation	Category:Free software	1	1	en	en	0	1	14
6695	152	Eclipse_Foundation	Portal:Free software	1	1	en	en	0	1	14
6695	6816	Eclipse_Foundation	Book:Free and Open Source Software	1	1	en	en	0	1	14
6695	4440	Eclipse_Foundation	Fondation Eclipse	1	2	en	fr	1	0	14
6695	4171	Eclipse_Foundation	Eclipse Foundation	1	3	en	de	1	0	14
