Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
118	503	Lucene	.NET Framework	1	1	en	en	0	1	3
118	4	Lucene	Apache ACE	1	1	en	en	0	1	3
118	5	Lucene	Apache Abdera	1	1	en	en	0	1	3
118	6	Lucene	Apache ActiveMQ	1	1	en	en	0	1	3
118	7	Lucene	Apache Ant	1	1	en	en	0	1	3
118	8	Lucene	Apache Aries	1	1	en	en	0	1	3
118	9	Lucene	Apache Attic	1	1	en	en	0	1	3
118	10	Lucene	Apache Avro	1	1	en	en	0	1	3
118	11	Lucene	Apache Axis	1	1	en	en	0	1	3
118	12	Lucene	Apache Beehive	1	1	en	en	0	1	3
118	13	Lucene	Apache Buildr	1	1	en	en	0	1	3
118	14	Lucene	Apache C++ Standard Library	1	1	en	en	0	1	3
118	15	Lucene	Apache CXF	1	1	en	en	0	1	3
118	16	Lucene	Apache Camel	1	1	en	en	0	1	3
118	17	Lucene	Apache Cassandra	1	1	en	en	0	1	3
118	18	Lucene	Apache Cayenne	1	1	en	en	0	1	3
118	19	Lucene	Apache Chemistry	1	1	en	en	0	1	3
118	20	Lucene	Apache Click	1	1	en	en	0	1	3
118	21	Lucene	Apache Cocoon	1	1	en	en	0	1	3
118	22	Lucene	Apache Commons	1	1	en	en	0	1	3
118	23	Lucene	Apache Composer	1	1	en	en	0	1	3
118	24	Lucene	Apache Continuum	1	1	en	en	0	1	3
118	25	Lucene	Apache Cordova	1	1	en	en	0	1	3
118	26	Lucene	Apache Derby	1	1	en	en	0	1	3
118	27	Lucene	Apache Directory Server	1	1	en	en	0	1	3
118	28	Lucene	Apache Empire-db	1	1	en	en	0	1	3
118	29	Lucene	Apache Excalibur	1	1	en	en	0	1	3
118	30	Lucene	Apache Felix	1	1	en	en	0	1	3
118	31	Lucene	Apache Forrest	1	1	en	en	0	1	3
118	32	Lucene	Apache Geronimo	1	1	en	en	0	1	3
118	33	Lucene	Apache Gump	1	1	en	en	0	1	3
118	34	Lucene	Apache HTTP Server	1	1	en	en	0	1	3
118	35	Lucene	Apache Hama	1	1	en	en	0	1	3
118	36	Lucene	Apache Harmony	1	1	en	en	0	1	3
118	37	Lucene	Apache Hive	1	1	en	en	0	1	3
118	38	Lucene	Apache HiveMind	1	1	en	en	0	1	3
118	39	Lucene	Apache Incubator	1	1	en	en	0	1	3
118	40	Lucene	Apache Ivy	1	1	en	en	0	1	3
118	41	Lucene	Apache JMeter	1	1	en	en	0	1	3
118	42	Lucene	Apache Jackrabbit	1	1	en	en	0	1	3
118	43	Lucene	Apache James	1	1	en	en	0	1	3
118	44	Lucene	Apache Jelly	1	1	en	en	0	1	3
118	45	Lucene	Apache Karaf	1	1	en	en	0	1	3
118	46	Lucene	Apache Lenya	1	1	en	en	0	1	3
118	47	Lucene	Apache Libcloud	1	1	en	en	0	1	3
118	48	Lucene	Apache License	1	1	en	en	0	1	3
118	49	Lucene	Apache MINA	1	1	en	en	0	1	3
118	50	Lucene	Apache Mahout	1	1	en	en	0	1	3
118	51	Lucene	Apache Maven	1	1	en	en	0	1	3
118	52	Lucene	Apache MyFaces	1	1	en	en	0	1	3
118	53	Lucene	Apache ODE	1	1	en	en	0	1	3
118	54	Lucene	Apache OFBiz	1	1	en	en	0	1	3
118	55	Lucene	Apache OpenEJB	1	1	en	en	0	1	3
118	56	Lucene	Apache OpenJPA	1	1	en	en	0	1	3
118	57	Lucene	Apache POI	1	1	en	en	0	1	3
118	58	Lucene	Apache Pivot	1	1	en	en	0	1	3
118	59	Lucene	Apache Portable Runtime	1	1	en	en	0	1	3
118	60	Lucene	Apache Qpid	1	1	en	en	0	1	3
118	61	Lucene	Apache River	1	1	en	en	0	1	3
118	62	Lucene	Apache Roller	1	1	en	en	0	1	3
118	63	Lucene	Apache ServiceMix	1	1	en	en	0	1	3
118	64	Lucene	Apache Shale	1	1	en	en	0	1	3
118	65	Lucene	Apache Shindig	1	1	en	en	0	1	3
118	66	Lucene	Apache Shiro	1	1	en	en	0	1	3
118	67	Lucene	Apache Sling	1	1	en	en	0	1	3
118	68	Lucene	Apache Software Foundation	1	1	en	en	0	1	3
118	504	Lucene	Apache Software License	1	1	en	en	0	1	3
118	69	Lucene	Apache Solr	1	1	en	en	0	1	3
118	70	Lucene	Apache Stanbol	1	1	en	en	0	1	3
118	71	Lucene	Apache Struts	1	1	en	en	0	1	3
118	72	Lucene	Apache Subversion	1	1	en	en	0	1	3
118	73	Lucene	Apache Tapestry	1	1	en	en	0	1	3
118	74	Lucene	Apache Thrift	1	1	en	en	0	1	3
118	75	Lucene	Apache Tika	1	1	en	en	0	1	3
118	76	Lucene	Apache Tomcat	1	1	en	en	0	1	3
118	77	Lucene	Apache Tuscany	1	1	en	en	0	1	3
118	78	Lucene	Apache Velocity	1	1	en	en	0	1	3
118	79	Lucene	Apache Wicket	1	1	en	en	0	1	3
118	80	Lucene	Apache Wink	1	1	en	en	0	1	3
118	81	Lucene	Apache XAP	1	1	en	en	0	1	3
