Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
1	2	Bündnis_21/RRP	Allianz der Mitte	1	1	de	de	0	1	4
1	3	Bündnis_21/RRP	Augsburg	1	1	de	de	0	1	4
1	4	Bündnis_21/RRP	Baden-Württemberg	1	1	de	de	0	1	4
1	5	Bündnis_21/RRP	Bayern	1	1	de	de	0	1	4
1	6	Bündnis_21/RRP	Berlin	1	1	de	de	0	1	4
1	7	Bündnis_21/RRP	Bremen	1	1	de	de	0	1	4
1	8	Bündnis_21/RRP	Bremerhaven	1	1	de	de	0	1	4
1	9	Bündnis_21/RRP	Bundestagswahl 2009	1	1	de	de	0	1	4
1	10	Bündnis_21/RRP	Bürger in Wut	1	1	de	de	0	1	4
1	11	Bündnis_21/RRP	Bürgerschaftswahl in Bremen 2011	1	1	de	de	0	1	4
1	12	Bündnis_21/RRP	Bürgerversicherung	1	1	de	de	0	1	4
1	13	Bündnis_21/RRP	Deutsche Demokratische Partei (2004)	1	1	de	de	0	1	4
1	14	Bündnis_21/RRP	Die Linke	1	1	de	de	0	1	4
1	15	Bündnis_21/RRP	Europawahl in Deutschland 2009	1	1	de	de	0	1	4
1	16	Bündnis_21/RRP	Familien-Partei Deutschlands	1	1	de	de	0	1	4
1	17	Bündnis_21/RRP	Gersthofen	1	1	de	de	0	1	4
1	18	Bündnis_21/RRP	Junge Freiheit	1	1	de	de	0	1	4
1	19	Bündnis_21/RRP	Kindergeld	1	1	de	de	0	1	4
1	20	Bündnis_21/RRP	Landtagswahl in Bayern 2008	1	1	de	de	0	1	4
1	21	Bündnis_21/RRP	Landtagswahl in Brandenburg 2009	1	1	de	de	0	1	4
1	22	Bündnis_21/RRP	Landtagswahl in Niedersachsen 2013	1	1	de	de	0	1	4
1	23	Bündnis_21/RRP	Landtagswahl in Nordrhein-Westfalen 2010	1	1	de	de	0	1	4
1	24	Bündnis_21/RRP	Landtagswahl in Schleswig-Holstein 2009	1	1	de	de	0	1	4
1	25	Bündnis_21/RRP	Lochhausen (München)	1	1	de	de	0	1	4
1	26	Bündnis_21/RRP	Manfred Link	1	1	de	de	0	1	4
1	27	Bündnis_21/RRP	Münchner Merkur	1	1	de	de	0	1	4
1	28	Bündnis_21/RRP	Niedersachsen	1	1	de	de	0	1	4
1	29	Bündnis_21/RRP	Nordrhein-Westfalen	1	1	de	de	0	1	4
1	30	Bündnis_21/RRP	Oberpfalz	1	1	de	de	0	1	4
1	31	Bündnis_21/RRP	Piratenpartei Deutschland	1	1	de	de	0	1	4
1	32	Bündnis_21/RRP	Politische Partei	1	1	de	de	0	1	4
1	33	Bündnis_21/RRP	Rentner Partei Deutschland	1	1	de	de	0	1	4
1	34	Bündnis_21/RRP	Sachsen	1	1	de	de	0	1	4
1	35	Bündnis_21/RRP	Sachsen-Anhalt	1	1	de	de	0	1	4
1	36	Bündnis_21/RRP	Schleswig-Holstein	1	1	de	de	0	1	4
1	37	Bündnis_21/RRP	Schuluniform	1	1	de	de	0	1	4
1	38	Bündnis_21/RRP	Schwaben	1	1	de	de	0	1	4
1	39	Bündnis_21/RRP	Unterfranken	1	1	de	de	0	1	4
