Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
21751	21752	Bürgerrechtsbewegung_Solidarität	Alexander Hamilton	1	1	de	de	0	1	15
21751	21753	Bürgerrechtsbewegung_Solidarität	Bretton-Woods-System	1	1	de	de	0	1	15
21751	69	Bürgerrechtsbewegung_Solidarität	Bundestagswahl 2005	1	1	de	de	0	1	15
21751	21754	Bürgerrechtsbewegung_Solidarität	D-Mark	1	1	de	de	0	1	15
21751	21755	Bürgerrechtsbewegung_Solidarität	Demokratische Partei (Vereinigte Staaten)	1	1	de	de	0	1	15
21751	152	Bürgerrechtsbewegung_Solidarität	Deutscher Bundestag	1	1	de	de	0	1	15
21751	153	Bürgerrechtsbewegung_Solidarität	Deutschland	1	1	de	de	0	1	15
21751	21756	Bürgerrechtsbewegung_Solidarität	Erdgas	1	1	de	de	0	1	15
21751	21757	Bürgerrechtsbewegung_Solidarität	Erdöl	1	1	de	de	0	1	15
21751	188	Bürgerrechtsbewegung_Solidarität	Europawahl 2004	1	1	de	de	0	1	15
21751	189	Bürgerrechtsbewegung_Solidarität	Europawahl in Deutschland 2009	1	1	de	de	0	1	15
21751	20964	Bürgerrechtsbewegung_Solidarität	Europäische Arbeiter-Partei	1	1	de	de	0	1	15
21751	21758	Bürgerrechtsbewegung_Solidarität	Finanzsystem	1	1	de	de	0	1	15
21751	21759	Bürgerrechtsbewegung_Solidarität	Friedrich List	1	1	de	de	0	1	15
21751	21760	Bürgerrechtsbewegung_Solidarität	Fusionsreaktor	1	1	de	de	0	1	15
21751	226	Bürgerrechtsbewegung_Solidarität	Gemeinsame Normdatei	1	1	de	de	0	1	15
21751	12948	Bürgerrechtsbewegung_Solidarität	Gemeinwohl	1	1	de	de	0	1	15
21751	14859	Bürgerrechtsbewegung_Solidarität	Globale Erwärmung	1	1	de	de	0	1	15
21751	21761	Bürgerrechtsbewegung_Solidarität	Gottfried Wilhelm Leibniz	1	1	de	de	0	1	15
21751	21762	Bürgerrechtsbewegung_Solidarität	Helga Zepp-LaRouche	1	1	de	de	0	1	15
21751	21763	Bürgerrechtsbewegung_Solidarität	Helmut Lorscheid	1	1	de	de	0	1	15
21751	21764	Bürgerrechtsbewegung_Solidarität	Hochtemperaturreaktor	1	1	de	de	0	1	15
21751	21765	Bürgerrechtsbewegung_Solidarität	Industrielle Revolution	1	1	de	de	0	1	15
21751	21766	Bürgerrechtsbewegung_Solidarität	Intergovernmental Panel on Climate Change	1	1	de	de	0	1	15
21751	20430	Bürgerrechtsbewegung_Solidarität	Karl Marx	1	1	de	de	0	1	15
