Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
3317	3318	Dietmar_Bartsch	1958	1	1	de	de	0	1	8
3317	3319	Dietmar_Bartsch	31. März	1	1	de	de	0	1	8
3317	5	Dietmar_Bartsch	Abgeordnetenwatch.de	1	1	de	de	0	1	8
3317	3320	Dietmar_Bartsch	Arbeitsgemeinschaft Junge GenossInnen	1	1	de	de	0	1	8
3317	3321	Dietmar_Bartsch	Berlin-Karlshorst	1	1	de	de	0	1	8
3317	2339	Dietmar_Bartsch	Bernd Riexinger	1	1	de	de	0	1	8
3317	3322	Dietmar_Bartsch	Bundesgeschäftsführer	1	1	de	de	0	1	8
3317	3323	Dietmar_Bartsch	Bundestagswahl 2002	1	1	de	de	0	1	8
3317	3324	Dietmar_Bartsch	Caren Lay	1	1	de	de	0	1	8
3317	2560	Dietmar_Bartsch	Der Spiegel	1	1	de	de	0	1	8
3317	2344	Dietmar_Bartsch	Deutsche	1	1	de	de	0	1	8
3317	72	Dietmar_Bartsch	Deutsche Demokratische Republik	1	1	de	de	0	1	8
3317	2265	Dietmar_Bartsch	Deutscher Bundestag	1	1	de	de	0	1	8
3317	2266	Dietmar_Bartsch	Die Linke	1	1	de	de	0	1	8
3317	3325	Dietmar_Bartsch	Diether Dehm	1	1	de	de	0	1	8
3317	84	Dietmar_Bartsch	Direktmandat	1	1	de	de	0	1	8
3317	2568	Dietmar_Bartsch	Doktor	1	1	de	de	0	1	8
3317	3326	Dietmar_Bartsch	Erweiterte Oberschule	1	1	de	de	0	1	8
3317	3327	Dietmar_Bartsch	Fachhochschule für Technik und Wirtschaft Berlin	1	1	de	de	0	1	8
3317	3328	Dietmar_Bartsch	Fidel Castro	1	1	de	de	0	1	8
3317	3329	Dietmar_Bartsch	Franzburg	1	1	de	de	0	1	8
3317	3330	Dietmar_Bartsch	Fünf-Prozent-Hürde	1	1	de	de	0	1	8
3317	2580	Dietmar_Bartsch	Gabi Zimmer	1	1	de	de	0	1	8
3317	3331	Dietmar_Bartsch	Gregor Gysi	1	1	de	de	0	1	8
3317	3332	Dietmar_Bartsch	Junge Welt	1	1	de	de	0	1	8
3317	2270	Dietmar_Bartsch	Landesliste	1	1	de	de	0	1	8
3317	2291	Dietmar_Bartsch	Linksfraktion	1	1	de	de	0	1	8
3317	2354	Dietmar_Bartsch	Lothar Bisky	1	1	de	de	0	1	8
3317	3333	Dietmar_Bartsch	Luftsturmregiment 40	1	1	de	de	0	1	8
3317	244	Dietmar_Bartsch	Mitglied des Deutschen Bundestages	1	1	de	de	0	1	8
3317	3334	Dietmar_Bartsch	Moskau	1	1	de	de	0	1	8
3317	3335	Dietmar_Bartsch	Nationale Volksarmee	1	1	de	de	0	1	8
3317	3336	Dietmar_Bartsch	Neues Deutschland	1	1	de	de	0	1	8
3317	257	Dietmar_Bartsch	Oskar Lafontaine	1	1	de	de	0	1	8
3317	2277	Dietmar_Bartsch	Partei des Demokratischen Sozialismus	1	1	de	de	0	1	8
3317	2357	Dietmar_Bartsch	Parteichef	1	1	de	de	0	1	8
3317	3337	Dietmar_Bartsch	Personennamendatei	1	1	de	de	0	1	8
3317	3338	Dietmar_Bartsch	Petra Pau	1	1	de	de	0	1	8
3317	268	Dietmar_Bartsch	Politiker	1	1	de	de	0	1	8
3317	2294	Dietmar_Bartsch	Promotion (Doktor)	1	1	de	de	0	1	8
3317	2639	Dietmar_Bartsch	Roland Claus	1	1	de	de	0	1	8
3317	3339	Dietmar_Bartsch	Russische Staatsbibliothek	1	1	de	de	0	1	8
3317	3340	Dietmar_Bartsch	Schatzmeister	1	1	de	de	0	1	8
3317	2645	Dietmar_Bartsch	Sozialistische Einheitspartei Deutschlands	1	1	de	de	0	1	8
3317	3341	Dietmar_Bartsch	Stralsund	1	1	de	de	0	1	8
3317	3342	Dietmar_Bartsch	Uwe Hiksch	1	1	de	de	0	1	8
3317	334	Dietmar_Bartsch	Virtual International Authority File	1	1	de	de	0	1	8
3317	3343	Dietmar_Bartsch	Wahlkampfleiter	1	1	de	de	0	1	8
3317	338	Dietmar_Bartsch	Wehrdienst	1	1	de	de	0	1	8
3317	3344	Dietmar_Bartsch	Werner Dreibus	1	1	de	de	0	1	8
3317	3345	Dietmar_Bartsch	Wirtschaftswissenschaft	1	1	de	de	0	1	8
3317	346	Dietmar_Bartsch	Wirtschaftswissenschaftler	1	1	de	de	0	1	8
3317	358	Dietmar_Bartsch	Hilfe:Personendaten	1	1	de	de	0	1	8
3317	3346	Dietmar_Bartsch	Dietmar Bartsch	1	7	de	en	1	0	8
3317	3347	Dietmar_Bartsch	Dietmarius Bartsch	1	18	de	la	1	0	8
3346	768	Dietmar Bartsch	Authority control	7	7	en	en	0	1	8
3346	774	Dietmar Bartsch	Bundestag	7	7	en	en	0	1	8
3346	779	Dietmar Bartsch	East Germany	7	7	en	en	0	1	8
3346	800	Dietmar Bartsch	Germany	7	7	en	en	0	1	8
3346	2767	Dietmar Bartsch	Party of Democratic Socialism (Germany)	7	7	en	en	0	1	8
3346	1995	Dietmar Bartsch	Politician	7	7	en	en	0	1	8
3346	3348	Dietmar Bartsch	Stralsund	7	7	en	en	0	1	8
3346	2465	Dietmar Bartsch	The Left (Germany)	7	7	en	en	0	1	8
3346	877	Dietmar Bartsch	Virtual International Authority File	7	7	en	en	0	1	8
3346	888	Dietmar Bartsch	Wikipedia:Persondata	7	7	en	en	0	1	8
3346	2012	Dietmar Bartsch	Wikipedia:Stub	7	7	en	en	0	1	8
3346	3349	Dietmar Bartsch	Template:Germany-politician-stub	7	7	en	en	0	1	8
3346	2017	Dietmar Bartsch	Template:ISO 639 name de	7	7	en	en	0	1	8
3346	3350	Dietmar Bartsch	Template talk:Germany-politician-stub	7	7	en	en	0	1	8
3347	3351	Dietmarius Bartsch	1958	18	18	la	la	0	1	8
3347	1315	Dietmarius Bartsch	1976	18	18	la	la	0	1	8
3347	3352	Dietmarius Bartsch	1977	18	18	la	la	0	1	8
3347	3353	Dietmarius Bartsch	1983	18	18	la	la	0	1	8
3347	1319	Dietmarius Bartsch	1990	18	18	la	la	0	1	8
3347	3354	Dietmarius Bartsch	1991	18	18	la	la	0	1	8
3347	3355	Dietmarius Bartsch	1997	18	18	la	la	0	1	8
3347	1321	Dietmarius Bartsch	1998	18	18	la	la	0	1	8
3347	1323	Dietmarius Bartsch	2002	18	18	la	la	0	1	8
3347	1324	Dietmarius Bartsch	2005	18	18	la	la	0	1	8
3347	2503	Dietmarius Bartsch	2010	18	18	la	la	0	1	8
3347	3356	Dietmarius Bartsch	31 Martii	18	18	la	la	0	1	8
3347	1338	Dietmarius Bartsch	Anscharius Lafontaine	18	18	la	la	0	1	8
3347	2142	Dietmarius Bartsch	Berolinum	18	18	la	la	0	1	8
3347	1345	Dietmarius Bartsch	Dieta Foederalis Germaniae	18	18	la	la	0	1	8
3347	3124	Dietmarius Bartsch	Factio Democratici Socialismi	18	18	la	la	0	1	8
3347	3357	Dietmarius Bartsch	Germanicus	18	18	la	la	0	1	8
3347	2682	Dietmarius Bartsch	Gregorius Gysi	18	18	la	la	0	1	8
3347	3358	Dietmarius Bartsch	RPDG	18	18	la	la	0	1	8
3347	3128	Dietmarius Bartsch	SED	18	18	la	la	0	1	8
3347	2310	Dietmarius Bartsch	Sinistra	18	18	la	la	0	1	8
3347	3359	Dietmarius Bartsch	Stralsunda	18	18	la	la	0	1	8
