Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
6233	2283	Guido_Westerwelle	1961	1	1	de	de	0	1	14
6233	6234	Guido_Westerwelle	27. Dezember	1	1	de	de	0	1	14
6233	6235	Guido_Westerwelle	ARAG-Konzern	1	1	de	de	0	1	14
6233	6236	Guido_Westerwelle	Aachener Karnevalsverein	1	1	de	de	0	1	14
6233	5	Guido_Westerwelle	Abgeordnetenwatch.de	1	1	de	de	0	1	14
6233	6237	Guido_Westerwelle	Alexander Mronz	1	1	de	de	0	1	14
6233	6238	Guido_Westerwelle	Amtsgericht Bonn	1	1	de	de	0	1	14
6233	6239	Guido_Westerwelle	Andreas Reichel	1	1	de	de	0	1	14
6233	12	Guido_Westerwelle	Angela Merkel	1	1	de	de	0	1	14
6233	13	Guido_Westerwelle	Annette Schavan	1	1	de	de	0	1	14
6233	6240	Guido_Westerwelle	Atlantische Initiative	1	1	de	de	0	1	14
6233	1681	Guido_Westerwelle	Atom-Moratorium	1	1	de	de	0	1	14
6233	4529	Guido_Westerwelle	Atomausstieg	1	1	de	de	0	1	14
6233	4531	Guido_Westerwelle	Atomkonsens	1	1	de	de	0	1	14
6233	6241	Guido_Westerwelle	Atomwaffen in Deutschland	1	1	de	de	0	1	14
6233	1682	Guido_Westerwelle	August-Martin Euler	1	1	de	de	0	1	14
6233	4535	Guido_Westerwelle	Auswärtiges Amt	1	1	de	de	0	1	14
6233	6242	Guido_Westerwelle	Axel Springer AG	1	1	de	de	0	1	14
6233	6243	Guido_Westerwelle	Bad Honnef	1	1	de	de	0	1	14
6233	6244	Guido_Westerwelle	Bad Salzuflen	1	1	de	de	0	1	14
6233	5211	Guido_Westerwelle	Baden-Württemberg	1	1	de	de	0	1	14
6233	1683	Guido_Westerwelle	Berlin	1	1	de	de	0	1	14
6233	29	Guido_Westerwelle	Bild (Zeitung)	1	1	de	de	0	1	14
6233	1685	Guido_Westerwelle	Birgit Homburger	1	1	de	de	0	1	14
6233	37	Guido_Westerwelle	Bonn	1	1	de	de	0	1	14
6233	1690	Guido_Westerwelle	Bundestagswahl 1998	1	1	de	de	0	1	14
6233	3323	Guido_Westerwelle	Bundestagswahl 2002	1	1	de	de	0	1	14
6233	2341	Guido_Westerwelle	Bundestagswahl 2005	1	1	de	de	0	1	14
6233	53	Guido_Westerwelle	Bundestagswahl 2009	1	1	de	de	0	1	14
6233	6245	Guido_Westerwelle	Bundestagswahlkreis Bonn	1	1	de	de	0	1	14
6233	6246	Guido_Westerwelle	Bundesverfassungsgericht	1	1	de	de	0	1	14
6233	6247	Guido_Westerwelle	CHIO Aachen	1	1	de	de	0	1	14
6233	6248	Guido_Westerwelle	Carl Bildt	1	1	de	de	0	1	14
6233	5478	Guido_Westerwelle	Christian Lindner	1	1	de	de	0	1	14
6233	6249	Guido_Westerwelle	Coming-out	1	1	de	de	0	1	14
6233	6250	Guido_Westerwelle	Cornelia Pieper	1	1	de	de	0	1	14
6233	6251	Guido_Westerwelle	Cornelia Schmalz-Jacobsen	1	1	de	de	0	1	14
6233	6252	Guido_Westerwelle	Cornelius Boersch	1	1	de	de	0	1	14
6233	1694	Guido_Westerwelle	Daniel Bahr	1	1	de	de	0	1	14
6233	6253	Guido_Westerwelle	Dekadenz	1	1	de	de	0	1	14
6233	2560	Guido_Westerwelle	Der Spiegel	1	1	de	de	0	1	14
6233	6254	Guido_Westerwelle	Deutsche Bank	1	1	de	de	0	1	14
6233	73	Guido_Westerwelle	Deutsche Nationalbibliothek	1	1	de	de	0	1	14
6233	6255	Guido_Westerwelle	Deutsche Vermögensberatung AG	1	1	de	de	0	1	14
6233	6256	Guido_Westerwelle	Deutscher Gewerkschaftsbund	1	1	de	de	0	1	14
