Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
2335	2336	Klaus_Ernst	1. November	1	1	de	de	0	1	6
2335	2337	Klaus_Ernst	1954	1	1	de	de	0	1	6
2335	5	Klaus_Ernst	Abgeordnetenwatch.de	1	1	de	de	0	1	6
2335	7	Klaus_Ernst	Agenda 2010	1	1	de	de	0	1	6
2335	2262	Klaus_Ernst	Arbeit & soziale Gerechtigkeit – Die Wahlalternative	1	1	de	de	0	1	6
2335	16	Klaus_Ernst	Aufsichtsrat	1	1	de	de	0	1	6
2335	2338	Klaus_Ernst	Ausschuss für Arbeit und Soziales	1	1	de	de	0	1	6
2335	2339	Klaus_Ernst	Bernd Riexinger	1	1	de	de	0	1	6
2335	2340	Klaus_Ernst	Betriebsrat	1	1	de	de	0	1	6
2335	2341	Klaus_Ernst	Bundestagswahl 2005	1	1	de	de	0	1	6
2335	53	Klaus_Ernst	Bundestagswahl 2009	1	1	de	de	0	1	6
2335	54	Klaus_Ernst	Bundestagswahl 2013	1	1	de	de	0	1	6
2335	2342	Klaus_Ernst	Bundestagswahlkreis Schweinfurt	1	1	de	de	0	1	6
2335	2343	Klaus_Ernst	DGB-Jugend	1	1	de	de	0	1	6
2335	2344	Klaus_Ernst	Deutsche	1	1	de	de	0	1	6
2335	2265	Klaus_Ernst	Deutscher Bundestag	1	1	de	de	0	1	6
2335	2266	Klaus_Ernst	Die Linke	1	1	de	de	0	1	6
2335	82	Klaus_Ernst	Diplom-Volkswirt	1	1	de	de	0	1	6
2335	2345	Klaus_Ernst	Elektromechaniker	1	1	de	de	0	1	6
2335	128	Klaus_Ernst	Gemeinsame Normdatei	1	1	de	de	0	1	6
2335	2346	Klaus_Ernst	Gemeinsamer Ausschuss	1	1	de	de	0	1	6
2335	132	Klaus_Ernst	Gerhard Schröder	1	1	de	de	0	1	6
2335	2347	Klaus_Ernst	Gesine Lötzsch	1	1	de	de	0	1	6
2335	2348	Klaus_Ernst	Gewerkschaft	1	1	de	de	0	1	6
2335	2349	Klaus_Ernst	Hamburger Universität für Wirtschaft und Politik	1	1	de	de	0	1	6
2335	2350	Klaus_Ernst	Hans Preiss	1	1	de	de	0	1	6
2335	2351	Klaus_Ernst	IG Metall	1	1	de	de	0	1	6
2335	2352	Klaus_Ernst	IG Metall Bildungszentrum	1	1	de	de	0	1	6
2335	2323	Klaus_Ernst	Katja Kipping	1	1	de	de	0	1	6
2335	2353	Klaus_Ernst	Klaus Ernst (Begriffsklärung)	1	1	de	de	0	1	6
2335	220	Klaus_Ernst	Library of Congress Control Number	1	1	de	de	0	1	6
2335	2291	Klaus_Ernst	Linksfraktion	1	1	de	de	0	1	6
2335	2354	Klaus_Ernst	Lothar Bisky	1	1	de	de	0	1	6
2335	2355	Klaus_Ernst	L’Ulivo	1	1	de	de	0	1	6
