Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
56	2	Tammensiel	Amt (Kommunalrecht)	1	1	de	de	0	1	2
56	57	Tammensiel	Deich	1	1	de	de	0	1	2
56	58	Tammensiel	Einwohner	1	1	de	de	0	1	2
56	59	Tammensiel	Fischkutter	1	1	de	de	0	1	2
56	60	Tammensiel	Flächennutzungsplan	1	1	de	de	0	1	2
56	61	Tammensiel	Heverstrom	1	1	de	de	0	1	2
56	62	Tammensiel	Höhe über dem Meeresspiegel	1	1	de	de	0	1	2
56	63	Tammensiel	Junkernhallig	1	1	de	de	0	1	2
56	64	Tammensiel	Koog	1	1	de	de	0	1	2
56	65	Tammensiel	Müllers großes deutsches Ortsbuch	1	1	de	de	0	1	2
56	66	Tammensiel	Nordstrand	1	1	de	de	0	1	2
56	67	Tammensiel	Ostersiel	1	1	de	de	0	1	2
56	68	Tammensiel	Ostersielkoog	1	1	de	de	0	1	2
56	69	Tammensiel	Pellworm	1	1	de	de	0	1	2
56	70	Tammensiel	Postleitzahl (Deutschland)	1	1	de	de	0	1	2
56	71	Tammensiel	Siel	1	1	de	de	0	1	2
56	72	Tammensiel	Strucklahnungshörn	1	1	de	de	0	1	2
56	73	Tammensiel	Telefonvorwahl (Deutschland)	1	1	de	de	0	1	2
56	74	Tammensiel	Vorlage:Imagemap Pellworm	1	1	de	de	0	1	2
