Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
121	31540	Lanxess	1. Juli	1	1	de	de	0	1	21
121	31541	Lanxess	2004	1	1	de	de	0	1	21
121	7614	Lanxess	Ableger (Wirtschaft)	1	1	de	de	0	1	21
121	1	Lanxess	Adidas	1	1	de	de	0	1	21
121	10	Lanxess	Aktiengesellschaft	1	1	de	de	0	1	21
121	26093	Lanxess	Aktienindex	1	1	de	de	0	1	21
121	13	Lanxess	Allianz SE	1	1	de	de	0	1	21
121	14	Lanxess	Altana	1	1	de	de	0	1	21
121	31542	Lanxess	Asahi Kasei	1	1	de	de	0	1	21
121	31543	Lanxess	Axel C. Heitmann	1	1	de	de	0	1	21
121	19	Lanxess	BASF	1	1	de	de	0	1	21
121	20	Lanxess	BMW	1	1	de	de	0	1	21
121	21	Lanxess	Babcock Borsig	1	1	de	de	0	1	21
121	24	Lanxess	Bayer AG	1	1	de	de	0	1	21
121	25	Lanxess	Bayerische Hypotheken- und Wechsel-Bank	1	1	de	de	0	1	21
121	26	Lanxess	Bayerische Vereinsbank	1	1	de	de	0	1	21
121	27	Lanxess	Beiersdorf AG	1	1	de	de	0	1	21
121	6235	Lanxess	Brasilien	1	1	de	de	0	1	21
121	6252	Lanxess	Chemische Industrie	1	1	de	de	0	1	21
121	31544	Lanxess	Chrom(III)-oxid	1	1	de	de	0	1	21
121	40	Lanxess	Commerzbank	1	1	de	de	0	1	21
121	41	Lanxess	Continental AG	1	1	de	de	0	1	21
121	43	Lanxess	DAX	1	1	de	de	0	1	21
121	45	Lanxess	Daimler AG	1	1	de	de	0	1	21
121	48	Lanxess	Deutsche Bank	1	1	de	de	0	1	21
121	49	Lanxess	Deutsche Börse	1	1	de	de	0	1	21
121	52	Lanxess	Deutsche Post AG	1	1	de	de	0	1	21
121	53	Lanxess	Deutsche Telekom	1	1	de	de	0	1	21
121	9420	Lanxess	Dienstleister	1	1	de	de	0	1	21
121	6266	Lanxess	Dow Chemical	1	1	de	de	0	1	21
121	57	Lanxess	Dresdner Bank	1	1	de	de	0	1	21
121	60	Lanxess	E.ON	1	1	de	de	0	1	21
121	29293	Lanxess	E.ON Ruhrgas	1	1	de	de	0	1	21
121	31545	Lanxess	Eisenoxidpigment	1	1	de	de	0	1	21
121	63	Lanxess	Epcos	1	1	de	de	0	1	21
121	65	Lanxess	Erlös	1	1	de	de	0	1	21
121	66	Lanxess	Euro	1	1	de	de	0	1	21
121	68	Lanxess	Evonik Degussa	1	1	de	de	0	1	21
121	77	Lanxess	Feldmühle (Unternehmen)	1	1	de	de	0	1	21
121	84	Lanxess	Fresenius (Unternehmen)	1	1	de	de	0	1	21
121	85	Lanxess	Fresenius Medical Care	1	1	de	de	0	1	21
121	4660	Lanxess	Gemeinsame Normdatei	1	1	de	de	0	1	21
121	31546	Lanxess	Gemeinschaft Unabhängiger Staaten	1	1	de	de	0	1	21
121	24062	Lanxess	Geschäftsbereich	1	1	de	de	0	1	21
121	96	Lanxess	Gründung (Recht)	1	1	de	de	0	1	21
121	100	Lanxess	Hannover Rück	1	1	de	de	0	1	21
121	101	Lanxess	HeidelbergCement	1	1	de	de	0	1	21
121	31547	Lanxess	Heizbälge	1	1	de	de	0	1	21
121	31548	Lanxess	Helsinki	1	1	de	de	0	1	21
121	102	Lanxess	Henkel (Unternehmen)	1	1	de	de	0	1	21
121	105	Lanxess	Hoechst	1	1	de	de	0	1	21
121	107	Lanxess	Hypo Real Estate	1	1	de	de	0	1	21
121	6338	Lanxess	Industriegewerkschaft Bergbau, Chemie, Energie	1	1	de	de	0	1	21
121	31549	Lanxess	Ineos	1	1	de	de	0	1	21
121	108	Lanxess	Infineon	1	1	de	de	0	1	21
121	109	Lanxess	International Securities Identification Number	1	1	de	de	0	1	21
121	115	Lanxess	K+S	1	1	de	de	0	1	21
121	116	Lanxess	Karstadt	1	1	de	de	0	1	21
121	31550	Lanxess	Kautschuk	1	1	de	de	0	1	21
121	31551	Lanxess	Kemira	1	1	de	de	0	1	21
121	26500	Lanxess	Konzern	1	1	de	de	0	1	21
121	7796	Lanxess	Köln	1	1	de	de	0	1	21
121	31552	Lanxess	Köln-Deutz	1	1	de	de	0	1	21
121	31553	Lanxess	Kürten	1	1	de	de	0	1	21
121	31554	Lanxess	Lanxess Arena	1	1	de	de	0	1	21
121	7804	Lanxess	Leverkusen	1	1	de	de	0	1	21
121	124	Lanxess	Linde AG	1	1	de	de	0	1	21
121	31555	Lanxess	Lit.Cologne	1	1	de	de	0	1	21
121	127	Lanxess	Lufthansa	1	1	de	de	0	1	21
121	128	Lanxess	MAN	1	1	de	de	0	1	21
121	129	Lanxess	MLP AG	1	1	de	de	0	1	21
121	132	Lanxess	Mannesmann	1	1	de	de	0	1	21
121	31556	Lanxess	MaxCologne	1	1	de	de	0	1	21
121	134	Lanxess	Merck KGaA	1	1	de	de	0	1	21
121	135	Lanxess	Metro AG	1	1	de	de	0	1	21
121	20150	Lanxess	Milliarde	1	1	de	de	0	1	21
121	137	Lanxess	Mitarbeiter	1	1	de	de	0	1	21
121	139	Lanxess	Munich Re	1	1	de	de	0	1	21
121	142	Lanxess	Nixdorf Computer	1	1	de	de	0	1	21
121	31557	Lanxess	OM Group	1	1	de	de	0	1	21
121	31558	Lanxess	Pigmentpräparation	1	1	de	de	0	1	21
121	6424	Lanxess	Polyamide	1	1	de	de	0	1	21
121	31559	Lanxess	Polybutylenterephthalat	1	1	de	de	0	1	21
121	31560	Lanxess	Porto Feliz	1	1	de	de	0	1	21
121	153	Lanxess	Postbank	1	1	de	de	0	1	21
121	154	Lanxess	Preussag	1	1	de	de	0	1	21
121	20988	Lanxess	Produkt (Wirtschaft)	1	1	de	de	0	1	21
121	156	Lanxess	RWE	1	1	de	de	0	1	21
121	160	Lanxess	Rechtsform	1	1	de	de	0	1	21
121	168	Lanxess	SAP	1	1	de	de	0	1	21
121	30224	Lanxess	SGL Carbon	1	1	de	de	0	1	21
121	31561	Lanxess	Saltigo	1	1	de	de	0	1	21
121	31562	Lanxess	Saltigo GmbH	1	1	de	de	0	1	21
121	171	Lanxess	Salzgitter AG	1	1	de	de	0	1	21
121	174	Lanxess	Siemens	1	1	de	de	0	1	21
121	31563	Lanxess	Sissach	1	1	de	de	0	1	21
121	175	Lanxess	Sitz (juristische Person)	1	1	de	de	0	1	21
121	31564	Lanxess	Spezialchemie	1	1	de	de	0	1	21
121	31565	Lanxess	StarChem	1	1	de	de	0	1	21
