Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
17	10159	Commerzbank	.NET	1	1	de	de	0	1	23
17	10160	Commerzbank	1. FFC Frankfurt	1	1	de	de	0	1	23
17	2	Commerzbank	Adidas	1	1	de	de	0	1	23
17	5767	Commerzbank	Adolf Hitler	1	1	de	de	0	1	23
17	5773	Commerzbank	Aktie	1	1	de	de	0	1	23
17	3	Commerzbank	Aktiengesellschaft (Deutschland)	1	1	de	de	0	1	23
17	5112	Commerzbank	Aktionär	1	1	de	de	0	1	23
17	9039	Commerzbank	Alberto Giacometti	1	1	de	de	0	1	23
17	4	Commerzbank	Allianz SE	1	1	de	de	0	1	23
17	5	Commerzbank	Altana	1	1	de	de	0	1	23
17	10161	Commerzbank	Anteilseigner	1	1	de	de	0	1	23
17	10162	Commerzbank	Arbeitgeberverband des privaten Bankengewerbes	1	1	de	de	0	1	23
17	221	Commerzbank	Aufsichtsrat	1	1	de	de	0	1	23
17	1744	Commerzbank	Aufsichtsratsvorsitzender	1	1	de	de	0	1	23
17	7	Commerzbank	BASF	1	1	de	de	0	1	23
17	8	Commerzbank	BMW	1	1	de	de	0	1	23
17	10163	Commerzbank	BRE Bank	1	1	de	de	0	1	23
17	9	Commerzbank	Babcock Borsig	1	1	de	de	0	1	23
17	10164	Commerzbank	Bad Bank	1	1	de	de	0	1	23
17	10165	Commerzbank	Banco di Roma	1	1	de	de	0	1	23
17	5826	Commerzbank	Bankhaus Neelmeyer	1	1	de	de	0	1	23
17	5827	Commerzbank	Bankleitzahl	1	1	de	de	0	1	23
17	10166	Commerzbank	Barmer Bankverein	1	1	de	de	0	1	23
17	10	Commerzbank	Bayer AG	1	1	de	de	0	1	23
17	101	Commerzbank	Bayerische Hypotheken- und Wechsel-Bank	1	1	de	de	0	1	23
17	13	Commerzbank	Bayerische Vereinsbank	1	1	de	de	0	1	23
17	16	Commerzbank	Beiersdorf AG	1	1	de	de	0	1	23
17	10167	Commerzbank	Belgien	1	1	de	de	0	1	23
17	10168	Commerzbank	Benchmark-Anleihe	1	1	de	de	0	1	23
17	10169	Commerzbank	Berenberg Bank	1	1	de	de	0	1	23
17	4612	Commerzbank	Berlin	1	1	de	de	0	1	23
17	5836	Commerzbank	Berliner Bank	1	1	de	de	0	1	23
17	10170	Commerzbank	Berliner Bank AG	1	1	de	de	0	1	23
17	10171	Commerzbank	Besatzungszone	1	1	de	de	0	1	23
17	9375	Commerzbank	Bezirk Altona	1	1	de	de	0	1	23
17	229	Commerzbank	Bilanzsumme	1	1	de	de	0	1	23
17	5840	Commerzbank	BlackRock	1	1	de	de	0	1	23
17	5846	Commerzbank	Bremen	1	1	de	de	0	1	23
17	5854	Commerzbank	Bundesanstalt für Finanzdienstleistungsaufsicht	1	1	de	de	0	1	23
17	10172	Commerzbank	Bundesregierung (Deutschland)	1	1	de	de	0	1	23
17	5856	Commerzbank	Bundesverband deutscher Banken	1	1	de	de	0	1	23
17	5866	Commerzbank	Cash Group	1	1	de	de	0	1	23
17	10173	Commerzbank	Chase Manhattan Bank	1	1	de	de	0	1	23
17	10174	Commerzbank	Citigroup	1	1	de	de	0	1	23
17	10175	Commerzbank	Client-Server-Modell	1	1	de	de	0	1	23
17	10176	Commerzbank	Cobol	1	1	de	de	0	1	23
17	5876	Commerzbank	Comdirect	1	1	de	de	0	1	23
17	10177	Commerzbank	Cominvest	1	1	de	de	0	1	23
17	10178	Commerzbank	Commerz Finanz	1	1	de	de	0	1	23
17	10179	Commerzbank	Commerz Real AG	1	1	de	de	0	1	23
17	10180	Commerzbank	Commerzbank-Arena	1	1	de	de	0	1	23
17	10181	Commerzbank	Commerzbank Tower	1	1	de	de	0	1	23
17	10182	Commerzbank	ConCardis	1	1	de	de	0	1	23
17	18	Commerzbank	Continental AG	1	1	de	de	0	1	23
17	10183	Commerzbank	Crédit Lyonnais	1	1	de	de	0	1	23
17	5886	Commerzbank	DAB Bank	1	1	de	de	0	1	23
17	19	Commerzbank	DAX	1	1	de	de	0	1	23
17	10184	Commerzbank	DB2	1	1	de	de	0	1	23
17	20	Commerzbank	Daimler AG	1	1	de	de	0	1	23
17	5277	Commerzbank	Der Spiegel	1	1	de	de	0	1	23
17	22	Commerzbank	Deutsche Bank	1	1	de	de	0	1	23
17	5897	Commerzbank	Deutsche Bank Privat- und Geschäftskunden	1	1	de	de	0	1	23
17	5901	Commerzbank	Deutsche Bankenkrise	1	1	de	de	0	1	23
17	5903	Commerzbank	Deutsche Bundesbank	1	1	de	de	0	1	23
17	23	Commerzbank	Deutsche Börse	1	1	de	de	0	1	23
17	24	Commerzbank	Deutsche Post AG	1	1	de	de	0	1	23
17	25	Commerzbank	Deutsche Telekom	1	1	de	de	0	1	23
17	10185	Commerzbank	Deutscher Fußball-Bund	1	1	de	de	0	1	23
17	26	Commerzbank	Deutschland	1	1	de	de	0	1	23
17	10186	Commerzbank	Direktbank	1	1	de	de	0	1	23
17	10187	Commerzbank	Donner & Reuschel	1	1	de	de	0	1	23
17	27	Commerzbank	Dresdner Bank	1	1	de	de	0	1	23
17	4623	Commerzbank	Düsseldorf	1	1	de	de	0	1	23
17	28	Commerzbank	E.ON	1	1	de	de	0	1	23
17	30	Commerzbank	Epcos	1	1	de	de	0	1	23
17	257	Commerzbank	Erster Weltkrieg	1	1	de	de	0	1	23
17	10188	Commerzbank	Estland	1	1	de	de	0	1	23
17	258	Commerzbank	Euro	1	1	de	de	0	1	23
17	5950	Commerzbank	Eurohypo	1	1	de	de	0	1	23
17	1785	Commerzbank	Europäische Kommission	1	1	de	de	0	1	23
17	31	Commerzbank	Evonik Degussa	1	1	de	de	0	1	23
17	32	Commerzbank	Feldmühle (Unternehmen)	1	1	de	de	0	1	23
17	9412	Commerzbank	Filiale	1	1	de	de	0	1	23
17	10189	Commerzbank	Financial Times Deutschland	1	1	de	de	0	1	23
17	10190	Commerzbank	Finanzmarktstabilisierungsfonds	1	1	de	de	0	1	23
17	10191	Commerzbank	Firmenlogo	1	1	de	de	0	1	23
17	10192	Commerzbank	Forderungsbesichertes Wertpapier	1	1	de	de	0	1	23
17	265	Commerzbank	Frankfurt am Main	1	1	de	de	0	1	23
