Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
46	10589	Infineon	Ableger (Wirtschaft)	1	1	de	de	0	1	37
46	2	Infineon	Adidas	1	1	de	de	0	1	37
46	215	Infineon	Airbag	1	1	de	de	0	1	37
46	3	Infineon	Aktiengesellschaft (Deutschland)	1	1	de	de	0	1	37
46	4	Infineon	Allianz SE	1	1	de	de	0	1	37
46	5	Infineon	Altana	1	1	de	de	0	1	37
46	32589	Infineon	Andreas von Zitzewitz	1	1	de	de	0	1	37
46	32590	Infineon	Antiblockiersystem	1	1	de	de	0	1	37
46	220	Infineon	Antriebsstrang	1	1	de	de	0	1	37
46	27214	Infineon	Apple	1	1	de	de	0	1	37
46	32591	Infineon	Arbeitsgemeinschaft Unabhängiger Betriebsangehöriger	1	1	de	de	0	1	37
46	10610	Infineon	Asien	1	1	de	de	0	1	37
46	1744	Infineon	Aufsichtsratsvorsitzender	1	1	de	de	0	1	37
46	12499	Infineon	Automobil	1	1	de	de	0	1	37
46	7	Infineon	BASF	1	1	de	de	0	1	37
46	8	Infineon	BMW	1	1	de	de	0	1	37
46	9	Infineon	Babcock Borsig	1	1	de	de	0	1	37
46	10	Infineon	Bayer AG	1	1	de	de	0	1	37
46	101	Infineon	Bayerische Hypotheken- und Wechsel-Bank	1	1	de	de	0	1	37
46	13	Infineon	Bayerische Vereinsbank	1	1	de	de	0	1	37
46	16	Infineon	Beiersdorf AG	1	1	de	de	0	1	37
46	226	Infineon	Bernd Venohr	1	1	de	de	0	1	37
46	5840	Infineon	BlackRock	1	1	de	de	0	1	37
46	5859	Infineon	Börsengang	1	1	de	de	0	1	37
46	32592	Infineon	Campeon	1	1	de	de	0	1	37
46	32593	Infineon	Capital Research and Management	1	1	de	de	0	1	37
46	32594	Infineon	Chipkarte	1	1	de	de	0	1	37
46	17	Infineon	Commerzbank	1	1	de	de	0	1	37
46	18	Infineon	Continental AG	1	1	de	de	0	1	37
46	19	Infineon	DAX	1	1	de	de	0	1	37
46	20	Infineon	Daimler AG	1	1	de	de	0	1	37
46	32595	Infineon	Dell	1	1	de	de	0	1	37
46	22	Infineon	Deutsche Bank	1	1	de	de	0	1	37
46	23	Infineon	Deutsche Börse	1	1	de	de	0	1	37
46	24	Infineon	Deutsche Post AG	1	1	de	de	0	1	37
46	25	Infineon	Deutsche Telekom	1	1	de	de	0	1	37
46	26	Infineon	Deutschland	1	1	de	de	0	1	37
46	32596	Infineon	Dodge & Cox	1	1	de	de	0	1	37
46	32597	Infineon	Dow Jones Sustainability Index	1	1	de	de	0	1	37
46	27	Infineon	Dresdner Bank	1	1	de	de	0	1	37
46	32598	Infineon	Dynamic Random Access Memory	1	1	de	de	0	1	37
46	28	Infineon	E.ON	1	1	de	de	0	1	37
46	15631	Infineon	EU-Kommission	1	1	de	de	0	1	37
46	32599	Infineon	Elektrische Energie	1	1	de	de	0	1	37
46	32600	Infineon	Elpida Memory	1	1	de	de	0	1	37
46	30	Infineon	Epcos	1	1	de	de	0	1	37
46	255	Infineon	Erlös	1	1	de	de	0	1	37
46	258	Infineon	Euro	1	1	de	de	0	1	37
46	32601	Infineon	EuroPacific Growth Fund	1	1	de	de	0	1	37
46	31	Infineon	Evonik Degussa	1	1	de	de	0	1	37
46	32602	Infineon	Fahrdynamikregelung	1	1	de	de	0	1	37
46	32	Infineon	Feldmühle (Unternehmen)	1	1	de	de	0	1	37
46	264	Infineon	Florian Langenscheidt	1	1	de	de	0	1	37
46	4948	Infineon	Frankfurter Allgemeine Zeitung	1	1	de	de	0	1	37
46	5967	Infineon	Frankfurter Wertpapierbörse	1	1	de	de	0	1	37
46	32603	Infineon	Freescale Semiconductor	1	1	de	de	0	1	37
46	33	Infineon	Fresenius (Unternehmen)	1	1	de	de	0	1	37
46	34	Infineon	Fresenius Medical Care	1	1	de	de	0	1	37
46	32604	Infineon	Geschäftsjahr	1	1	de	de	0	1	37
46	32605	Infineon	Globalfoundries	1	1	de	de	0	1	37
46	37	Infineon	Gründung (Recht)	1	1	de	de	0	1	37
46	32606	Infineon	Halbleiter	1	1	de	de	0	1	37
46	32607	Infineon	Halbleiterbauelement	1	1	de	de	0	1	37
46	39	Infineon	Hannover Rück	1	1	de	de	0	1	37
46	32608	Infineon	Harald Eggers (Manager)	1	1	de	de	0	1	37
