Source	Target	lSource	lTarget	uniqueIdWikiDEST	uniqueIdWikiDEST	wikiSRC	wikiTarget	iwl	direct	cnID
48	28300	K+S	1889	1	1	de	de	0	1	32
48	28301	K+S	3. Oktober	1	1	de	de	0	1	32
48	28302	K+S	Abfallentsorgung	1	1	de	de	0	1	32
48	2	K+S	Adidas	1	1	de	de	0	1	32
48	10594	K+S	Agrochemie	1	1	de	de	0	1	32
48	3	K+S	Aktiengesellschaft (Deutschland)	1	1	de	de	0	1	32
48	12428	K+S	Aller	1	1	de	de	0	1	32
48	4	K+S	Allianz SE	1	1	de	de	0	1	32
48	5	K+S	Altana	1	1	de	de	0	1	32
48	28303	K+S	Andrei Igorewitsch Melnitschenko	1	1	de	de	0	1	32
48	5794	K+S	Arisierung	1	1	de	de	0	1	32
48	1744	K+S	Aufsichtsratsvorsitzender	1	1	de	de	0	1	32
48	28304	K+S	August Rosterg	1	1	de	de	0	1	32
48	28305	K+S	Autarkie	1	1	de	de	0	1	32
48	7	K+S	BASF	1	1	de	de	0	1	32
48	8	K+S	BMW	1	1	de	de	0	1	32
48	9	K+S	Babcock Borsig	1	1	de	de	0	1	32
48	28306	K+S	Bad Salzdetfurth	1	1	de	de	0	1	32
48	10	K+S	Bayer AG	1	1	de	de	0	1	32
48	101	K+S	Bayerische Hypotheken- und Wechsel-Bank	1	1	de	de	0	1	32
48	13	K+S	Bayerische Vereinsbank	1	1	de	de	0	1	32
48	16	K+S	Beiersdorf AG	1	1	de	de	0	1	32
48	5116	K+S	Bergbau	1	1	de	de	0	1	32
48	28307	K+S	Bergrecht	1	1	de	de	0	1	32
48	28308	K+S	Bergrechtliche Gewerkschaft	1	1	de	de	0	1	32
48	4612	K+S	Berlin	1	1	de	de	0	1	32
48	229	K+S	Bilanzsumme	1	1	de	de	0	1	32
48	5840	K+S	BlackRock	1	1	de	de	0	1	32
48	28309	K+S	Bode (Saale)	1	1	de	de	0	1	32
48	28310	K+S	Bokeloh (Wunstorf)	1	1	de	de	0	1	32
48	1757	K+S	Brasilien	1	1	de	de	0	1	32
48	9382	K+S	Braunschweig	1	1	de	de	0	1	32
48	28311	K+S	Burbach-Kaliwerke AG	1	1	de	de	0	1	32
48	28312	K+S	Chemische Fabrik Kalk	1	1	de	de	0	1	32
48	5871	K+S	Chile	1	1	de	de	0	1	32
48	17	K+S	Commerzbank	1	1	de	de	0	1	32
48	28313	K+S	Compo	1	1	de	de	0	1	32
48	18	K+S	Continental AG	1	1	de	de	0	1	32
48	19	K+S	DAX	1	1	de	de	0	1	32
48	20	K+S	Daimler AG	1	1	de	de	0	1	32
48	22	K+S	Deutsche Bank	1	1	de	de	0	1	32
48	23	K+S	Deutsche Börse	1	1	de	de	0	1	32
48	9396	K+S	Deutsche Demokratische Republik	1	1	de	de	0	1	32
48	243	K+S	Deutsche Inflation 1914 bis 1923	1	1	de	de	0	1	32
48	24	K+S	Deutsche Post AG	1	1	de	de	0	1	32
48	25	K+S	Deutsche Telekom	1	1	de	de	0	1	32
48	28314	K+S	Deutsches Kalisyndikat GmbH	1	1	de	de	0	1	32
48	27226	K+S	Deutsches Reich	1	1	de	de	0	1	32
48	27	K+S	Dresdner Bank	1	1	de	de	0	1	32
48	28315	K+S	Dünger	1	1	de	de	0	1	32
48	28	K+S	E.ON	1	1	de	de	0	1	32
48	4624	K+S	E.ON Ruhrgas	1	1	de	de	0	1	32
48	28316	K+S	Einwendung	1	1	de	de	0	1	32
48	28317	K+S	Elektronische Datenverarbeitung	1	1	de	de	0	1	32
48	30	K+S	Epcos	1	1	de	de	0	1	32
48	15644	K+S	Erdgas	1	1	de	de	0	1	32
48	10696	K+S	Erdöl	1	1	de	de	0	1	32
48	255	K+S	Erlös	1	1	de	de	0	1	32
48	257	K+S	Erster Weltkrieg	1	1	de	de	0	1	32
48	258	K+S	Euro	1	1	de	de	0	1	32
48	28318	K+S	EuroChem	1	1	de	de	0	1	32
48	28319	K+S	European Salt Company	1	1	de	de	0	1	32
48	31	K+S	Evonik Degussa	1	1	de	de	0	1	32
48	32	K+S	Feldmühle (Unternehmen)	1	1	de	de	0	1	32
48	33	K+S	Fresenius (Unternehmen)	1	1	de	de	0	1	32
48	34	K+S	Fresenius Medical Care	1	1	de	de	0	1	32
48	9691	K+S	Fulda	1	1	de	de	0	1	32
48	28320	K+S	Gerd Grimmig	1	1	de	de	0	1	32
48	28321	K+S	Gerstungen	1	1	de	de	0	1	32
48	270	K+S	Gewinn	1	1	de	de	0	1	32
48	28322	K+S	Gewinnschwelle	1	1	de	de	0	1	32
48	28323	K+S	Goslar	1	1	de	de	0	1	32
48	28324	K+S	Grubenunglück	1	1	de	de	0	1	32
48	28325	K+S	Grundwasser	1	1	de	de	0	1	32
48	28326	K+S	Gründerzeit	1	1	de	de	0	1	32
48	37	K+S	Gründung (Recht)	1	1	de	de	0	1	32
48	28327	K+S	Guido Henckel von Donnersmarck	1	1	de	de	0	1	32
48	25556	K+S	Haber-Bosch-Verfahren	1	1	de	de	0	1	32
48	1808	K+S	Hamburger Hafen und Logistik	1	1	de	de	0	1	32
48	278	K+S	Hannover	1	1	de	de	0	1	32
48	39	K+S	Hannover Rück	1	1	de	de	0	1	32
48	40	K+S	HeidelbergCement	1	1	de	de	0	1	32
48	41	K+S	Henkel (Unternehmen)	1	1	de	de	0	1	32
48	28328	K+S	Heringen (Werra)	1	1	de	de	0	1	32
48	28329	K+S	Hermann Julius Grüneberg	1	1	de	de	0	1	32
48	9090	K+S	Hessen	1	1	de	de	0	1	32
48	28330	K+S	Hessischer Landtag	1	1	de	de	0	1	32
48	42	K+S	Hoechst	1	1	de	de	0	1	32
48	43	K+S	Hypo Real Estate	1	1	de	de	0	1	32
48	6048	K+S	I.G. Farben	1	1	de	de	0	1	32
48	46	K+S	Infineon	1	1	de	de	0	1	32
48	289	K+S	International Securities Identification Number	1	1	de	de	0	1	32
48	10744	K+S	Internet Archive	1	1	de	de	0	1	32
48	9438	K+S	Joint Venture	1	1	de	de	0	1	32
48	25577	K+S	Justus von Liebig	1	1	de	de	0	1	32
48	28331	K+S	Jürgen Räuschel	1	1	de	de	0	1	32
48	28332	K+S	Kalisalz	1	1	de	de	0	1	32
48	28333	K+S	Kaliumchlorid	1	1	de	de	0	1	32
48	10754	K+S	Kanada	1	1	de	de	0	1	32
48	49	K+S	Karstadt	1	1	de	de	0	1	32
48	28334	K+S	Kartell	1	1	de	de	0	1	32
48	9701	K+S	Kassel	1	1	de	de	0	1	32
48	28335	K+S	Kleine und mittlere Unternehmen	1	1	de	de	0	1	32
48	9703	K+S	Krefeld	1	1	de	de	0	1	32
48	6110	K+S	Köln	1	1	de	de	0	1	32
48	53	K+S	Lanxess	1	1	de	de	0	1	32
48	25602	K+S	Limburgerhof	1	1	de	de	0	1	32
48	54	K+S	Linde AG	1	1	de	de	0	1	32
48	57	K+S	Lufthansa	1	1	de	de	0	1	32
48	28336	K+S	Lutherstadt Eisleben	1	1	de	de	0	1	32
48	58	K+S	MAN	1	1	de	de	0	1	32
48	124	K+S	MDAX	1	1	de	de	0	1	32
48	59	K+S	MLP AG	1	1	de	de	0	1	32
48	61	K+S	Mannesmann	1	1	de	de	0	1	32
48	5305	K+S	Mannheim	1	1	de	de	0	1	32
48	62	K+S	Merck KGaA	1	1	de	de	0	1	32
48	28337	K+S	Merkers	1	1	de	de	0	1	32
48	63	K+S	Metro AG	1	1	de	de	0	1	32
48	28338	K+S	Minimumgesetz	1	1	de	de	0	1	32
48	64	K+S	Mitarbeiter	1	1	de	de	0	1	32
48	6155	K+S	Monopol	1	1	de	de	0	1	32
48	28339	K+S	Monte Kali	1	1	de	de	0	1	32
